b0083b58169f230345cca31ea40c98b04439e90072d3381e8f9975d27900141a,ef0903361e602643230a16930a58fe570a713f8bdf0ceffa561ae0b1a9c9cadd,318546da5419ce055c67348fda0aaa572c1bd5f874ad613cde26f1a2532376b2,bd6c97bc034cc69ed199444d0ccd11190394f4d2899bf89bd42b1a83e5a8531b,f283cb9c96898d9acb5a104e2fb04031d1b9372ae3e0c49931c77b622f4ea140,f54a1e506536fa7a6b56d41dd98fdfa04418b46d2bb64024b05a763bda0b0c34,f11583142968a689af04030e3285189a01019f2a1fe919b75a137ac771c60593,540c3afec7a7a818aa3c688f015ef3922c1633044871d25ed53d015a14970b18,41e309c9519a5ed81b4deba84a9c8ec29dded77673afa6a28798645cf74c6e63,ba007b417100f99b67d2c41bb744db9054b95e579118a8a2890c3e3a2718d087,eb4b124fc92f817af786eceffdb0d78700ec35bea2f05d065320c79a6a37da80
"10","10000101","1","7000","0","2021/12/24 15:59:59","10000101","2021/12/17 16:00:00","進行1場戰鬥","0","1000"
"10","10000102","5","7000","0","2021/12/24 15:59:59","10000102","2021/12/17 16:00:00","進行5場戰鬥","0","1000"
"10","10000103","10","7000","0","2021/12/24 15:59:59","10000103","2021/12/17 16:00:00","進行10場戰鬥","0","1000"
"10","10000104","15","7000","0","2021/12/24 15:59:59","10000104","2021/12/17 16:00:00","進行15場戰鬥","0","1000"
"10","10000105","20","7000","0","2021/12/24 15:59:59","10000105","2021/12/17 16:00:00","進行20場戰鬥","0","1000"
"10","10000106","25","7000","0","2021/12/24 15:59:59","10000106","2021/12/17 16:00:00","進行25場戰鬥","0","1000"
"10","10000107","30","7000","0","2021/12/24 15:59:59","10000107","2021/12/17 16:00:00","進行30場戰鬥","0","1000"
"10","10000108","35","7000","0","2021/12/24 15:59:59","10000108","2021/12/17 16:00:00","進行35場戰鬥","0","1000"
"10","10000109","40","7000","0","2021/12/24 15:59:59","10000109","2021/12/17 16:00:00","進行40場戰鬥","0","1000"
"50","10050501","3000000","7001","1005","2021/12/24 15:59:59","10050501","2021/12/17 16:00:00","對美空造成300萬累積傷害","0","1005"
"50","10050502","9000000","7001","1005","2021/12/24 15:59:59","10050502","2021/12/17 16:00:00","對美空造成900萬累積傷害","0","1005"
"50","10050503","15000000","7001","1005","2021/12/24 15:59:59","10050503","2021/12/17 16:00:00","對美空造成1500萬累積傷害","0","1005"
"51","10050511","1","7002","1005","2021/12/24 15:59:59","10050511","2021/12/17 16:00:00","在1場戰鬥中對美空造成100萬傷害","1000000","1005"
"51","10050512","1","7002","1005","2021/12/24 15:59:59","10050512","2021/12/17 16:00:00","在1場戰鬥中對美空造成300萬傷害","3000000","1005"
"60","10060601","5000000","7001","1006","2021/12/24 15:59:59","10060601","2021/12/17 16:00:00","對蘭法造成500萬累積傷害","0","1006"
"60","10060602","15000000","7001","1006","2021/12/24 15:59:59","10060602","2021/12/17 16:00:00","對蘭法造成1500萬累積傷害","0","1006"
"60","10060603","24000000","7001","1006","2021/12/24 15:59:59","10060603","2021/12/17 16:00:00","對蘭法造成2400萬累積傷害","0","1006"
"61","10060611","1","7002","1006","2021/12/24 15:59:59","10060611","2021/12/17 16:00:00","在1場戰鬥中對蘭法造成200萬傷害","2000000","1006"
"61","10060612","1","7002","1006","2021/12/24 15:59:59","10060612","2021/12/17 16:00:00","在1場戰鬥中對蘭法造成500萬傷害","5000000","1006"
"70","10070701","3000000","7001","1007","2021/12/24 15:59:59","10070701","2021/12/17 16:00:00","對阿澤爾德造成300萬累積傷害","0","1007"
"70","10070702","9000000","7001","1007","2021/12/24 15:59:59","10070702","2021/12/17 16:00:00","對阿澤爾德造成900萬累積傷害","0","1007"
"70","10070703","15000000","7001","1007","2021/12/24 15:59:59","10070703","2021/12/17 16:00:00","對阿澤爾德造成1500萬累積傷害","0","1007"
"71","10070711","1","7002","1007","2021/12/24 15:59:59","10070711","2021/12/17 16:00:00","在1場戰鬥中對阿澤爾德造成100萬傷害","1000000","1007"
"71","10070712","1","7002","1007","2021/12/24 15:59:59","10070712","2021/12/17 16:00:00","在1場戰鬥中對阿澤爾德造成300萬傷害","3000000","1007"
"80","10080801","5000000","7001","1008","2021/12/24 15:59:59","10080801","2021/12/17 16:00:00","對卡里莎造成500萬累積傷害","0","1008"
"80","10080802","15000000","7001","1008","2021/12/24 15:59:59","10080802","2021/12/17 16:00:00","對卡里莎造成1500萬累積傷害","0","1008"
"80","10080803","24000000","7001","1008","2021/12/24 15:59:59","10080803","2021/12/17 16:00:00","對卡里莎造成2400萬累積傷害","0","1008"
"81","10080811","1","7002","1008","2021/12/24 15:59:59","10080811","2021/12/17 16:00:00","在1場戰鬥中對卡里莎造成200萬傷害","2000000","1008"
"81","10080812","1","7002","1008","2021/12/24 15:59:59","10080812","2021/12/17 16:00:00","在1場戰鬥中對卡里莎造成500萬傷害","5000000","1008"
