790a5ea38dbb64a3df490c58d3f6f0903c5e5043cb44b18fc601dec6b1fdfde4,aea627aca8502fb12fc6829780a53a533d4f5b154b52ba3e5703bfaa5a3de70e,d57eea5fce743ce8e96b71231086b3029404ece0c2a5bf01bb8c96affdef7ba0,1b9cd41111bb39c39259a5ceb0e456d5e51e1b36c492e62f69d2feacb88ebda5,92b1bb9e06ecbbf1ce4623abcdece1471b690a349c8a0e92b5512d68f6ac4036,aadd86acda8c06514f7c056b260697e1e369f71aef3b4ad4d702ca89e69b2933,f93d910c166fb7c0f1ebbeb0e56ff037016051af0d7b9280b4c7d81e99d5b358,889c07c7e72ef2f46cd4452a953c85cfecebbd7817c6bfe36763b5f7100f169a,afcd658f11ce9b5d422e4e28428f6a14a88498ae602309b79015e90b32197d95,0c7cf48786844c5ab709d925aa779635eff6f08ee3ea3e9e80ca2ffe4da50234,0bab92b7f76aa6dc13e07882a0291fa9f3879113b869633f5fab46851eddf9f2,4827bc0d174fdb73a8e024bc5b60760d702ac343871f82589b22d8fb817047bc,382145af7e502d2430bc608ffa0f3d79c3f39c2c4d0366a1a107089c7abe9451,d56f503b600f4aeef876f274f47cb1b5988ab42a901d8eaaa3a16071cccfeca0,94fa13ed4fa3e7c9503426bc30538dc337a32a619b76f1fe30bcd459fc8f215e,a59d33f4b34b0cd89b0d4b3a035a2013fab820c35e6eb73c763a6d806183b238,1695a661b321f706413aadedd462cf2f3632b254f86757192bd4538aa38c49da,baa24a522c536b950909420686f96ab1b397fc92d479d6b06c7749c721ffbc70,e665e8a31788a45b45c98c2c7f9b7c0dff2ab055e5ede09a5cd928cda9bb92e2
"3","610132007","0","0","10132","0","1","12","0","5","5.5","3","0","1","1","610132501","-60","289",""
"0","610132008","0","70","10132","0","1","0","0","5","1.5","1","0","1","2","610132502","-60","289",""
"0","610132009","0","0","10132","0","1","0","0","5","1.5","1","0","1","3","0","-60","289",""
"3","610134007","0","55","10134","0","1","0","0","5","5.5","1","0","1.85","1","0","-50","292",""
"0","610134008","0","0","10134","0","1","30","0","5","1.5","3","0","1.85","2","610134502","-50","292",""
"0","610134009","0","0","10134","0","1","0","0","5","1.5","1","0","1.85","3","0","-50","292",""
"3","610136007","0","0","10136","0","1","0","0","5","5.5","2","600","1.1","1","610136501","0","295",""
"0","610136008","0","84","10136","0","1","0","0","5","1.5","1","0","1.5","2","0","-50","295",""
"0","610136009","0","0","10136","0","1","0","0","5","1.5","1","0","1.5","3","0","-50","295",""
"0","610137007","0","75","10137","0","1","0","0","5","5.5","1","0","0.85","1","0","0","295",""
"0","610137008","0","50","10137","0","1","0","0","5","1.5","1","0","0.85","2","0","0","295",""
"0","610137009","0","0","10137","0","1","0","0","5","1.5","1","0","0.85","3","0","0","295",""
"3","610140007","0","77","10140","0","1","0","0","5","5.5","1","0","1.4","1","0","0","298",""
"0","610140008","0","52","10140","0","1","0","0","5","1.5","1","0","1.4","2","0","0","298",""
"0","610140009","0","0","10140","0","1","0","0","5","1.5","1","0","1.4","3","0","0","298",""
"3","610142007","0","76","10142","0","1","0","0","5","5.5","1","0","1.45","1","0","-33","301",""
"3","610142008","0","0","10142","0","1","0","0","5","1.5","2","600","1.23","2","610142502","-40","301",""
"0","610142009","0","0","10142","0","1","0","0","5","1.5","1","0","1.45","3","0","-33","301",""
"3","610144007","0","65","10144","0","1","0","0","5","5.5","1","0","1","1","0","-33","304",""
"3","610144008","0","0","10144","0","1","0","0","5","1.5","2","600","0.85","2","610144502","-40","304",""
"0","610144009","0","0","10144","0","1","0","0","5","1.5","1","0","1","3","0","-33","304",""
"3","610146007","0","0","10146","0","1","0","0","5","5.5","2","600","0.87","1","610146501","-45","307",""
"0","610146008","0","58","10146","0","1","0","0","5","1.5","1","0","1.18","2","0","-45","307",""
"0","610146009","0","0","10146","0","1","0","0","5","1.5","1","0","1.18","3","0","-45","307",""
"3","610148007","0","0","10148","0","1","0","0","5","5.5","2","600","1.4","1","610148501","-50","310",""
"0","610148008","0","68","10148","0","1","0","0","5","1.5","1","0","1.7","2","0","-50","310",""
"0","610148009","0","0","10148","0","1","0","0","5","1.5","1","0","1.7","3","0","-50","310",""
"3","610150007","0","71","10150","0","1","0","0","5","5.5","1","0","1.35","1","0","-33","313",""
"3","610150008","0","50","10150","0","1","0","0","5","1.5","1","0","1.35","2","0","-33","313",""
"0","610150009","0","0","10150","0","1","0","0","5","1.5","1","0","1.35","3","0","-33","313",""
"4.8","610152007","0","0","10152","0","1","0","0","5","5.5","2","600","0.7","1","610152501","20","316",""
"0","610152008","0","81","10152","0","1","0","0","5","1.5","1","0","0.96","2","0","30","316",""
"0","610152009","0","0","10152","0","1","0","0","5","1.5","1","0","0.96","3","0","30","316",""
"3","610154007","0","68","10154","0","1","0","0","5","5.5","1","0","1.25","1","0","-33","319",""
"3","610154008","0","0","10154","0","1","0","0","5","1.5","2","600","1","2","610154502","-10","319",""
"0","610154009","0","0","10154","0","1","0","0","5","1.5","1","0","1.25","3","0","-33","319",""
"3","610156007","0","0","10156","0","1","0","0","5","5.5","2","600","0.85","1","610156501","5","322",""
"3","610156008","0","75","10156","0","1","0","0","5","1.5","1","600","1.11","2","0","-10","322",""
"0","610156009","0","0","10156","0","1","0","0","5","1.5","1","0","1.11","3","0","-10","322",""
"3","610158007","0","0","10158","0","1","0","0","5","5.5","2","600","1.5","1","610158501","-40","325",""
"0","610158008","0","65","10158","0","1","0","0","5","1.5","1","0","1.75","2","0","-33","325",""
"0","610158009","0","0","10158","0","1","0","0","5","1.5","1","0","1.75","3","0","-33","325",""
"4.8","610160007","0","0","10160","0","1","20","0","5","5.5","3","600","1.4","1","610160501","-35","328",""
"0","610160008","0","70","10160","0","1","0","0","5","1.5","1","0","1.4","2","0","-35","328",""
"0","610160009","0","0","10160","0","1","0","0","5","1.5","1","0","1.4","3","0","-35","328",""
