55a92f3aa7c6b0ad8cadae566249ae0693337b40bb76c31674c251718561f6bd,1c97826c9e25380cd69d55456c75a1f1b8a3529da94762b76d474f5b90bb6328,14fd1c6ee62ce796ae963d9fabf013fc271016bee86c4db7363aa5c58bdef01d,9ad36480d22e6f294fa87f7ab46044344fb095f687fc986170c5563ad889b5ad,22a4a4f6f0c4b1b3ce5145c017d65f3fb67f32dce05d27c7720f0c16c315a6ce
"100001011","12","10000101","94002","150000"
"100001012","2","10000101","22003","6"
"100001021","12","10000102","94002","500000"
"100001022","2","10000102","22003","6"
"100001031","12","10000103","94002","500000"
"100001032","4","10000103","140001","3"
"100001033","2","10000103","25001","3"
"100001041","12","10000104","94002","500000"
"100001042","2","10000104","22003","6"
"100001051","12","10000105","94002","500000"
"100001052","4","10000105","140001","4"
"100001053","2","10000105","25001","4"
"100001061","12","10000106","94002","500000"
"100001062","2","10000106","22003","6"
"100001071","12","10000107","94002","500000"
"100001072","4","10000107","140001","4"
"100001073","2","10000107","25001","4"
"100001081","12","10000108","94002","500000"
"100001082","2","10000108","22003","6"
"100001091","12","10000109","94002","500000"
"100001092","4","10000109","140001","4"
"100001093","2","10000109","25001","4"
"100505011","12","10050501","94002","120000"
"100505012","2","10050501","22003","3"
"100505021","12","10050502","94002","120000"
"100505022","2","10050502","22003","4"
"100505031","12","10050503","94002","120000"
"100505032","2","10050503","22003","4"
"100505111","12","10050511","94002","120000"
"100505112","2","10050511","22003","3"
"100505121","12","10050512","94002","160000"
"100505122","2","10050512","22003","4"
"100606011","12","10060601","94002","120000"
"100606012","2","10060601","22003","3"
"100606021","12","10060602","94002","120000"
"100606022","2","10060602","22003","4"
"100606031","12","10060603","94002","120000"
"100606032","2","10060603","22003","4"
"100606111","12","10060611","94002","120000"
"100606112","2","10060611","22003","3"
"100606121","12","10060612","94002","160000"
"100606122","2","10060612","22003","4"
"100707011","12","10070701","94002","120000"
"100707012","2","10070701","22003","3"
"100707021","12","10070702","94002","120000"
"100707022","2","10070702","22003","4"
"100707031","12","10070703","94002","120000"
"100707032","2","10070703","22003","4"
"100707111","12","10070711","94002","120000"
"100707112","2","10070711","22003","3"
"100707121","12","10070712","94002","160000"
"100707122","2","10070712","22003","4"
"100808011","12","10080801","94002","120000"
"100808012","2","10080801","22003","3"
"100808021","12","10080802","94002","120000"
"100808022","2","10080802","22003","4"
"100808031","12","10080803","94002","120000"
"100808032","2","10080803","22003","4"
"100808111","12","10080811","94002","120000"
"100808112","2","10080811","22003","3"
"100808121","12","10080812","94002","160000"
"100808122","2","10080812","22003","4"
