a0939c92d52d8ef9e381e10b773c49682c60bc4ba73d67f51abc69394f5e6ca6,236095f1277be23ddf4de636855eb4784d1da097dc1f8cb42c83c3ff179b1d45,3dc54803046a753f76ca050a3eb34381f72b63e74783e349c6dcb01a9274596b,680686898ab11a601c3e0dcf3d8fc0a87374847767e5f0b4b279c26a435276cc,f2a503380b0fc62c4fa6277c90416b76cf768dd95fa560af1a899fbea43e07c9,d1a4860054fc5650fbd64c521a7b6bb007c4b7e452965e653b7079afb6ebe013,9d4601c7bd2582afe00a79e8cf02a0f9e1b0d09efb5ba0c9b500c0a0a02ecb67,7aeb56cb52bbeec6c954ad081400e3c54dd4ba6defcd0be5d91de38a5d670d3c,d30ba4f65e694e263560d2a9847d50cf6acaff8a221aada2de82527639a8129a,2072a061c22ab1aa69f9fbe1d4c46669da740bd2863cc23db9e9792635c48a71,e3621b05a2cad656fed4db8a3fe610a254d64e849214fdb7fc02be2a30868ed4,141e0f7b778011eb6c3740bad2284f29855bd85017eed30938e9b450b19f4fd1,5e607b4016d64786f485d25679c82b8b9b2b427e6a9e41ecd911d3c29f35e223,2e319bf7b55bbf7bf6b11b7e6982551cc565780cbacfdd8b92c74aa947af2b0d,f2f389a71ad01536b98f0642f13ed0d52b56603207039264de0b607143ef450d,73f2805e6f2233b62a80098ad844624703deba4e2b67e25e6758745f5ccba1f8,813b4aeae58e5f3028dac2e0eeae8a16330de058182c6486c7fd7d43fa232201,77199a405784e6f9b6c1038ced72775342389fa896704a89d4acc925ff9f851f
"0","0","0","94002","12","0","1","0","0","10000","0","0","0","取得累積分數10000分","100000","0","0","0"
"0","0","0","91002","8","0","2","0","0","20000","0","0","0","取得累積分數20000分","50","0","0","0"
"0","0","0","94002","12","0","3","0","0","30000","0","0","0","取得累積分數30000分","100000","0","0","0"
"0","0","0","91002","8","0","4","0","0","50000","0","0","0","取得累積分數50000分","50","0","0","0"
"0","0","0","94002","12","0","5","0","0","80000","0","0","0","取得累積分數80000分","100000","0","0","0"
"0","0","0","94002","12","0","6","0","0","100000","0","0","0","取得累積分數100000分","100000","0","0","0"
"0","0","0","91002","8","0","7","0","0","120000","0","0","0","取得累積分數120000分","100","0","0","0"
"0","0","0","94002","12","0","8","0","0","150000","0","0","0","取得累積分數150000分","200000","0","0","0"
"0","0","0","94002","12","0","9","0","0","200000","0","0","0","取得累積分數200000分","200000","0","0","0"
"0","0","0","91002","8","0","10","0","0","250000","0","0","0","取得累積分數250000分","100","0","0","0"
"0","0","0","94002","12","0","11","0","0","300000","0","0","0","取得累積分數300000分","200000","0","0","0"
"0","0","0","94002","12","0","12","0","0","350000","0","0","0","取得累積分數350000分","200000","0","0","0"
"0","0","0","91002","8","0","13","0","0","400000","0","0","0","取得累積分數400000分","100","0","0","0"
