bcb2a951702577a24d17128183c1ec2a6fc837e4b1d4c3e06d524edf788d2827,2917c3abfc54160b91136fba42ed038c7150978064de4e29e68a7abbb55513d7,91f1354dcd6535eb4a1c5dbaf0c44d0532975ac3fe39b11666c67b8a92e256e4,92f403f034ba609ad0d67f264613f561d116d3188f22192652544fe48a99e4e9,b3de1a2ec66325b46894cbcc6af71b2f4eb8f56d343af7b1d3ea0daece7fdedd
"135","1","1","300","1"
"425","1","1","-100","2"
"-100","2","1","125","3"
"375","2","1","-415","4"
"25","3","1","-50","5"
"-25","3","1","-300","6"
"-195","4","1","-335","7"
"105","4","1","-415","8"
"135","5","1","-160","9"
"345","6","1","-40","10"
"-230","7","1","90","11"
"230","8","1","-420","12"
"30","9","1","250","13"
"280","10","1","-245","14"
"-150","11","1","-110","15"
