07e8617c9094af7da1b121819a0a16afab8bb883577aa3ff6e19d725149418b6,5f39963e1518adb31eebb8850ef83a71bc587702bfdf78ac0b38267a3db39815,1809c8c07eb4148d607b3cc2fb80832ba7bafcfbd44fda66ce473feed03e794c,b3a81c5cc404f0cc32f32becf087d4c0c2fa430487c8130af07181b5ebb87864,1f27f10897912c77ab6d67af5e5b6cfecf7f23d9e6fdbf770f2f8c7bbecee95b
"1","8","91002","100","30109001"
"2","2","20002","10","30109001"
"3","8","91002","100","30109002"
"4","12","94002","40000","30109002"
"5","8","91002","300","30109003"
"6","8","91002","500","30109004"
"7","8","91002","500","30109005"
"8","12","94002","1000000","30109005"
"9","8","91002","500","30109006"
"10","12","94002","500000","30109006"
"11","8","91002","600","30110001"
"12","12","94002","200000","30110006"
