1174f161f7d006d2fb1858b662785d5c0c247ac46db456b6da83d29e4c9e74c1,95c78a95a77bc26a7a9ce72a8837a100a2339944dfea86a6c4f133e3ce3f9075,2bda15301ffadccdf3aaea0ae1c223c7a5c974358ca56730f21aa3de5845f53e,001da506256735615868c4d624e2f798abc6873a91ffec0aff02a67000968361,4069f431d4b16d53f6299d2ef4dac6268b27840d3c52cb7ce8e198f7afb5687c,c8ad824f1394acaeb4efcb71651cdd1920c4f3e6aaca3feb6f853c35970c51a9,229cb6c2237323d755a86daaf915f877d5f09f8ab63c0b08f8cadb7d26ad310d,bdd586681a95fc63fd7e12f0a86819488d96b3baa78d4823b38fd82ce8f2e3a5,95012503e026b9f34534ac5d310e07c4f33b4c70d5e3ee78080467d1829865e1,ec37a59c7f1edfaa2b7ac293cc68365508fc031e19d5b4ad269efd785374a786
"0","vo_10011600_0101","0","vo_10011600","","1","0","1010001","2","1"
"8","0","0","0","　從明天開始","1","0","1010002","1","2"
"0","0","1.625","0","","1","1","1010003","4","3"
"10","0","0","0","就要入學聖德蕾莎女學院了！","1","0","1010004","1","4"
"0","0","4","0","","1","1","1010005","4","5"
"0","vo_10011600_0102","0","vo_10011600","","1","0","1010006","2","6"
"8","0","0","0","　為什麼","1","0","1010007","1","7"
"0","0","1.375","0","","1","1","1010008","4","8"
"9","0","0","0","事情會變成這個樣子呢？\n","1","0","1010009","1","9"
"0","0","3.33333333333333","0","","1","1","1010010","4","10"
"0","vo_10011600_0103","0","vo_10011600","","1","0","1010011","2","11"
"8","0","0","0","雖然美里老師","1","0","1010012","1","12"
"0","0","1.75","0","","1","1","1010013","4","13"
"10","0","0","0","說我一定沒問題的……","1","0","1010014","1","14"
"0","0","3","0","","1","1","1010015","4","15"
"8","0","0","0","但是我一定辦不到啊～！\n","1","0","1010016","1","16"
"0","0","3.875","0","","1","1","1010017","4","17"
"0","vo_10011600_0104","0","vo_10011600","","1","0","1010018","2","18"
"8","0","0","0","可是。","1","0","1010019","1","19"
"0","0","2.375","0","","1","1","1010020","4","20"
"8","0","0","0","可是……","1","0","1010021","1","21"
"0","0","2.5","0","","1","1","1010022","4","22"
"0","vo_10011600_0105","0","vo_10011600","","1","0","1010023","2","23"
"8","0","0","0","可是、","1","0","1010024","1","24"
"0","0","1.375","0","","1","1","1010025","4","25"
"8","0","0","0","如果、","1","0","1010026","1","26"
"0","0","1.5","0","","1","1","1010027","4","27"
"8","0","0","0","我可以在聖德蕾莎女學院好好努力。\n\n","1","0","1010028","1","28"
"0","0","4.875","0","","1","1","1010029","4","29"
"0","vo_10011600_0106","0","vo_10011600","","1","0","1010030","2","30"
"6","0","0","0","……是不是就能","1","0","1010031","1","31"
"0","0","1.58333333333333","0","","1","1","1010032","4","32"
"8","0","0","0","交到朋友呢？","1","0","1010033","1","33"
"0","0","1.75","0","","1","1","1010034","4","34"
"0","vo_10011600_0201","0","vo_10011600","","2","0","1020001","2","1"
"8","0","0","0","　一想到要用「日安」向別人打招呼，","2","0","1020002","1","2"
"0","0","2.375","0","","2","1","1020003","4","3"
"8","0","0","0","我孤單的心靈就會緊張到怦怦狂跳。\n","2","0","1020004","1","4"
"0","0","4","0","","2","1","1020005","4","5"
"0","vo_10011600_0202","0","vo_10011600","","2","0","1020006","2","6"
"8","0","0","0","不過，","2","0","1020007","1","7"
"0","0","1.125","0","","2","1","1020008","4","8"
"8","0","0","0","此時BB團團長卻突然現身！","2","0","1020009","1","9"
"0","0","3.75","0","","2","1","1020010","4","10"
"0","vo_10011600_0203","0","vo_10011600","","2","0","1020011","2","11"
"8","0","0","0","　BB團的羈絆","2","0","1020012","1","12"
"0","0","1.875","0","","2","1","1020013","4","13"
"8","0","0","0","不管走到哪裡都不會改變呢！\n","2","0","1020014","1","14"
"0","0","3.75","0","","2","1","1020015","4","15"
"0","vo_10011600_0204","0","vo_10011600","","2","0","1020016","2","16"
"8","0","0","0","然後，","2","0","1020017","1","17"
"0","0","1","0","","2","1","1020018","4","18"
"8","0","0","0","我認識了和那個人一起來到","2","0","1020019","1","19"
"0","0","2","0","","2","1","1020020","4","20"
"8","0","0","0","聖德蕾莎女學院","2","0","1020021","1","21"
"0","0","1.125","0","","2","1","1020022","4","22"
"8","0","0","0","（好朋友社）的成員們。","2","0","1020023","1","23"
"0","0","3.5","0","","2","1","1020024","4","24"
"0","vo_10011600_0205","0","vo_10011600","","2","0","1020025","2","25"
"8","0","0","0","　大家似乎都是很有個性的人，","2","0","1020026","1","26"
"0","0","3","0","","2","1","1020027","4","27"
"6","0","0","0","我很擔心自己是否能和他們融洽相處……","2","0","1020028","1","28"
"0","0","2.83333333333333","0","","2","1","1020029","4","29"
"0","vo_10011600_0301","0","vo_10011600","","3","0","1030001","2","1"
"8","0","0","0","　我搞砸了。","3","0","1030002","1","2"
"0","0","3","0","","3","1","1030003","4","3"
"0","vo_10011600_0302","0","vo_10011600","","3","0","1030004","2","4"
"8","0","0","0","　自我介紹對孤單的人來說就像眼前的巨大障礙。","3","0","1030005","1","5"
"0","0","5.125","0","","3","1","1030006","4","6"
"0","vo_10011600_0303","0","vo_10011600","","3","0","1030007","2","7"
"8","0","0","0","　我明明已經在腦海中做過很多次假想訓練，","3","0","1030008","1","8"
"0","0","2.625","0","","3","1","1030009","4","9"
"8","0","0","0","卻還是失敗了。","3","0","1030010","1","10"
"0","0","2.75","0","","3","1","1030011","4","11"
"0","vo_10011600_0304","0","vo_10011600","","3","0","1030012","2","12"
"8","0","0","0","　當所有同學盯著我看的那一瞬間，","3","0","1030013","1","13"
"0","0","3.5","0","","3","1","1030014","4","14"
"8","0","0","0","我的腦中變得一片空白，","3","0","1030015","1","15"
"0","0","2","0","","3","1","1030016","4","16"
"10","0","0","0","然後又開始脫口說出奇怪的話。\n","3","0","1030017","1","17"
"0","0","4.5","0","","3","1","1030018","4","18"
"0","vo_10011600_0305","0","vo_10011600","","3","0","1030019","2","19"
"8","0","0","0","雖然大家笑得很開心，","3","0","1030020","1","20"
"0","0","3","0","","3","1","1030021","4","21"
"8","0","0","0","不過我還是對未來感到不安……","3","0","1030022","1","22"
"0","0","2.25","0","","3","1","1030023","4","23"
"0","vo_10011600_0401","0","vo_10011600","","4","0","1040001","2","1"
"8","0","0","0","　優妮看起來","4","0","1040002","1","2"
"0","0","1.75","0","","4","1","1040003","4","3"
"8","0","0","0","是個很聰明的人。","4","0","1040004","1","4"
"0","0","2.625","0","","4","1","1040005","4","5"
"0","vo_10011600_0402","0","vo_10011600","","4","0","1040006","2","6"
"8","0","0","0","　她的用字譴詞十分艱澀，","4","0","1040007","1","7"
"0","0","3.75","0","","4","1","1040008","4","8"
"8","0","0","0","有些單字常常讓我聽不懂，","4","0","1040009","1","9"
"0","0","3.125","0","","4","1","1040010","4","10"
"8","0","0","0","以後我是不是應該隨身攜帶字典呢？\n","4","0","1040011","1","11"
"0","0","4","0","","4","1","1040012","4","12"
"0","vo_10011600_0403","0","vo_10011600","","4","0","1040013","2","13"
"8","0","0","0","　總是關在象牙之塔裡埋頭研究，","4","0","1040014","1","14"
"0","0","3.75","0","","4","1","1040015","4","15"
"8","0","0","0","平常不會從那裡踏出一步，","4","0","1040016","1","16"
"0","0","3.25","0","","4","1","1040017","4","17"
"8","0","0","0","散發出和我一樣的孤獨氣息。","4","0","1040018","1","18"
"0","0","3.375","0","","4","1","1040019","4","19"
"0","vo_10011600_0404","0","vo_10011600","","4","0","1040020","2","20"
"8","0","0","0","　「孤獨會召喚孤獨」，","4","0","1040021","1","21"
"0","0","2.5","0","","4","1","1040022","4","22"
"8","0","0","0","我","4","0","1040023","1","23"
"0","0","1.125","0","","4","1","1040024","4","24"
"8","0","0","0","不記得是誰說過這句話，","4","0","1040025","1","25"
"0","0","2.75","0","","4","1","1040026","4","26"
"8","0","0","0","但是說不定……\n","4","0","1040027","1","27"
"0","0","2","0","","4","1","1040028","4","28"
"0","vo_10011600_0405","0","vo_10011600","","4","0","1040029","2","29"
"8","0","0","0","擁有相同宿命的同伴，","4","0","1040030","1","30"
"0","0","2.375","0","","4","1","1040031","4","31"
"8","0","0","0","彼此可以成為好朋友？","4","0","1040032","1","32"
"0","0","2.125","0","","4","1","1040033","4","33"
"0","vo_10011600_0501","0","vo_10011600","","5","0","1050001","2","1"
"8","0","0","0","　克蘿依和我一樣都是","5","0","1050002","1","2"
"0","0","1.875","0","","5","1","1050003","4","3"
"8","0","0","0","精靈，","5","0","1050004","1","4"
"0","0","1.5","0","","5","1","1050005","4","5"
"8","0","0","0","可是……","5","0","1050006","1","6"
"0","0","1.625","0","","5","1","1050007","4","7"
"8","0","0","0","她給人的感覺，","5","0","1050008","1","8"
"0","0","1.375","0","","5","1","1050009","4","9"
"8","0","0","0","有點不太一樣。","5","0","1050010","1","10"
"0","0","2.625","0","","5","1","1050011","4","11"
"0","vo_10011600_0502","0","vo_10011600","","5","0","1050012","2","12"
"8","0","0","0","說不定擁有相同宿命的同伴，彼此可以成為好朋友？","5","0","1050013","1","13"
"0","0","3.625","0","","5","1","1050014","4","14"
"8","0","0","0","我曾經抱持這樣的想法，","5","0","1050015","1","15"
"0","0","2.125","0","","5","1","1050016","4","16"
"8","0","0","0","但是我根本不敢向她搭話！","5","0","1050017","1","17"
"0","0","3.125","0","","5","1","1050018","4","18"
"0","vo_10011600_0503","0","vo_10011600","","5","0","1050019","2","19"
"8","0","0","0","按照那個人的說法，","5","0","1050020","1","20"
"0","0","1.65","0","","5","1","1050021","4","21"
"8","0","0","0","她好像是個熱心助人，","5","0","1050022","1","22"
"0","0","1.625","0","","5","1","1050023","4","23"
"8","0","0","0","而且個性溫柔的好人……\n","5","0","1050024","1","24"
"0","0","3.125","0","","5","1","1050025","4","25"
"0","vo_10011600_0504","0","vo_10011600","","5","0","1050026","2","26"
"8","0","0","0","這麼說來，","5","0","1050027","1","27"
"0","0","2","0","","5","1","1050028","4","28"
"8","0","0","0","噗……","5","0","1050029","1","29"
"0","0","1.5","0","","5","1","1050030","4","30"
"8","0","0","0","那個聲音其實是歎息聲（？）、","5","0","1050031","1","31"
"0","0","2.375","0","","5","1","1050032","4","32"
"0","vo_10011600_0505","0","vo_10011600","","5","0","1050033","2","33"
"8","0","0","0","雖然說不出口……\n","5","0","1050034","1","34"
"0","0","2.375","0","","5","1","1050035","4","35"
"8","0","0","0","但是聽起來好可愛啊！","5","0","1050036","1","36"
"0","0","1.375","0","","5","1","1050037","4","37"
"8","0","0","0","我不禁在心裡這麼想。","5","0","1050038","1","38"
"0","0","1","0","","5","1","1050039","4","39"
"0","vo_10011600_0601","0","vo_10011600","","6","0","1060001","2","1"
"8","0","0","0","　琪愛兒則是個現充。","6","0","1060002","1","2"
"0","0","2.375","0","","6","1","1060003","4","3"
"8","0","0","0","這一點是毋庸置疑的。\n","6","0","1060004","1","4"
"0","0","2.5","0","","6","1","1060005","4","5"
"0","vo_10011600_0602","0","vo_10011600","","6","0","1060006","2","6"
"8","0","0","0","長得很可愛，擁有很多朋友。","6","0","1060007","1","7"
"0","0","2.5","0","","6","1","1060008","4","8"
"8","0","0","0","和我這種邊緣人完全相反。","6","0","1060009","1","9"
"0","0","2.875","0","","6","1","1060010","4","10"
"0","vo_10011600_0603","0","vo_10011600","","6","0","1060011","2","11"
"8","0","0","0","身上散發出令人難以直視的耀眼光芒。\n","6","0","1060012","1","12"
"0","0","3.25","0","","6","1","1060013","4","13"
"0","vo_10011600_0604","0","vo_10011600","","6","0","1060014","2","14"
"8","0","0","0","如果和她面對面說話，","6","0","1060015","1","15"
"0","0","3.5","0","","6","1","1060016","4","16"
