6506cef72b039aefb71ebb9be202334017fb534da73730bad9b721e165d1f0dd,3dd6a45e726d7fd258e495f52706570908250b5eed63ece4dfa44767667955c5,5278325fc1a90db4bd4f8e402b6359397e4f6c64699becc103d503dc6952041a,3ea82eb2ccc443312279454ac32261a9e9625e22e149afe0e0c94e4dfc7ab884,ac4e7a0560666c9469dec82f613d261998c64203ae576fb9122721c3da9a5f7b,3b065df399ea93f1e501071c64addcf8badaea601604516b172c0b13fd36b379,8020f3d09a3d9c131392159cfd9cead80e95bfd87a2a080c48d4f031293e991f,28da66132e34024e475708bc43735ed62fdcc18b2ddf21095151ea4171b97e2c,ab36797e9379ed5369bbbd9944ff0ab4bc2a8944ec54c6041095aee4ecba2764
"6","1","93001","2030/12/31 23:59:59","-1","1","100","2018/01/01 05:00:00","18001001"
"6","2","93001","2030/12/31 23:59:59","-1","1","100","2018/01/01 05:00:00","18001002"
"5","3","0","2021/02/09 04:59:59","-1","1","30","2018/01/01 05:00:00","11001001"
"12","4","94002","2021/02/09 04:59:59","-1","1","30000","2018/01/01 05:00:00","11001001"
"8","5","91002","2021/02/09 04:59:59","-1","1","10","2018/01/01 05:00:00","11001001"
"5","6","0","2021/02/09 04:59:59","-1","1","40","2018/01/01 05:00:00","11003001"
"2","7","20002","2021/02/09 04:59:59","-1","1","2","2018/01/01 05:00:00","11003001"
"8","8","91002","2021/02/09 04:59:59","-1","1","10","2018/01/01 05:00:00","11003001"
"5","9","0","2021/02/09 04:59:59","-1","1","20","2018/01/01 05:00:00","13002001"
"5","10","0","2021/02/09 04:59:59","-1","1","20","2018/01/01 05:00:00","18004001"
"5","11","0","2021/02/09 04:59:59","-1","1","25","2018/01/01 05:00:00","16006001"
"5","12","0","2021/02/09 04:59:59","-1","1","25","2018/01/01 05:00:00","16007001"
"2","13","22001","2021/02/09 04:59:59","-1","1","3","2018/01/01 05:00:00","16007001"
"5","14","0","2021/02/09 04:59:59","-1","1","30","2018/01/01 05:00:00","11004001"
"2","15","20002","2021/02/09 04:59:59","-1","1","2","2018/01/01 05:00:00","11004001"
"2","16","90007","2021/02/09 04:59:59","-1","1","500","2018/01/01 05:00:00","11004001"
"5","17","0","2021/02/09 04:59:59","-1","1","40","2018/01/01 05:00:00","11005001"
"12","18","94002","2021/02/09 04:59:59","-1","1","30000","2018/01/01 05:00:00","11005001"
"2","19","90007","2021/02/09 04:59:59","-1","1","500","2018/01/01 05:00:00","11005001"
"5","20","0","2030/12/31 23:59:59","-1","1","30","2018/01/01 05:00:00","11006001"
"2","21","20003","2030/12/31 23:59:59","-1","1","2","2018/01/01 05:00:00","11006001"
"5","22","0","2023/04/17 04:59:59","-1","1","30","2018/01/01 05:00:00","15004001"
"2","23","90007","2023/04/17 04:59:59","-1","1","100","2018/01/01 05:00:00","15004001"
"5","24","0","2021/02/09 04:59:59","-1","1","40","2018/01/01 05:00:00","14001001"
"12","25","94002","2021/02/09 04:59:59","-1","1","80000","2018/01/01 05:00:00","14001001"
"2","26","20003","2021/02/09 04:59:59","-1","1","2","2018/01/01 05:00:00","14001001"
"5","27","0","2021/02/09 04:59:59","-1","1","50","2018/01/01 05:00:00","14003001"
"12","28","94002","2021/02/09 04:59:59","-1","1","140000","2018/01/01 05:00:00","14003001"
"2","29","22002","2021/02/09 04:59:59","-1","1","4","2018/01/01 05:00:00","14003001"
"8","30","91002","2030/12/31 23:59:59","-1","1","30","2018/01/01 05:00:00","21001001"
"12","31","94002","2030/12/31 23:59:59","-1","1","2000","2018/01/01 05:00:00","21001001"
"8","33","91002","2030/12/31 23:59:59","-1","1","30","2018/01/01 05:00:00","21001002"
"2","34","22001","2030/12/31 23:59:59","-1","1","2","2018/01/01 05:00:00","21001002"
"8","36","91002","2030/12/31 23:59:59","-1","1","30","2018/01/01 05:00:00","21001003"
"2","37","22002","2030/12/31 23:59:59","-1","1","1","2018/01/01 05:00:00","21001003"
"8","39","91002","2030/12/31 23:59:59","-1","1","30","2018/01/01 05:00:00","21001004"
"2","40","22003","2030/12/31 23:59:59","-1","1","1","2018/01/01 05:00:00","21001004"
"8","42","91002","2030/12/31 23:59:59","-1","1","90","2018/01/01 05:00:00","21001005"
"2","43","22003","2030/12/31 23:59:59","-1","1","2","2018/01/01 05:00:00","21001005"
"8","45","91002","2030/12/31 23:59:59","-1","1","60","2018/01/01 05:00:00","21002001"
"12","46","94002","2030/12/31 23:59:59","-1","1","4000","2018/01/01 05:00:00","21002001"
"8","48","91002","2030/12/31 23:59:59","-1","1","60","2018/01/01 05:00:00","21002002"
"2","49","22001","2030/12/31 23:59:59","-1","1","4","2018/01/01 05:00:00","21002002"
