7129b1433e0a55a0bf658e2a133492f3a1b1840e130e5b9cebbbccaca7b99dab,7895744380e5131459cd5dadc8de774bfd3b95d8a26d5f1551ccca8566d094af,ca93f343a3b6f0d3f86d3d27ca1f8a7eca867263281d52df961ce7d2314c552c,95061085aa2af4f90224c292426fe3d97a0c993f62ec37030f901f4df4e2a2a1
"1000","8","100","91002"
"2000","2","500","23003"
"3000","2","5000","25011"
"4000","2","5000","25012"
"5000","2","5000","25013"
"6000","2","5000","25014"
"7000","2","5000","25015"
"8000","2","2500","25021"
"9000","8","100","91002"
"10000","2","1","21953"
"12000","2","50","90005"
"14000","2","500","23003"
"16000","2","5000","25011"
"18000","2","5000","25012"
"20000","2","5000","25013"
"23000","2","5000","25014"
"26000","2","5000","25015"
"29000","2","2500","25021"
"32000","8","100","91002"
"35000","2","1","41000"
"39000","2","50","90005"
"43000","2","500","23003"
"47000","2","5000","25011"
"51000","2","5000","25012"
"55000","2","5000","25013"
"60000","2","5000","25014"
"65000","2","5000","25015"
"70000","2","2500","25021"
"75000","8","100","91002"
"80000","2","1","26203"
"90000","2","50","90005"
"100000","2","500","23003"
"150000","2","5000","25011"
"200000","2","5000","25012"
"250000","2","5000","25013"
"300000","2","5000","25014"
"350000","2","5000","25015"
"400000","2","2500","25021"
"450000","8","100","91002"
"500000","2","1","21953"
"550000","2","50","90005"
"600000","2","500","23003"
"650000","2","5000","25011"
"700000","2","5000","25012"
"750000","2","5000","25013"
"800000","2","5000","25014"
"850000","2","5000","25015"
"900000","2","2500","25021"
"950000","8","100","91002"
"1000000","2","1","25101"
"1050000","2","50","90005"
"1100000","2","500","23003"
"1150000","2","5000","25011"
"1200000","2","5000","25012"
"1250000","2","5000","25013"
"1300000","2","5000","25014"
"1350000","2","5000","25015"
"1400000","2","2500","25021"
"1450000","8","100","91002"
"1500000","2","1","26203"
"1550000","2","50","90005"
"1600000","2","500","23003"
"1650000","2","5000","25011"
"1700000","2","5000","25012"
"1750000","2","5000","25013"
"1800000","2","5000","25014"
"1850000","2","5000","25015"
"1900000","2","2500","25021"
"1950000","8","100","91002"
"2000000","2","1","41000"
"2050000","2","50","90005"
"2100000","2","500","23003"
"2150000","2","5000","25011"
"2200000","2","5000","25012"
"2250000","2","5000","25013"
"2300000","2","5000","25014"
"2350000","2","5000","25015"
"2400000","2","2500","25021"
"2450000","8","100","91002"
"2500000","2","1","26203"
"2550000","2","50","90005"
"2600000","2","500","23003"
"2650000","2","10000","25011"
"2700000","2","10000","25012"
"2750000","2","10000","25013"
"2800000","2","10000","25014"
"2850000","2","10000","25015"
"2900000","2","5000","25021"
"2950000","8","100","91002"
"3000000","2","1","21953"
"3050000","2","50","90005"
"3100000","2","500","23003"
"3150000","2","10000","25011"
"3200000","2","10000","25012"
"3250000","2","10000","25013"
"3300000","2","10000","25014"
"3350000","2","10000","25015"
"3400000","2","5000","25021"
"3450000","8","100","91002"
"3500000","2","1","26203"
"3550000","2","50","90005"
"3600000","2","500","23003"
"3650000","2","10000","25011"
"3700000","2","10000","25012"
"3750000","2","10000","25013"
"3800000","2","10000","25014"
"3850000","2","10000","25015"
"3900000","2","5000","25021"
"3950000","8","100","91002"
"4000000","2","1","41000"
"4050000","2","50","90005"
"4100000","2","500","23003"
"4150000","2","10000","25011"
"4200000","2","10000","25012"
"4250000","2","10000","25013"
"4300000","2","10000","25014"
"4350000","2","10000","25015"
"4400000","2","5000","25021"
"4450000","8","100","91002"
"4500000","2","1","26203"
"4550000","2","50","90005"
"4600000","2","500","23003"
"4650000","2","10000","25011"
"4700000","2","10000","25012"
"4750000","2","10000","25013"
"4800000","2","10000","25014"
"4850000","2","10000","25015"
"4900000","2","5000","25021"
"4950000","8","100","91002"
"5000000","2","1","25101"
