52153dab5a893b3e0b7e734ad8cf95aef6272c1d5370b4b14d822264ffa3bb0a,d0f3a26ccc4d42a3b99ec241b2bfe3af721d4c1f49505c7aca997839b0f7d902,ded50d1fdf3a50e1db87d7f48512c37a36bf34bd2c9457540aacd98eead0d127,d0be6dd282b68035a87534aa8f9479e8673912b944f5bd281d38e4da282e9d33,5de91a183240b33ca6d1b2210a48c07b2b1350ce9f21b2d6a455061a0b70a737,8775a12dde3d4a3f39d71a87e7e0d91be95b2fef6e45b16700638be3003f49e2,57addb538e6a43b7eebbbee4c5b747d79b314dec77a66f3d38c1ac4726c6a561,80feae4c2600c3e7e26f47aaee1161e2479d9b3c109062beb8615e273cbbd01d
"0","10101020","0","1","3050100","1","1","24"
"0","0","0","1","4010200","2","2","24"
"0","10401020","0","1","3030200","3","3","24"
"0","10401020","0","1","3050200","4","4","24"
"0","10401020","0","1","3040200","5","5","24"
"0","10401020","0","1","3020200","6","6","24"
"0","0","0","1","4010300","7","7","24"
"0","10101020","0","1","3030100","8","101","24"
"0","0","0","1","3010201","9","102","24"
"0","0","0","1","3020201","10","103","24"
"0","0","0","1","3010301","11","104","24"
"0","0","0","1","3030301","12","105","24"
"0","0","0","1","3040301","13","106","24"
"0","0","0","1","3050301","14","107","24"
"0","0","0","1","3020301","15","108","24"
"0","10401050","0","1","3030300","16","109","24"
"0","10401050","0","1","3040300","17","110","24"
"0","10401050","0","1","3050300","18","111","24"
"0","10401050","0","1","3020300","19","112","24"
"0","10101020","0","1","3010100","20","201","24"
"0","10101020","0","1","3020100","21","202","24"
"0","10101020","0","1","3030100","22","203","24"
"0","10101020","0","1","3040100","23","204","24"
"0","10101020","0","1","3050100","24","205","24"
"0","10101020","0","1","3010200","25","206","24"
"0","10101020","0","1","3020200","26","207","24"
"0","10101020","0","1","3030200","27","208","24"
"0","10101020","0","1","3040200","28","209","24"
"0","10101020","0","1","3050200","29","210","24"
"0","0","112","1","1010301","30","401","24"
"0","0","203","1","1020301","31","402","24"
"0","0","306","1","1030301","32","403","24"
"0","0","401","1","1040301","33","404","24"
"0","0","508","1","1050301","34","405","24"
"0","20101050","209","1","1020301","35","406","24"
"0","20101050","306","1","1030301","36","407","24"
"0","20101050","407","1","1040301","37","408","24"
"0","20101050","501","1","1050301","38","409","24"
"11001337","0","0","1","0","39","600","15"
"91002","0","0","150","0","40","600","8"
"11001338","0","0","1","0","41","700","15"
"91002","0","0","150","0","42","799","8"
"11001339","0","0","1","0","43","800","15"
"0","0","0","1","0","44","999","24"
