94c61f13fe5922a8c877bbfafa88e91080bfe4ea0764e4cffe650284f97fc082,76cff4ee0c0d6aab5f73da5673bf242abd3b48fdb99c37ddecf1193dba5d4aba,ad2f83205e8db83466a33e06cd9254ae45aee3a994f087d15d9ef13591a7af85,a332f9e990bd6b58c71ad0dd6e2dab3839e45b69ea92fdc74e8c4443f2f907c3,20061399e3af19b6c1033464a8ffb5e8fc11dc7ea959182a17c4f38750b24e7d,e5316da493c7378066cc1de6c6006d5f1a72b6a0e6f1046c29cf5e24ecb63f66,2e2e0848d4f0053dfde7d1b4b7630e50c67a2b860afd73729474433307c07652,5040274481f8565e773cb56a5438708d471a340c24893df494abe718e8f275d3,6fa71d80820c8072bf1bb3cbcd9f27ef7702bc85955f85c3666996d5cf89cf46,939a4ac6db5d0bc01303275b1c876230a9bd60409a89a7027637d7e9f6cc0ed7,ae5ca447b8aad8ab46c62bff96202a3e1b7f556d20b0b56178aa40fbc9f4ef15,fb8361cd3345352c81737c0ec67a2ce927ae545f00604dc446a48e897f6bf286,a326515892fddd665bd3f559d9e3baead5842694c8d868b686d76905e1e50fcc,ef720e07221d69f909299a81af3c6aace80392aec3c37bf2e4a45a986c328d07,f1a049890c5919b453d4bcce102a1541dd5f31cafe05b5c5930d4b2b1f04c80c,0a28c243dabf21a4f40fdbf0bb7d96bd3b831f202092f6c6482ebbb40dcd26c8
"1","2","0","0","0","0","0","2","91002","40","0","8","1001101","90006","22002","40"
"2","2","0","0","0","0","0","2","91002","60","0","8","1001102","90006","22002","50"
"3","2","0","0","0","0","0","2","91002","80","0","8","1001103","90006","22002","60"
"4","2","0","0","0","0","0","2","91002","100","0","8","1001104","90006","22002","80"
"2","2","0","0","0","0","0","2","91002","200","0","8","1001105","90006","22003","150"
"0","0","0","0","0","0","0","2","90006","20","0","2","1001106","22002","0","1"
"0","0","0","0","0","0","0","2","90006","20","0","2","1001107","22002","0","1"
"0","0","0","0","0","0","0","2","90006","20","0","2","1001108","22002","0","1"
"0","0","0","0","0","0","0","2","90006","20","0","2","1001109","22002","0","1"
"0","0","0","0","0","0","0","2","90006","20","0","2","1001110","22003","0","1"
"1","2","0","0","0","0","0","2","91002","40","0","8","1002101","90006","22002","40"
"2","2","0","0","0","0","0","2","91002","60","0","8","1002102","90006","22002","50"
"3","2","0","0","0","0","0","2","91002","80","0","8","1002103","90006","22002","60"
"4","2","0","0","0","0","0","2","91002","100","0","8","1002104","90006","22002","80"
"2","2","0","0","0","0","0","2","91002","200","0","8","1002105","90006","22003","150"
"0","0","0","0","0","0","0","2","90006","40","0","2","1002106","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1002107","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1002108","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1002109","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1002110","22003","0","1"
"1","2","0","0","0","0","0","2","91002","40","0","8","1003101","90006","22002","40"
"2","2","0","0","0","0","0","2","91002","60","0","8","1003102","90006","22002","50"
"3","2","0","0","0","0","0","2","91002","80","0","8","1003103","90006","22002","60"
"4","2","0","0","0","0","0","2","91002","100","0","8","1003104","90006","22002","80"
"2","2","0","0","0","0","0","2","91002","200","0","8","1003105","90006","22003","150"
"0","0","0","0","0","0","0","2","90006","40","0","2","1003106","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1003107","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1003108","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1003109","22002","0","1"
"0","0","0","0","0","0","0","2","90006","40","0","2","1003110","22003","0","1"
"0","2","0","0","0","0","0","2","91002","40","0","8","1004101","90006","0","20"
"0","2","0","0","0","0","0","2","91002","50","0","8","1004102","90006","0","30"
"0","2","0","0","0","0","0","2","91002","75","0","8","1004103","90006","0","40"
