f29ff3be2472c0f557f3c38b52c19f63fae8b4b48a5bcf0685d55fc77b9637b9,f245a4f94821367a0608082a2aa00e3dee8684d66bd8388e37093bb2f947fd03,4f33dff15a864cb23ca3ca362d0580743a9e3c3de754d3021e0550c2b418678c
"2","15","10000101"
"1","15","10000201"
"1","25","10000401"
"3","50","10000601"
"2","15","10000801"
"1","15","10000901"
"3","25","10001001"
"2","10","10001101"
"3","25","10001501"
"1","15","10001502"
"1","15","20101001"
"3","50","20103001"
"2","25","20105001"
"1","25","20106001"
"3","25","20107001"
"2","25","20108001"
"3","25","20112001"
"1","50","20112002"
"1","30","20115001"
"3","75","20117001"
"2","50","20119001"
"1","50","20120001"
"3","30","20121001"
"2","50","20122001"
"3","30","20126001"
"1","50","20126002"
"2","50","20129001"
"1","50","20131001"
"3","100","20133001"
"2","50","20135001"
"1","50","20136001"
"3","50","20137001"
"2","50","20138001"
"3","50","20142001"
"1","50","20142002"
"1","100","20145001"
"3","100","20146001"
"2","75","20147001"
"1","200","20150001"
