eed66c6782ccf29859e7c189f08114bea732f56613c21f2300108adbfa334dc1,3112a2eee4a39480cf0a9e7fc2f0cb87accc0cec1a6d91605cd5fa8c12496331,72363cacd51aa856011fc444dd4592b8b6f4b35666a92e561314b7e097f04ad7,9f13724c2644ec300c1513e3d67a08289eba1f5578c9bfb855e2551e8a5aec3f,d53e0ff509252492b73becb5e96080aabbe6402df880ade57939261331823b62,157b178aa93d512da9dac0a77cffc13e3c01aef6bd1d4e9e61a256ca09127596,d219c45994bb632f3ac698269f612b59cba194675c362c5558095acc788a4565,e6da218b6158f0bcc966353db06de599a9116b94a810ca4b9f2db8dbbe7e6215,66a2bc61ba7ffa9eec0713d13d59228c7c4ab9a1a7e65961512085b2bd4b4479
"1","22","1","10701","20","15","7","15","53002"
"1","22","2","10702","22","14","7","14","53002"
"2","22","3","10703","24","13","7","13","53002"
"2","22","4","10704","26","12","7","12","53002"
"3","22","5","10705","28","11","7","11","53002"
"3","22","6","10706","30","10","7","10","53002"
"4","22","7","10707","32","9","7","9","53002"
"4","22","8","10708","34","8","7","8","53002"
"5","22","9","10709","36","7","7","0","53002"
"1","22","1","10801","20","15","8","15","53002"
"1","22","2","10802","22","14","8","14","53002"
"2","22","3","10803","24","13","8","13","53002"
"2","22","4","10804","26","12","8","12","53002"
"3","22","5","10805","28","11","8","11","53002"
"3","22","6","10806","30","10","8","10","53002"
"4","22","7","10807","32","9","8","9","53002"
"4","22","8","10808","34","8","8","8","53002"
"5","22","9","10809","36","7","8","0","53002"
