9f85d06825b83a07e19c7553fdfba485285d3f6534adb9e4283041112b34c5a1,87205fb2b36d42335b700c05d1715843495727db366f31739e60ef33d275c56e,43acf65861174c47b0b7ed0e8480bfbb8c5a8d5867740c3b766eb071ba560ff7,e1d9be8fe2b33fdd8f71c48155ee575331040e572c659b960966446049f7edbc,5888fece17776a73ddb3ec655126ca1272df20d6fb9e68f03790d76484b74a0f,65e6b6d84c029fb5e9de1e777d189f023db34e5615c66ee9d0c17784cf83ba00
"0","10","1","150","1","150"
"0","10","2","250","1","400"
"0","10","3","400","1","800"
"0","20","1","150","2","150"
"0","20","2","250","2","400"
"0","20","3","400","2","800"
"1","20","4","500","2","1300"
"0","30","1","800","3","800"
"0","30","2","1000","3","1800"
"0","30","3","1200","3","3000"
"1","30","4","1400","3","4400"
"2","30","5","1600","3","6000"
"0","40","1","800","4","800"
"0","40","2","1000","4","1800"
"0","40","3","1200","4","3000"
"1","40","4","1400","4","4400"
"2","40","5","1600","4","6000"
"0","0","0","0","5","0"
