4a7f007723745858ae5d70ecd6a915d9304f79efcb3fd92efb019e36b8a87bba,664d26a19e6013001f733a68e17dfe3156137c6105f111e50d7e674f70ec94e1,a3c5d192369069c76c247e8ebeb39734d55a17cdcd9ec8c11ea8af0e891f2af9,337dbdcedb5cce884e9dc847a7be5cdc15c49ba1bd1f6dd68e1646264eaf4ebf,ae5c35f16d28d2487ac31c54654b65a645ed5e3f5de351cf6457061e7eadec0c,90fa2ebd84353a615b21f2e9426d71cfbcd1d2024117536235a453fddc479431
"100","100","100","1000000","100","100"
"150","100","100","2000000","100","100"
"100","100","100","2000001","100","150"
"100","100","150","2000002","100","100"
"100","100","100","2000003","150","100"
"100","150","100","2000004","100","100"
"300","100","100","2000005","100","100"
"100","100","100","2000006","100","300"
"250","100","100","2000010","100","100"
"100","100","100","2000011","100","250"
"100","100","250","2000012","100","100"
"100","100","100","2000013","250","100"
"100","250","100","2000014","100","100"
"150","100","100","3000000","100","150"
"150","100","150","3000001","100","100"
"150","100","100","3000002","150","100"
"150","150","100","3000003","100","100"
"100","100","150","3000004","100","150"
"100","100","100","3000005","150","150"
"100","150","100","3000006","100","150"
"100","100","150","3000007","150","100"
"100","150","150","3000008","100","100"
"100","150","100","3000009","150","100"
"250","100","100","3000010","100","250"
"250","100","250","3000011","100","100"
"250","100","100","3000012","250","100"
"250","250","100","3000013","100","100"
"100","100","250","3000014","100","250"
"100","100","100","3000015","250","250"
"100","250","100","3000016","100","250"
"100","100","250","3000017","250","100"
"100","250","250","3000018","100","100"
"100","250","100","3000019","250","100"
"150","100","150","4000000","100","150"
"150","100","100","4000001","150","150"
"150","150","100","4000002","100","150"
"150","100","150","4000003","150","100"
"150","150","150","4000004","100","100"
"150","150","100","4000005","150","100"
"100","100","150","4000006","150","150"
"100","150","150","4000007","100","150"
"100","150","100","4000008","150","150"
"100","150","150","4000009","150","100"
"250","100","250","4000010","100","250"
"250","100","100","4000011","250","250"
"250","250","100","4000012","100","250"
"250","100","250","4000013","250","100"
"250","250","250","4000014","100","100"
"250","250","100","4000015","250","100"
"100","100","250","4000016","250","250"
"100","250","250","4000017","100","250"
"100","250","100","4000018","250","250"
"100","250","250","4000019","250","100"
"150","100","150","5000000","150","150"
"150","150","150","5000001","100","150"
"150","150","100","5000002","150","150"
"150","150","150","5000003","150","100"
"100","150","150","5000004","150","150"
"250","100","250","5000010","250","250"
"250","250","250","5000011","100","250"
"250","250","100","5000012","250","250"
"250","250","250","5000013","250","100"
"100","250","250","5000014","250","250"
