ed74547e6c130147733a896da2c465053920be18a7d8a416fe98d808ef8148c0,08259cf2818c0291869f63e3e573f82b45ed1255893ab21df48eed3d319aa2f2,dca33e6d30c4ca7ff0f5c0bf73268ec87c3f00ca2c5019d883e4d0c95a8c2fdc
"1","114601","1"
"2","114701","2"
"3","115601","3"
"4","115801","5"
"5","116801","6"
"6","117401","7"
"7","117801","8"
"8","119201","9"
"9","120801","10"
"10","121201","12"
"11","122101","13"
"12","122401","14"
"13","122801","15"
"14","123501","16"
"15","124101","17"
"16","124701","20"
"17","124901","21"
"18","125701","22"
"19","126701","24"
"20","127001","25"
"21","128301","27"
"22","128801","28"
