64ec3153550786971babc782fb8ed36024f1b19dbcc69b6b3e7e5b92f9128bab,a4b0ae70931c43991579325f2055e500cdb64552e21c0e7cad9a23e240a9150c,04102b0fcbe65e1f80a072522317f341b700c54f2dd829d5dd73c4685d7c0abb,4bd311a9a3be6da461dff7006d211ee96daa629a5f0a33d547b4d3698ae25fef,20e3c3ca8b1b051064f0da3ee27f8246ce9bd743260ea7628f5bddc738333b68,d5b122e08106dfa99a254072eaca76fe40f90204d9383c51ecae1460ff050884,5100e828ae333725d6f207144dfb4d1e8b5cf59b2d7dc06ec343e7346eae9fd3,511087ac6e6451bc04bacce79b3b87e55c3fd9b9876dd485b83ed6b72a612585,f7131c6daaee51ba540606ab2ec40a26a5067f98a77fe6c16f870761cbd06080,812eaab15f2dff83f7a475f35bab648960c016f3b225cc7d861e802480fe37aa,9a9255ac6775edd6d16e8ea74b7008cf0caf2468508383ccfc3f9c393fbc21d2,66a263f7a93d94e4c854958e4c612b4ab580cfad40114cf8a6c2abcf261af1e7,6da8d48d76e23e61942f6467b20dc936da92391c401d5b4ee76ff0eab5367cb9,6d0f4a8c412776d71cc8237872c273a2b54a76d42e285407698c68bf1c1be61f
"20001101","20001","塔爾格姆地區","201","bgm_M32","bgm_M32","1","1","0","0","0","0","0","0"
"20001201","20001","塔爾格姆地區","201","bgm_M32","bgm_M32","1","0","0","0","0","0","0","0"
"20002101","20002","馬席納地區","201","bgm_M98","bgm_M98_2","1","0","0","0","0","0","0","0"
"20002201","20002","馬席納地區","201","bgm_M98","bgm_M98_2","1","0","0","0","0","0","0","0"
"20003101","20003","蘭德索爾郊外","201","bgm_M106","bgm_M106","1","0","0","0","0","0","0","0"
"20003201","20003","蘭德索爾郊外","201","bgm_M106","bgm_M106","1","0","0","0","0","0","0","0"
"20004101","20004","塔帕斯海灘 周邊","201","bgm_M112","bgm_M112","1","0","0","0","0","0","0","0"
"20004201","20004","塔帕斯海灘 周邊","201","bgm_M112","bgm_M112","1","0","0","0","0","0","0","0"
"20005101","20005","伊爾席翁的孤島","201","bgm_M121","bgm_M121","1","0","0","0","0","0","0","0"
"20005201","20005","伊爾席翁的孤島","201","bgm_M121","bgm_M121","1","0","0","0","0","0","0","0"
"20006101","20006","王城蘭德索爾","201","bgm_M128","bgm_M128","1","0","85","0","0","0","0","0"
