5600e29bdd64fd494c556b6c5ae6285d049747dae1c42537023472fdcdfe1164,43ba4dac9ed72ecc0bd108c9555e40320463504e6ba7aefbfacf76c0f75b93cd,651346ad2ab9b47998771690610cb89880e84abda007905cbf5ab80547d821fb,cdf70668b8e0b08d47b08d2af2bb720cd2576399adeda3c4dc635fd5fdd1a8ba,9e30fb085fbda6bade64e24fd1046083c53dccf47c2a7b4196d9edc93caeb18b,67b726240c2fa1ef47b722c0abf9717bd40dd29e82dee6a4419d0a6406e9ac9d,0d0dec92750d185f5ebd770c34ad1990e123814c81399ba2862e11840223612c
"0","401021505","0","野豬雙胞胎 第1階段","401021506","0","401021507"
"401021908","401021905","0","大胃王 第1階段","401021906","0","401021907"
"0","401022105","0","人馬座 第1階段","401022106","0","401022107"
"0","401022305","0","水之里歐斯 第1階段","401022306","0","401022307"
"401025908","401025905","0","大胃王 第1階段 單人模式","401025906","0","401025907"
"0","401026105","0","人馬座 第1階段 單人模式","401026106","0","401026107"
"0","401026305","0","水之里歐斯 第1階段 單人模式","401026306","0","401026307"
"0","401031505","0","野豬雙胞胎 第2階段","401031506","0","401031507"
"401031908","401031905","0","大胃王 第2階段","401031906","0","401031907"
"0","401032105","0","人馬座 第2階段","401032106","0","401032107"
"0","401032305","0","水之里歐斯 第2階段","401032306","0","401032307"
"401035908","401035905","0","大胃王 第2階段 單人模式","401035906","0","401035907"
"0","401036105","0","人馬座 第2階段 單人模式","401036106","0","401036107"
"0","401036305","0","水之里歐斯 第2階段 單人模式","401036306","0","401036307"
"0","401041505","0","野豬雙胞胎 第3階段","401041506","0","401041507"
"401041908","401041905","0","大胃王 第3階段","401041906","0","401041907"
"0","401042105","0","人馬座 第3階段","401042106","0","401042107"
"0","401042305","0","水之里歐斯 第3階段","401042306","0","401042307"
"401045908","401045905","0","大胃王 第3階段 單人模式","401045906","0","401045907"
"0","401046105","0","人馬座 第3階段 單人模式","401046106","0","401046107"
"0","401046305","0","水之里歐斯 第3階段 單人模式","401046306","0","401046307"
"401304108","401304104","0","三重岩 第1階段","401304106","0","401304107"
"401304208","401304204","0","三重岩 第2階段","401304206","0","401304207"
"401304308","401304304","0","三重岩 第3階段","401304306","0","401304307"
"401304408","401304404","0","三重岩 第4階段","401304406","0","401304407"
"401304508","401304504","0","三重岩 第1階段 單人模式","401304506","0","401304507"
"401304608","401304604","0","三重岩 第2階段 單人模式","401304606","0","401304607"
"401304708","401304704","0","三重岩 第3階段 單人模式","401304706","0","401304707"
"0","401305105","0","野豬雙胞胎 第1階段","401305106","0","401305107"
"0","401305205","0","野豬雙胞胎 第2階段","401305206","0","401305207"
"0","401305305","0","野豬雙胞胎 第3階段","401305306","0","401305307"
"0","401305405","0","野豬雙胞胎 第4階段","401305406","0","401305407"
"0","401305505","0","野豬雙胞胎 第1階段 單人模式","401305506","0","401305507"
"0","401305605","0","野豬雙胞胎 第2階段 單人模式","401305606","0","401305607"
"0","401305705","0","野豬雙胞胎 第3階段 單人模式","401305706","0","401305707"
"0","401307104","0","泰坦龍龜 第1階段","401307106","0","401307107"
"0","401307204","0","泰坦龍龜 第2階段","401307206","0","401307207"
"0","401307304","0","泰坦龍龜 第3階段","401307306","0","401307307"
"0","401307404","0","泰坦龍龜 第4階段","401307406","0","401307407"
"0","401307504","0","泰坦龍龜 第1階段 單人模式","401307506","0","401307507"
"0","401307604","0","泰坦龍龜 第2階段 單人模式","401307606","0","401307607"
"0","401307704","0","泰坦龍龜 第3階段 單人模式","401307706","0","401307707"
"401309108","401309105","0","大胃王 第1階段","401309106","0","401309107"
"401309208","401309205","0","大胃王 第2階段","401309206","0","401309207"
"401309308","401309305","0","大胃王 第3階段","401309306","0","401309307"
"401309408","401309405","0","大胃王 第4階段","401309406","0","401309407"
"401309508","401309505","0","大胃王 第1階段 單人模式","401309506","0","401309507"
"401309608","401309605","0","大胃王 第2階段 單人模式","401309606","0","401309607"
"401309708","401309705","0","大胃王 第3階段 單人模式","401309706","0","401309707"
"401310107","401310104","0","黑曜飛龍 第1階段","401310105","0","401310106"
"401310207","401310204","0","黑曜飛龍 第2階段","401310205","0","401310206"
"401310307","401310304","0","黑曜飛龍 第3階段","401310305","0","401310306"
"401310407","401310404","0","黑曜飛龍 第4階段","401310405","0","401310406"
"401310507","401310504","0","黑曜飛龍 第1階段 單人模式","401310505","0","401310506"
"401310607","401310604","0","黑曜飛龍 第2階段 單人模式","401310605","0","401310606"
"401310707","401310704","0","黑曜飛龍 第3階段 單人模式","401310705","0","401310706"
"0","401311105","0","人馬座 第1階段","401311106","0","401311107"
"0","401311205","0","人馬座 第2階段","401311206","0","401311207"
"0","401311305","0","人馬座 第3階段","401311306","0","401311307"
"0","401311405","0","人馬座 第4階段","401311406","0","401311407"
"0","401311505","0","人馬座 第1階段 單人模式","401311506","0","401311507"
"0","401311605","0","人馬座 第2階段 單人模式","401311606","0","401311607"
"0","401311705","0","人馬座 第3階段 單人模式","401311706","0","401311707"
"401312107","401312104","0","三重岩 第1階段","401312105","0","401312106"
"401312207","401312204","0","三重岩 第2階段","401312205","0","401312206"
"401312307","401312304","0","三重岩 第3階段","401312305","0","401312306"
"401312407","401312404","0","三重岩 第4階段","401312405","0","401312406"
"401312507","401312504","0","三重岩 第5階段","401312505","0","401312506"
"401312607","401312604","0","三重岩 第1階段 單人模式","401312605","0","401312606"
"401312707","401312704","0","三重岩 第2階段 單人模式","401312705","0","401312706"
"401312807","401312804","0","三重岩 第3階段 單人模式","401312805","0","401312806"
"0","401401105","0","水之里歐斯 第1階段","401401106","0","401401107"
"0","401401205","0","水之里歐斯 第2階段","401401206","0","401401207"
"0","401401305","0","水之里歐斯 第3階段","401401306","0","401401307"
"0","401401405","0","水之里歐斯 第4階段","401401406","0","401401407"
