a11bdd500d214880091ae614bef7cc97dd07566950b812f34d66b79840feb76a,bab8a6b25211c3fcbeb81bda6ca54a2128458f0832f27dd022eedb52e4816f28,bbad521a5778a1300ca36db8b34d1bd2b614c3c16519576a531c8193c88fe4b2,1b39ee745a634346724242366c0894abc99fc763f0c1ae0362e250d3131eaf59,ef40be8b78cbcc2aafe3351f7f5cc34eec984ccb4b6342a78e0a083e10aceb52,95b65f1c24735b04eed6ee730e8f501db6dca3f71017ddd57c4949bfe1b68bfb,0ea4656938fbd9b53235cf3837bab73bbc1a9b46054a74c23bd19c930aba9629,c6176c0ffbbd99968219e623afa6a57343f676cd0ef5a9838724f75a827615c1,bc60805fda3293aba708606639d2a213e67152c68cc99b3c4b3bf0056d2e957e,366f58fb2efc5f755a3dbe769c07ac531f6daa336ff5cd1e7e73b2440071e7d7,63db4458e9c48a14dc7f1225c9d198b108bce66c70c4e6a7820bb0f567973d73
"1.65","1","1","1001","72","118511","100","1","-194","taq_karin_idle","1"
"","","1","1002","0","vo_minigame_1009_top_001","0","vo_minigame_1009","","","21"
"0","0","1","1003","0","有準備獎品喔，\n請好好加油吧♪\n","8","118511","0","0","11"
"0.2","","1","1004","","taq_karin_talk_normal","1","118511","","","3"
"","","1","1005","","","","1003","","","91"
"0.2","","1","1006","","taq_karin_idle","1","118511","","","3"
"1.65","1","2","2001","72","118511","100","1","-194","taq_karin_idle","1"
"","","2","2002","0","vo_minigame_1009_top_002","0","vo_minigame_1009","","","21"
"0","0","2","2003","0","這會考驗\n大家的知職喔。","8","118511","0","0","11"
"0.2","","2","2004","","taq_karin_talk_thinking","1","118511","","","3"
"","","2","2005","","","","2003","","","91"
"0.2","","2","2006","","taq_karin_idle","1","118511","","","3"
"1.65","1","3","3001","72","118511","100","1","-194","taq_karin_idle","1"
"","","3","3002","0","vo_minigame_1009_top_003","0","vo_minigame_1009","","","21"
"0","0","3","3003","0","這世上還有很多\n我們不知道的事。\n","8","118511","0","0","11"
"0.2","","3","3004","","taq_karin_talk_surprise","1","118511","","","3"
"","","3","3005","","","","3003","","","91"
"0.2","","3","3006","","taq_karin_idle","1","118511","","","3"
"1.65","1","4","4001","72","118511","100","1","-194","taq_karin_idle","1"
"","","4","4002","0","vo_minigame_1009_top_004","0","vo_minigame_1009","","","21"
"0","0","4","4003","0","不曉得答案時\n可以試著憑直覺。\n","8","118511","0","0","11"
"0.2","","4","4004","","taq_karin_talk_normal2","1","118511","","","3"
"","","4","4005","","","","4003","","","91"
"0.2","","4","4006","","taq_karin_idle","1","118511","","","3"
"1.65","1","5","5001","72","118511","100","1","-194","taq_karin_idle","1"
"","","5","5002","0","vo_minigame_1009_top_005","0","vo_minigame_1009","","","21"
"0","0","5","5003","0","大家齊心協力\n朝向全題答對\n努力吧♪","7","118511","0","0","11"
"0.2","","5","5004","","taq_karin_talk_joy3","1","118511","","","3"
"","","5","5005","","","","5003","","","91"
"0.2","","5","5006","","taq_karin_idle","1","118511","","","3"
