df8c43bd2c3496af4dfdadb84457415d3b7d91e9d39caf8176f8450b191259c0,c9801b8b5df1cecce8bdcf8c6b5f8fdb9bf5059269b03801a3618a52dfdcc86e,358790ac56d9a8131c0b98f360bb6a3368c0c3e5aa86f54dd273e5dc5b6170c5,925a9d3d1f5860f5e719e19b87ebd3c6def2992d82ee62e74b1669decbde1215,b2a6c2b115680d1a3f9aa15e232bf334343e7732e1879e51c82abdcb0b01ea80,60b7513aa9e9db03cb7e34bc9e30552892ebd95c9cb6b8f09b552da721f0a1d9,148be91e76c3466407b6d69d3b49e2a7268c0cf6be1ce09973fa6b6eec468f78,fcef63db82ab6fb5a74f4cb8b5aaa8f2800353b73060581205c8dc73c6467246,5584a6e86163b7850eee9355690e66df171c9d3a05010859cad78e929b30596c,14725d73dc8eb0e1d22a9a4f4d7c68d692c0741c3410b93719e4421809dcc8c1,8090ae3e02fdd1566a265edd747c10307f2b30793027e7023e7ebef2de74d919,7381aac5e5aa605682a1dcddba5020975c68476c34e90e03d187167b78a571fb,2939879676d32fc7c3200c5e2c322f39502adc1dc512e647fdbefc774f2e1fbf
"","","Lost Princess","-1","Lost Princess","","","2018-10-18 15:00:00","","-1","20","1","1"
"","","Connecting Happy!!","-1","Connecting Happy!!","","","2018-10-18 15:00:00","","-1","17","2","2"
"","","踏上旅程","1000","踏上旅程","","","2018-10-18 15:00:00","","-1","20","3","3"
"","","穿過森林的風","1000","穿過森林的風","","","2018-10-18 15:00:00","","-1","20","4","4"
"","","梅莎路提姆","1000","梅莎路提姆","","","2018-10-18 15:00:00","","-1","20","5","5"
"","","初音的禮物大作戰","1000","初音的禮物大作戰","","","2018-10-18 15:00:00","","-1","20","6","6"
"","","席茲","1000","席茲","","","2018-10-18 15:00:00","","-1","20","7","7"
"","","Smiley Contrast","1500","Smiley Contrast","","","2018-10-18 15:00:00","","-1","20","8","8"
"","","牛頭怪","1000","牛頭怪","","","2018-10-18 15:00:00","","-1","20","9","9"
"","","小小甜心大冒險","1000","小小甜心大冒險","","","2018-10-18 15:00:00","","-1","20","10","10"
"","","阿爾瑪","1000","阿爾瑪","","","2018-10-18 15:00:00","","-1","20","11","11"
"","","小小冒險","1500","小小冒險","","","2018-10-18 15:00:00","","-1","18","12","12"
"","","大胃王","1000","大胃王","","","2018-10-18 15:00:00","","-1","20","13","13"
"","","不給布丁就搗蛋！約定的萬聖節派對","1000","不給布丁就搗蛋！約定的萬聖節派對","","","2018-10-18 15:00:00","","-1","20","14","14"
"","","傑克南瓜布丁","1000","傑克南瓜布丁","","","2018-10-18 15:00:00","","-1","17","15","15"
"","","還要！兩人的派～對～夜～","1500","還要！兩人的派～對～夜～","","","2018-10-18 15:00:00","","-1","20","16","16"
"","","閃耀的冰晶","1000","閃耀的冰晶","","","2018-10-18 15:00:00","","-1","20","17","17"
"","","Shining Future","1500","Shining Future","","","2018-11-19 15:00:00","","3010003","20","18","18"
"","","向風起誓","1500","向風起誓","","","2018-11-19 15:00:00","","3010003","20","19","19"
"","","因為想看到你的笑容","1500","因為想看到你的笑容","","","2018-11-19 15:00:00","","3010003","18","20","20"
"","","無法坦率的心！","1500","無法坦率的心！","","","2018-11-19 15:00:00","","1054007","18","21","21"
"","","向詭譎氣氛挺身而出的鬥志","1000","向詭譎氣氛挺身而出的鬥志","","","2018-11-19 15:00:00","","-1","20","22","22"
"","","野豬雙胞胎","1000","野豬雙胞胎","","","2018-11-19 15:00:00","","-1","20","23","23"
"","","吸血鬼獵人with伊莉亞","1000","吸血鬼獵人with伊莉亞","","","2018-11-19 15:00:00","","-1","20","24","24"
"","","加爾格","1000","加爾格","","","2018-11-19 15:00:00","","-1","20","25","25"
"","","Peaceful*沖繩雜炒","1500","Peaceful*沖繩雜炒","","","2018-11-19 15:00:00","","-1","20","26","26"
"","","天蠍毒者","1000","天蠍毒者","","","2018-11-19 15:00:00","","-1","20","27","27"
"","","暮光破壞者","1000","暮光破壞者","","","2018-11-19 15:00:00","","-1","20","28","28"
"","","奧拉姆","1000","奧拉姆","","","2018-11-19 15:00:00","","-1","20","29","29"
"","","最強對吧，對吧？","1500","最強對吧，對吧？","","","2018-11-19 15:00:00","","-1","20","30","30"
"","","冰海之地","1000","冰海之地","","","2018-11-19 15:00:00","","-1","20","31","31"
"","","冰天雪地","1000","冰天雪地","","","2018-12-19 15:00:00","","-1","20","32","32"
"","","涼爽的風","1000","涼爽的風","","","2018-12-19 15:00:00","","-1","20","33","33"
"","","加爾基諾司","1000","加爾基諾司","","","2018-12-19 15:00:00","","-1","20","34","34"
