8331e3e6d4230d15bbccf2fb96f300477f297b3c7a42a74fc436fbc5f9b23be3,30792d881f5c961633e17a2ce33af61787701731a91c82d40399be438bf95798,8137903e8cfc216baaa6037c2684cc120968ba7d5601d20784f7d8cae2ec0a5c,ed1a360dcfe7ab5a19bf0b8dfb057b0ab12b1b6932321b1d813fba9338912378
"【攻擊者】攻擊力提升Lv1","1","81101","10101"
"【攻擊者】攻擊力提升Lv2","2","81102","10101"
"【攻擊者】攻擊力提升Lv3","3","81103","10101"
"【攻擊者】攻擊力提升Lv4","4","81104","10101"
"【攻擊者】攻擊力提升Lv5","5","81105","10101"
"【攻擊者】暴擊率提升Lv1","1","81201","10102"
"【攻擊者】暴擊率提升Lv2","2","81202","10102"
"【攻擊者】暴擊率提升Lv3","3","81203","10102"
"【攻擊者】暴擊率提升Lv4","4","81204","10102"
"【攻擊者】暴擊率提升Lv5","5","81205","10102"
"【攻擊者】造成傷害提升Lv1","1","81301","10103"
"【攻擊者】造成傷害提升Lv2","2","81302","10103"
"【攻擊者】造成傷害提升Lv3","3","81303","10103"
"【攻擊者】造成傷害提升Lv4","4","81304","10103"
"【攻擊者】造成傷害提升Lv5","5","81305","10103"
"【攻擊者】普通攻擊強化Lv1","1","81401","10104"
"【攻擊者】普通攻擊強化Lv2","2","81402","10104"
"【攻擊者】普通攻擊強化Lv3","3","81403","10104"
"【攻擊者】普通攻擊強化Lv4","4","81404","10104"
"【攻擊者】普通攻擊強化Lv5","5","81405","10104"
"【破防者】攻擊力提升Lv1","1","82101","10201"
"【破防者】攻擊力提升Lv2","2","82102","10201"
"【破防者】攻擊力提升Lv3","3","82103","10201"
"【破防者】攻擊力提升Lv4","4","82104","10201"
"【破防者】攻擊力提升Lv5","5","82105","10201"
"【破防者】暴擊率提升Lv1","1","82201","10202"
"【破防者】暴擊率提升Lv2","2","82202","10202"
"【破防者】暴擊率提升Lv3","3","82203","10202"
"【破防者】暴擊率提升Lv4","4","82204","10202"
"【破防者】暴擊率提升Lv5","5","82205","10202"
"【破防者】暴擊傷害提升Lv1","1","82301","10203"
"【破防者】暴擊傷害提升Lv2","2","82302","10203"
"【破防者】暴擊傷害提升Lv3","3","82303","10203"
"【破防者】暴擊傷害提升Lv4","4","82304","10203"
"【破防者】暴擊傷害提升Lv5","5","82305","10203"
"【破防者】普通攻擊強化Lv1","1","82401","10204"
"【破防者】普通攻擊強化Lv2","2","82402","10204"
"【破防者】普通攻擊強化Lv3","3","82403","10204"
"【破防者】普通攻擊強化Lv4","4","82404","10204"
"【破防者】普通攻擊強化Lv5","5","82405","10204"
"【增益者】ＨＰ提升Lv1","1","83101","10301"
"【增益者】ＨＰ提升Lv2","2","83102","10301"
"【增益者】ＨＰ提升Lv3","3","83103","10301"
"【增益者】ＨＰ提升Lv4","4","83104","10301"
"【增益者】ＨＰ提升Lv5","5","83105","10301"
"【增益者】物理防禦力提升Lv1","1","83201","10302"
"【增益者】物理防禦力提升Lv2","2","83202","10302"
"【增益者】物理防禦力提升Lv3","3","83203","10302"
"【增益者】物理防禦力提升Lv4","4","83204","10302"
"【增益者】物理防禦力提升Lv5","5","83205","10302"
"【增益者】魔法防禦力提升Lv1","1","83301","10303"
"【增益者】魔法防禦力提升Lv2","2","83302","10303"
"【增益者】魔法防禦力提升Lv3","3","83303","10303"
"【增益者】魔法防禦力提升Lv4","4","83304","10303"
"【增益者】魔法防禦力提升Lv5","5","83305","10303"
"【增益者】增益強化Lv1","1","83401","10304"
"【增益者】增益強化Lv2","2","83402","10304"
"【增益者】增益強化Lv3","3","83403","10304"
"【增益者】增益強化Lv4","4","83404","10304"
"【增益者】增益強化Lv5","5","83405","10304"
"【減益者】ＨＰ提升Lv1","1","84101","10401"
"【減益者】ＨＰ提升Lv2","2","84102","10401"
"【減益者】ＨＰ提升Lv3","3","84103","10401"
"【減益者】ＨＰ提升Lv4","4","84104","10401"
"【減益者】ＨＰ提升Lv5","5","84105","10401"
"【減益者】物理防禦力提升Lv1","1","84201","10402"
"【減益者】物理防禦力提升Lv2","2","84202","10402"
"【減益者】物理防禦力提升Lv3","3","84203","10402"
"【減益者】物理防禦力提升Lv4","4","84204","10402"
"【減益者】物理防禦力提升Lv5","5","84205","10402"
"【減益者】魔法防禦力提升Lv1","1","84301","10403"
"【減益者】魔法防禦力提升Lv2","2","84302","10403"
"【減益者】魔法防禦力提升Lv3","3","84303","10403"
"【減益者】魔法防禦力提升Lv4","4","84304","10403"
"【減益者】魔法防禦力提升Lv5","5","84305","10403"
"【減益者】減益強化Lv1","1","84401","10404"
"【減益者】減益強化Lv2","2","84402","10404"
"【減益者】減益強化Lv3","3","84403","10404"
"【減益者】減益強化Lv4","4","84404","10404"
"【減益者】減益強化Lv5","5","84405","10404"
"【增幅者】ＨＰ提升Lv1","1","85101","10501"
"【增幅者】ＨＰ提升Lv2","2","85102","10501"
"【增幅者】ＨＰ提升Lv3","3","85103","10501"
"【增幅者】ＨＰ提升Lv4","4","85104","10501"
"【增幅者】ＨＰ提升Lv5","5","85105","10501"
"【增幅者】物理防禦力提升Lv1","1","85201","10502"
"【增幅者】物理防禦力提升Lv2","2","85202","10502"
"【增幅者】物理防禦力提升Lv3","3","85203","10502"
"【增幅者】物理防禦力提升Lv4","4","85204","10502"
"【增幅者】物理防禦力提升Lv5","5","85205","10502"
"【增幅者】魔法防禦力提升Lv1","1","85301","10503"
"【增幅者】魔法防禦力提升Lv2","2","85302","10503"
"【增幅者】魔法防禦力提升Lv3","3","85303","10503"
"【增幅者】魔法防禦力提升Lv4","4","85304","10503"
"【增幅者】魔法防禦力提升Lv5","5","85305","10503"
"【增幅者】ＴＰ蓄力Lv1","1","85401","10504"
"【增幅者】ＴＰ蓄力Lv2","2","85402","10504"
"【增幅者】ＴＰ蓄力Lv3","3","85403","10504"
"【增幅者】ＴＰ蓄力Lv4","4","85404","10504"
"【增幅者】ＴＰ蓄力Lv5","5","85405","10504"
"【治療者】ＨＰ提升Lv1","1","86101","10601"
"【治療者】ＨＰ提升Lv2","2","86102","10601"
"【治療者】ＨＰ提升Lv3","3","86103","10601"
"【治療者】ＨＰ提升Lv4","4","86104","10601"
"【治療者】ＨＰ提升Lv5","5","86105","10601"
"【治療者】物理防禦力提升Lv1","1","86201","10602"
"【治療者】物理防禦力提升Lv2","2","86202","10602"
"【治療者】物理防禦力提升Lv3","3","86203","10602"
"【治療者】物理防禦力提升Lv4","4","86204","10602"
"【治療者】物理防禦力提升Lv5","5","86205","10602"
"【治療者】魔法防禦力提升Lv1","1","86301","10603"
"【治療者】魔法防禦力提升Lv2","2","86302","10603"
"【治療者】魔法防禦力提升Lv3","3","86303","10603"
"【治療者】魔法防禦力提升Lv4","4","86304","10603"
"【治療者】魔法防禦力提升Lv5","5","86305","10603"
"【治療者】恢復強化Lv1","1","86401","10604"
"【治療者】恢復強化Lv2","2","86402","10604"
"【治療者】恢復強化Lv3","3","86403","10604"
"【治療者】恢復強化Lv4","4","86404","10604"
"【治療者】恢復強化Lv5","5","86405","10604"
"【掩護者】ＨＰ提升Lv1","1","87101","10701"
"【掩護者】ＨＰ提升Lv2","2","87102","10701"
"【掩護者】ＨＰ提升Lv3","3","87103","10701"
"【掩護者】ＨＰ提升Lv4","4","87104","10701"
"【掩護者】ＨＰ提升Lv5","5","87105","10701"
"【掩護者】物理防禦力提升Lv1","1","87201","10702"
"【掩護者】物理防禦力提升Lv2","2","87202","10702"
"【掩護者】物理防禦力提升Lv3","3","87203","10702"
"【掩護者】物理防禦力提升Lv4","4","87204","10702"
"【掩護者】物理防禦力提升Lv5","5","87205","10702"
"【掩護者】魔法防禦力提升Lv1","1","87301","10703"
"【掩護者】魔法防禦力提升Lv2","2","87302","10703"
"【掩護者】魔法防禦力提升Lv3","3","87303","10703"
"【掩護者】魔法防禦力提升Lv4","4","87304","10703"
"【掩護者】魔法防禦力提升Lv5","5","87305","10703"
"【掩護者】狀態異常抵抗Lv1","1","87401","10704"
"【掩護者】狀態異常抵抗Lv2","2","87402","10704"
"【掩護者】狀態異常抵抗Lv3","3","87403","10704"
"【掩護者】狀態異常抵抗Lv4","4","87404","10704"
"【掩護者】狀態異常抵抗Lv5","5","87405","10704"
"【妨礙者】ＨＰ提升Lv1","1","88101","10801"
"【妨礙者】ＨＰ提升Lv2","2","88102","10801"
"【妨礙者】ＨＰ提升Lv3","3","88103","10801"
"【妨礙者】ＨＰ提升Lv4","4","88104","10801"
"【妨礙者】ＨＰ提升Lv5","5","88105","10801"
"【妨礙者】攻擊力提升Lv1","1","88201","10802"
"【妨礙者】攻擊力提升Lv2","2","88202","10802"
"【妨礙者】攻擊力提升Lv3","3","88203","10802"
"【妨礙者】攻擊力提升Lv4","4","88204","10802"
"【妨礙者】攻擊力提升Lv5","5","88205","10802"
"【妨礙者】狀態異常命中Lv1","1","88301","10803"
"【妨礙者】狀態異常命中Lv2","2","88302","10803"
"【妨礙者】狀態異常命中Lv3","3","88303","10803"
"【妨礙者】狀態異常命中Lv4","4","88304","10803"
"【妨礙者】狀態異常命中Lv5","5","88305","10803"
"【妨礙者】狀態異常抵抗Lv1","1","88401","10804"
"【妨礙者】狀態異常抵抗Lv2","2","88402","10804"
"【妨礙者】狀態異常抵抗Lv3","3","88403","10804"
"【妨礙者】狀態異常抵抗Lv4","4","88404","10804"
"【妨礙者】狀態異常抵抗Lv5","5","88405","10804"
