58aa7287a9491a4940137c29065ce7386e316130d205ccea841322b9fe095d30,43feee31eefd987417d20b981672bd1dde389a53272d80e590f06e9639c0611d,87debb8477b50d47992b5432d3cf9980ac6503af3c85aa789595039740aedc05,393f74c29c75d268eda3bcb1a6e8a72945e14c1d67b333bfe2639a28ecf9d1ce,cf5e8fcc0874371a9ce937513a985fb8d3664ba370733f162e9f4b9d5ea07583,7dae07252381db2fffc2d3147eb7485b855143f243327c4af5f316924d6befc2,3a187ba8ba7f9768d1279bd7da5c5382f4aa65e7cfdaf88909241025845c1881,4227d719a6f7e3cd4025d7b33635582beffb3e956a615fbe80a87c8fc0459abd,da5515e7653826541f26773d513f79b51bca8bfe616753160afaff033009c095,e1ab9cc643e34a4a50044e19d42ba8e9fe0c5162d65105f3fd54dc6f4de8564a,bf264275cdf5e5925440362ef86fdff8d72addba31eb89cec535a99f088c30e4
"100","0","130011","1001","1.3","1","0","1","bsm_idle_yamato","0","1"
"0","1","bsm_drama_arm_crossed","1002","0.2","130011","0","1","","bsm_drama_arm_crossed_loop","3"
"0","","vo_minigame_1014_top_1000","1003","","vo_minigame_1014","","1","","0","21"
"5","0","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","1004","0","130011","0","1","1","1","11"
"","","","1005","","0","","1","","","91"
"1","","bsm_idle_yamato","1006","0.3","130011","","1","","","3"
"100","0","130011","2001","1.3","1","0","2","bsm_idle_yamato","0","1"
"1","","bsm_drama_thinking","2002","0.2","130011","","2","","","3"
"0","","vo_minigame_1014_top_1001","2003","","vo_minigame_1014","","2","","0","21"
"6","0","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","2004","0","130011","0","2","1","1","11"
"","","","2005","","0","","2","","","91"
"1","","bsm_idle_yamato","2006","0.3","130011","","2","","","3"
"100","0","130011","3001","1.3","1","0","3","bsm_idle_yamato","0","1"
"0","1","bsm_drama_doya","3002","0.2","130011","0","3","","bsm_drama_doya_loop","3"
"0","","vo_minigame_1014_top_1002","3003","","vo_minigame_1014","","3","","0","21"
"7","0","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","3004","0","130011","0","3","1","1","11"
"","","","3005","","0","","3","","","91"
"1","","bsm_idle_yamato","3006","0.3","130011","","3","","","3"
"100","0","130111","4001","1.3","1","0","4","bsm_idle_wakana","0","1"
"0","1","bsm_drama_guts","4002","0.2","130111","0","4","","bsm_drama_guts_loop","3"
"0","","vo_minigame_1014_top_2000","4003","","vo_minigame_1014","","4","","0","21"
"8","0","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","4004","0","130111","0","4","1","1","11"
"","","","4005","","0","","4","","","91"
"1","","bsm_idle_wakana","4006","0.3","130111","","4","","","3"
"100","0","130111","5001","1.3","1","0","5","bsm_idle_wakana","0","1"
"1","","bsm_drama_wish","5002","0.2","130111","","5","","","3"
"0","","vo_minigame_1014_top_2001","5003","","vo_minigame_1014","","5","","0","21"
"8","0","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","5004","0","130111","0","5","1","1","11"
"","","","5005","","0","","5","","","91"
"1","","bsm_idle_wakana","5006","0.3","130111","","5","","","3"
"100","0","130111","6001","1.3","1","0","6","bsm_idle_wakana","0","1"
"1","","bsm_drama_pazzled","6002","0.2","130111","","6","","","3"
"0","","vo_minigame_1014_top_2002","6003","","vo_minigame_1014","","6","","0","21"
"7","0","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","6004","0","130111","0","6","1","1","11"
"","","","6005","","0","","6","","","91"
"1","","bsm_idle_wakana","6006","0.3","130111","","6","","","3"
"100","0","130211","7001","1.3","1","0","7","bsm_idle_fubuki","0","1"
"1","","bsm_drama_smile","7002","0.2","130211","","7","","","3"
"0","","vo_minigame_1014_top_3000","7003","","vo_minigame_1014","","7","","0","21"
"5","0","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","7004","0","130211","0","7","1","1","11"
"","","","7005","","0","","7","","","91"
"1","","bsm_idle_fubuki","7006","0.2","130211","","7","","","3"
"100","0","130211","8001","1.3","1","0","8","bsm_idle_fubuki","0","1"
"0","1","bsm_drama_doya","8002","0.2","130211","","8","","bsm_drama_doya_loop","3"
"0","","vo_minigame_1014_top_3001","8003","","vo_minigame_1014","","8","","0","21"
"7","0","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","8004","0","130211","0","8","1","1","11"
"","","","8005","","0","","8","","","91"
"1","","bsm_idle_fubuki","8006","0.2","130211","","8","","","3"
"100","0","130211","9001","1.3","1","0","9","bsm_idle_fubuki","0","1"
"0","1","bsm_drama_laugh","9002","0.2","130211","0","9","","bsm_drama_laugh_loop","3"
"0","","vo_minigame_1014_top_3002","9003","","vo_minigame_1014","","9","","0","21"
"7","0","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","9004","0","130211","0","9","1","1","11"
"","","","9005","","0","","9","","","91"
"1","","bsm_idle_fubuki","9006","0.2","130211","","9","","","3"
