623fbe90cef5608fe79b4d1790f3dd65c2f22f42d2439d7cae5e96c0ded0dc25,3d9fc02281eb6e7b634b00fc7a2c4b2c410bb9fee77c19606a4ed9701b18ef7d,1bc168a7aa82bee0d3044940827ca66af539d107fe9296c546eb64fb395e0dd1,b945eeef48b21415bdbb411d94340b618ae2190d3ea58e044a79ce978e27f27e,573fec246af257e51a0e8ce838568df0ee1d7492a4f2eea0b23fff930d76eb1c,9f9e3e06d6bf750a71403eb134f1ef80643cf9ad33b242b160d96b997d394f5e,d2989693a53e8d588362221183b7e58b08ae6cb8b75f8c9566812a2b5e9df78f,53a4deba53d6d9ea08dd1ae3b989e62a6d447de683ec1a6986ca3dab8b646430,1dd6832e965ae6f4cea4fdee6162739932e4195300064d332d7256cd57fecfaf,f81fd21d0537165ff540990c145bce1b74d015025019ce79b5f0abdcb21c86fb
"10590","1","1","1","1001","1100001","32","575","1002","1003"
"10590","1","1","1","1004","1100002","32","575","1005","1006"
"10590","1","2","1","1007","1100003","32","575","1008","1009"
"11820","1","1","1","1010","1100004","33","500","1011","1012"
"11820","1","1","1","1013","1100005","33","500","1014","1015"
"11820","1","2","1","1016","1100006","33","500","1017","1018"
"11820","1","4","1","1019","1100007","33","500","1020","1021"
"13050","1","1","1","1022","1100008","35","375","1023","1024"
"13050","1","1","1","1025","1100009","35","375","1026","1027"
"13050","1","6","1","1028","1100010","35","375","1029","1030"
"10590","1","1","2","2001","1200001","34","575","2002","2003"
"10590","1","1","2","2004","1200002","34","575","2005","2006"
"10590","1","1","2","2007","1200003","34","575","2008","2009"
"10590","1","1","2","2010","1200004","34","575","2011","2012"
"10590","1","2","2","2013","1200005","34","575","2014","2015"
"10590","1","4","2","2016","1200006","34","575","2017","2018"
"10590","1","6","2","2019","1200007","34","575","2020","2021"
"11820","1","1","2","2022","1200008","35","500","2023","2024"
"11820","1","1","2","2025","1200009","35","500","2026","2027"
"11820","1","1","2","2028","1200010","35","500","2029","2030"
"11820","1","1","2","2031","1200011","35","500","2032","2033"
"11820","1","4","2","2034","1200012","35","500","2035","2036"
"11820","1","6","2","2037","1200013","35","500","2038","2039"
"13050","1","1","2","2040","1200014","38","375","2041","2042"
"13050","1","1","2","2043","1200015","38","375","2044","2045"
"13050","1","1","2","2046","1200016","38","375","2047","2048"
"13050","1","1","2","2049","1200017","38","375","2050","2051"
"13050","1","2","2","2052","1200018","38","375","2053","2054"
"13050","1","4","2","2055","1200019","38","375","2056","2057"
"13050","1","6","2","2058","1200020","38","375","2059","2060"
"10590","1","1","3","3001","1300001","37","575","3002","3003"
"10590","1","1","3","3004","1300002","37","575","3005","3006"
"10590","1","1","3","3007","1300003","37","575","3008","3009"
"10590","1","1","3","3010","1300004","37","575","3011","3012"
"10590","1","1","3","3013","1300005","37","575","3014","3015"
"10590","1","1","3","3016","1300006","37","575","3017","3018"
"10590","1","2","3","3019","1300007","37","575","3020","3021"
"10590","1","2","3","3022","1300008","37","575","3023","3024"
"10590","1","4","3","3025","1300009","37","575","3026","3027"
"10590","1","6","3","3028","1300010","37","575","3029","3030"
"11820","1","1","3","3031","1300011","38","500","3032","3033"
"11820","1","1","3","3034","1300012","38","500","3035","3036"
"11820","1","1","3","3037","1300013","38","500","3038","3039"
"11820","1","1","3","3040","1300014","38","500","3041","3042"
"11820","1","1","3","3043","1300015","38","500","3044","3045"
"11820","1","1","3","3046","1300016","38","500","3047","3048"
"11820","1","2","3","3049","1300017","38","500","3050","3051"
"11820","1","4","3","3052","1300018","38","500","3053","3054"
"11820","1","4","3","3055","1300019","38","500","3056","3057"
"11820","1","6","3","3058","1300020","38","500","3059","3060"
"13050","1","1","3","3061","1300021","40","375","3062","3063"
"13050","1","1","3","3064","1300022","40","375","3065","3066"
"13050","1","1","3","3067","1300023","40","375","3068","3069"
"13050","1","1","3","3070","1300024","40","375","3071","3072"
"13050","1","1","3","3073","1300025","40","375","3074","3075"
"13050","1","1","3","3076","1300026","40","375","3077","3078"
"13050","1","2","3","3079","1300027","40","375","3080","3081"
"13050","1","4","3","3082","1300028","40","375","3083","3084"
"13050","1","6","3","3085","1300029","40","375","3086","3087"
"13050","1","6","3","3088","1300030","40","375","3089","3090"
"9360","2","3","1","4001","2100001","29","700","4002","4003"
"9360","2","5","1","4004","2100002","29","700","4005","4006"
"9360","2","7","1","4007","2100003","29","700","4008","4009"
"9360","2","3","1","4010","2100004","29","700","4011","4012"
"9360","2","5","1","4013","2100005","29","700","4014","4015"
"9360","2","7","1","4016","2100006","29","700","4017","4018"
"10590","2","3","1","4019","2100007","30","575","4020","4021"
"10590","2","5","1","4022","2100008","30","575","4023","4024"
"10590","2","7","1","4025","2100009","30","575","4026","4027"
"10590","2","3","1","4028","2100010","30","575","4029","4030"
"9360","2","3","2","5001","2200001","33","700","5002","5003"
"9360","2","5","2","5004","2200002","33","700","5005","5006"
"9360","2","7","2","5007","2200003","33","700","5008","5009"
"9360","2","3","2","5010","2200004","33","700","5011","5012"
"9360","2","5","2","5013","2200005","33","700","5014","5015"
"9360","2","7","2","5016","2200006","33","700","5017","5018"
"9360","2","3","2","5019","2200007","33","700","5020","5021"
"9360","2","5","2","5022","2200008","33","700","5023","5024"
"9360","2","7","2","5025","2200009","33","700","5026","5027"
"9360","2","3","2","5028","2200010","33","700","5029","5030"
"9360","2","5","2","5031","2200011","33","700","5032","5033"
"9360","2","7","2","5034","2200012","33","700","5035","5036"
