e385ba27aa9cf9950b2839bc0bcecd23a6837236c0ef9184a52768ecb4fa0ce3,5c06be23db12f9b0319c91a06424029d7be9da86e57292f76fd1412fe131eb73,6ab2bfd145e4d67d458252d5420cd0c8ef5b9d355967ec0a6fced491128c8cd9,fa05031cf5d2db4ec6634894895032ccf351dfb72824922abb97eed0f36b76f1,de3a23d67126855a59d5eda8311f8e25db4a17285d08c536d2da58e0cfa35d88,9d99816a2f1a722eba66603aa972b4a526969525934501c50dd672671a61f4c7
"","200","0","100","1","2"
"","200","2","101","2","300"
"","201","7","200","200","100207"
"","100900","6","200","201","100206"
"","301","0","300","300","302"
"","302","0","301","301","100301"
"","100910","1","200","302","303"
"","100910","2","200","303","100201"
"201","0","0","0","100201","0"
"206","0","0","0","100206","0"
"207","0","0","0","100207","0"
"301","0","0","0","100301","0"
"1","0","0","300","100900","0"
"1","0","0","0","100901","0"
"1,2000","0","0","0","100910","0"
