ce2f15130507c7f626537f8826087c9d58939a7b40c66facfa7b336e72793462,1133b7fa781b1884a02241501bff524bf1d23997661c89e94549efbdeb94e689,fe489d23c3ed090eb9911b19c71b46d7d0daf5160387e647ad82ec4457061cb0,d7e1184363d2d505fb0b78e5170881cbf1b69095810a07931096dcb1f286268f
"301","201","107","100101"
"305","203","110","100201"
"301","202","101","100301"
"303","201","107","100401"
"302","202","108","100501"
"305","204","110","100601"
"302","201","108","100701"
"305","203","110","100801"
"304","204","109","100901"
"305","203","110","101001"
"301","201","106","101101"
"304","204","109","101201"
"304","204","109","101301"
"305","203","109","101401"
"305","203","110","101501"
"301","201","106","101601"
"301","201","107","101701"
"305","204","109","101801"
"301","201","102","102001"
"302","201","105","102101"
"304","204","109","102201"
"303","201","105","102301"
"305","203","110","102501"
"303","201","104","102601"
"301","201","105","102701"
"301","201","101","102801"
"302","202","108","102901"
"301","201","102","103001"
"303","201","102","103101"
"301","202","102","103201"
"303","202","104","103301"
"303","201","102","103401"
"304","204","109","103601"
"301","201","101","103701"
"301","201","106","103801"
"303","201","106","104001"
"305","203","110","104201"
"301","202","102","104301"
"304","204","109","104401"
"302","203","108","104501"
"301","201","103","104601"
"302","202","108","104701"
"301","202","104","104801"
"303","202","102","104901"
"304","204","109","105001"
"303","201","102","105101"
"302","202","108","105201"
"303","201","101","105301"
"303","201","107","105401"
"303","201","104","105501"
"302","201","108","105601"
"301","201","101","105701"
"302","202","102","105801"
"303","201","104","105901"
"304","204","109","106001"
"301","201","103","106101"
"301","201","106","106301"
"301","201","101","106401"
"301","201","107","106501"
"303","202","105","106601"
"305","204","109","106701"
"301","202","101","106801"
"301","201","101","106901"
"304","204","109","107001"
"301","202","101","107101"
"301","202","102","107501"
"303","201","104","107601"
"305","203","110","107701"
"304","204","109","107801"
"301","201","103","107901"
"301","202","104","108001"
"303","201","105","108101"
"303","201","107","108201"
"304","204","109","108301"
"305","203","110","108401"
"302","201","105","108501"
"303","201","105","108601"
"301","201","107","108701"
"305","203","110","108801"
"302","201","108","108901"
"301","201","105","109001"
"303","202","102","109101"
"304","204","110","109201"
"304","204","110","109301"
"304","204","110","109401"
"302","203","108","109501"
"301","201","103","109601"
"303","201","105","109701"
"305","203","110","109801"
"304","203","109","109901"
"301","201","106","110001"
"305","204","110","110101"
"304","204","109","110201"
"301","201","101","110301"
"301","202","102","110401"
"301","201","107","110501"
"305","203","110","110601"
"303","201","106","110701"
"301","201","103","110801"
"301","201","107","110901"
"305","203","110","111001"
"304","204","109","111101"
"303","201","107","111201"
"301","201","102","111301"
"304","204","109","111401"
"301","202","101","111501"
"302","202","108","111601"
"304","204","109","111701"
"302","202","102","111801"
"303","201","104","111901"
"304","204","109","112001"
"305","203","110","112101"
"305","203","109","112201"
"301","201","106","112301"
"301","201","101","112401"
"302","202","101","112501"
"304","204","109","112601"
"303","201","104","112701"
"303","202","104","112801"
"301","201","106","112901"
"303","201","104","113001"
"301","202","101","113101"
"304","204","109","113201"
"304","204","109","113301"
"304","204","109","113401"
"305","203","110","113501"
"301","202","102","113601"
