583574232f638ef5cea075d033d130f60b4d04a268f4d868064bb2091984924b,e3c681b5ab8685e1a2ec3e70c8570af8b0e3d2f1ad1639af243974d55048dc6b,c8074a0cf48adee33099d889916c2663926e47c7988035dbd8f66252312f1bc5,0a9b4d82fd50190efcc6bb69e83eb8ef5f08a066b507720d05c88844fe327e65,077d31026310980d5c7eeaf218066792e61d7bcf1e57e500db0320cd4d37dd8a,9899778adc46291ab766ad0b0479880dff7fcfb20bd22bf86a31161992c2b773,4f74495ba9d4b76a967016c80fcc929d70056c1f544d0fcd696d9fd4a1d5f969,05c95fc8176ebf778e33324a7506a1b30e5ecd80ea3d1cbb94b02b30323d395c,91eb4c801006d2a1c2094ae8b630e299463af91ca73424150faa93687262a1e4,be6bd597563bf6c20f7a87025d76106c137d10c081c22c1f9da6cc79ac8f14c5,adfc48e13d9845e9b0e42c3bbc873f50a06e681df78e279738de034ff3c8ad49,4b23b7c09987a0afaf3a3a31a3ae1ba3ef26b894da79df7c976620e785aeb110
"0","2","20000","可獲得隨機的 EXP 藥水。","0","0","0","2030/08/01 14:59:59","1","2015/12/17 15:00:00","隨機 EXP 藥水BOX","6"
"80","1","20001","用來強化角色的 Lv，使用後增加 60 的 EXP。","60","0","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","小型 EXP 藥水","1"
"400","2","20002","用來強化角色的 Lv，使用後增加 300 的 EXP。","300","0","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","普通 EXP 藥水","1"
"2000","3","20003","用來強化角色的 Lv，使用後增加 1500 的 EXP。","1500","0","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","高劑量 EXP 藥水","1"
"10000","4","20004","用來強化角色的 Lv，使用後增加 7500 的 EXP。","7500","0","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","特級 EXP 藥水","1"
"50000","5","20005","用來強化角色的 Lv，使用後增加 37500 的 EXP。","37500","0","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","究極EXP藥水","1"
"0","1","21001","優花梨（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","1","0","0","2030/08/01 14:59:59","999","2021/04/01 16:00:00","優花梨（聖誕節）專用水晶球 / Lv180","21"
"0","1","21002","矛依未（新年）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","2","0","0","2030/08/01 14:59:59","999","2021/05/04 16:00:00","矛依未（新年）專用水晶球 / Lv180","21"
"0","1","21003","優衣（祭服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","3","0","0","2030/08/01 14:59:59","999","2021/06/02 16:00:00","優衣（祭服）專用水晶球 / Lv180","21"
"0","1","21004","莉瑪（灰姑娘）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","5","0","0","2030/08/01 14:59:59","999","2021/07/05 16:00:00","莉瑪（灰姑娘）專用水晶球 / Lv180","21"
"0","1","21005","珠希（工作服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","6","0","0","2030/08/01 14:59:59","999","2021/05/31 12:00:00","珠希（工作服）專用水晶球 / Lv180","21"
"0","1","21006","紡希（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","7","0","0","2030/08/01 14:59:59","999","2021/07/31 12:00:00","紡希（夏日）專用水晶球 / Lv180","21"
"0","1","21007","妮諾（萬聖節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","8","0","0","2030/08/01 14:59:59","999","2021/09/30 12:00:00","妮諾（萬聖節）專用水晶球 / Lv180","21"
"0","1","21008","真陽（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","9","0","0","2030/08/01 14:59:59","999","2022/04/01 16:00:00","真陽（聖誕節）專用水晶球 / Lv215","21"
"0","1","21009","流夏（新年）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","10","0","0","2030/08/01 14:59:59","999","2022/05/02 16:00:00","流夏（新年）專用水晶球 / Lv215","21"
"0","1","21010","拉比林斯達（超載）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","12","0","0","2030/08/01 14:59:59","999","2022/06/08 16:00:00","拉比林斯達（超載）專用水晶球 / Lv215","21"
"0","1","21011","碧（露營）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","13","0","0","2030/08/01 14:59:59","999","2022/10/02 16:00:00","碧（露營）專用水晶球 / Lv215","21"
"0","1","21012","日和（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","14","0","0","2030/08/01 14:59:59","999","2022/11/01 16:00:00","日和（夏日）專用水晶球 / Lv215","21"
"0","1","21013","禊（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","15","0","0","2030/08/01 14:59:59","999","2022/12/01 16:00:00","禊（夏日）專用水晶球 / Lv215","21"
"0","1","21014","鈴（萬聖節）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","16","0","0","2030/08/01 14:59:59","999","2023/02/01 16:00:00","鈴（萬聖節）專用水晶球 / Lv215","21"
"0","1","21015","依里（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","17","0","0","2030/08/01 14:59:59","999","2023/04/01 16:00:00","依里（聖誕節）專用水晶球 / Lv250","21"
