f232c0e7cf3fd4950168976465edbe8bc2aee8354747371b109a390f08cc4406,3296a59d05b31ad8792efd92d5d254a602b8735cc196934e76804081918071d7,1d6a05a8d10f970bd4392c17dded3ac4f33e5f6e9763bb58c63a4d2ab0d62501,5768931472b98196ea9656600d06b82d98b467d19bb29ea5be5fb0d57f065ab0,c24b7ea90019d92e1088b13be0c8419548ad7cf398b4ab5611aebbbf6e4f5e43,1962cc417d415f874c32351ebb9441821cac22c4918026720319921d53fb9af0,7b05351b78ae7095fcbadcd480afb3288fa498fed5d865861adb30bf5cf9849b,4c8568e796e1a7a4b92b84928ceb5978cc5d46bdd4fe5ce5e333e6952c43bc73,43eea25b4e761bfb5f610a5c3bcd1441326845e1dc8fe7fff82444f5ca500f90,21a1a823682ac29ce6c55b22bd62515b343c11f02a50f7c6cc78f182ffe620ae,b5b253fc4837c4c415680300c39630da13a4ed8c07b5d977574b9febf88801b3,b26245b3d4c198219578aa0461afb9413382611e10f1fc296ae92744850f07cb
"0","103","0","10140","107511","1","0","2","游泳圈游泳（黃）","10140101","10","0"
"0","102","0","10140","107611","1","0","2","游泳圈游泳（藍）","10140102","15","0"
"0","103","0","10140","107711","1","0","1","游泳圈游泳（黃）","10140103","10","0"
"0","102","0","10140","108011","1","0","2","游泳圈游泳（藍）","10140106","10","0"
"0","101","0","10140","110011","1","0","2","游泳圈游泳（粉）","10140107","10","0"
"0","101","0","10140","110111","1","0","1","游泳圈游泳（粉）","10140108","10","0"
"0","103","0","10140","110311","1","0","1","游泳圈游泳（黃）","10140109","3","0"
"0","102","0","10140","110411","1","0","2","游泳圈游泳（藍）","10140110","10","0"
"0","102","0","10140","110511","1","0","2","游泳圈游泳（藍）","10140111","10","0"
"0","101","0","10140","110611","1","0","2","游泳圈游泳（粉）","10140112","50","0"
"0","102","0","10140","113111","1","0","1","游泳圈游泳（藍）","10140113","5","0"
"0","102","0","10140","113211","1","0","1","游泳圈游泳（藍）","10140114","5","0"
"0","102","0","10140","113311","1","0","1","游泳圈游泳（藍）","10140115","5","0"
"0","102","0","10140","113411","1","0","2","游泳圈游泳（藍）","10140116","10","0"
"0","102","0","10140","113511","1","0","2","游泳圈游泳（藍）","10140117","10","0"
"0","102","0","10140","113611","1","0","2","游泳圈游泳（藍）","10140118","10","0"
"0","102","0","10140","115711","1","0","1","游泳圈游泳（藍）","10140119","5","0"
"0","101","0","10140","117011","1","0","2","游泳圈游泳（粉）","10140120","10","0"
"0","102","0","10140","117111","1","0","2","游泳圈游泳（藍）","10140121","10","0"
"0","102","0","10140","117211","1","0","2","游泳圈游泳（藍）","10140122","10","0"
