0fa8a263ab058665c5aebf0cd4152666a040d32625053d0684233b4a706cbe0a,0cacfa9fdbc69e827ac34f7c0632c5a1ab8da2ec317ee67ba517ccb9f34570f2,b797f9af473ee0ba637ed7f962f91e03fa505eff5b371d0fce0bcd90fec1760b,07e53f0fa50910b7c97a4d993191cdb53f6e420bd5e1d6fe0a4b8193dd0ac8bf
"1","1001","1","11001"
"2","1001","0","11002"
"3","1001","0","11003"
"4","1001","0","11004"
"5","1001","0","11005"
"6","1001","0","12001"
"7","1001","0","12002"
"8","1001","0","12003"
"9","1001","0","12004"
"10","1001","0","12005"
"11","1001","0","13001"
"12","1001","0","13002"
"13","1001","0","13003"
"14","1001","0","13004"
"15","1001","0","13005"
"16","1001","0","14001"
"17","1001","0","14002"
"18","1001","0","14003"
"19","1001","0","14004"
"20","1001","0","14005"
"21","1001","0","15001"
"22","1001","0","15002"
"23","1001","0","15003"
"24","1001","0","15004"
"25","1001","0","15005"
"26","1001","0","21001"
"27","1001","0","21002"
"28","1001","0","21003"
"29","1001","0","21004"
"30","1001","0","21005"
"31","1001","0","22001"
"32","1001","0","22002"
"33","1001","0","22003"
"34","1001","0","22004"
"35","1001","0","22005"
"36","1001","0","23001"
"37","1001","0","23002"
"38","1001","0","23003"
"39","1001","0","23004"
"40","1001","0","23005"
"41","1001","0","24001"
"42","1001","0","24002"
"43","1001","0","24003"
"44","1001","0","24004"
"45","1001","0","24005"
"46","1001","0","25001"
"47","1001","0","25002"
"48","1001","0","25003"
"49","1001","0","25004"
"50","1001","0","25005"
"51","1001","0","31001"
"52","1001","0","31002"
"53","1001","0","31003"
"54","1001","0","31004"
"55","1001","0","31005"
"56","1001","0","32001"
"57","1001","0","32002"
"58","1001","0","32003"
"59","1001","0","32004"
"60","1001","0","32005"
"61","1001","0","33001"
"62","1001","0","33002"
"63","1001","0","33003"
"64","1001","0","33004"
"65","1001","0","33005"
"66","1001","0","34001"
"67","1001","0","34002"
"68","1001","0","34003"
"69","1001","0","34004"
"70","1001","0","34005"
"71","1001","0","35001"
"72","1001","0","35002"
"73","1001","0","35003"
"74","1001","0","35004"
"75","1001","0","35005"
"76","1002","1","11001"
"77","1002","0","11002"
"78","1002","0","11003"
"79","1002","0","11004"
"80","1002","0","11005"
"81","1002","0","12001"
