168ec2ce29ec019f57fece0e3b8157877b713b298966d40cd780e2e22d96c5f4,014bd6380bee8f935ed2b442823baefecae645044bd33830277c980196b9a5e5,2fe8d215c8b8e6774b9a85c6d2479c2dfe55423a371fa37dbddbf8361aef3ee5,f70da9047b61f0cd92c3a5191446853e4545d6976df987d94c6ed48239adfb47,215ef5a32ff84ff76e33fd57c00a6eb21b9ff486ef71e5cdefb841a4bf1f79d1,c4ca451eab1e6bc03d99fdb31d320a05d49c9779c9cb88319bfcd5e76a052ff1,5d688bca4ea96b4612c85e91ab877838aafcd465c259dc22a13a6f8a909d157b,3f8bfe06fb3ca9aeaee2020722a1f9d18244bd971a5a13bd96056d7c039e860e,305fe76d17eeae990ad22222815fe3215eed1481249ab909daaef85a0c48c266,0ba4190c87aa8fda74ac47c5739f5d5a97b2683f7f26790dd467e5b97b4bcdd1,8429864b69cefbad484c0d35d4104bd26204da940e80d9988eb21cecafa4c560,f3b832a4958791cacd6d04832838d96116f3a1f7d026256be5d1821014946995,e530ae8d9ef38f93f353224644504ff82cc6ec5d0100d5d2816976303d7a4cfe,ea67b08caac81bbb1f84eb6eafb82fb0939a4d205441a24ba3c041a0e36a94ac,f2e5914f9951b00af962383d8f7fd7cdc8424b04dc3768c1da3111df44819dba,52f4fef0a09d5473900de4d0dd218fcd1f03a1a0e784b9f07fe454e4fa1189a7
"101","2","215","980","1008201","401","70","455","201","1","1","2","3","301","501","-110"
"102","2","215","515","1008202","402","70","230","202","2","1","2","3","302","502","-110"
"103","1","215","515","1008203","403","70","230","203","3","1","2","3","303","503","-110"
"104","1","215","515","1008204","404","70","230","204","4","1","2","3","304","504","-110"
"105","2","233","787","1008205","405","78","355","205","5","1","2","3","305","505","-110"
"106","3","233","787","1008206","406","78","355","206","6","1","2","3","306","506","-110"
"107","3","233","777","1008207","407","88","345","207","7","1","2","3","307","507","-110"
"108","1","233","777","1008208","408","88","345","208","8","1","2","3","308","508","-110"
"109","1","233","777","1008209","409","88","345","209","9","1","2","3","309","509","-110"
"110","3","233","810","1008210","410","88","355","210","10","1","2","3","310","510","-110"
"111","2","233","777","1008211","411","88","345","211","11","1","2","3","311","511","-110"
"112","2","215","515","1008212","412","70","230","212","12","1","2","3","312","512","-110"
"113","1","233","810","1008213","413","78","355","213","13","1","2","3","313","513","-110"
"114","1","215","515","1008214","414","70","230","214","14","1","2","3","314","514","-110"
"115","3","215","515","1008215","415","70","230","215","15","1","2","3","315","515","-110"
"116","2","215","655","1008216","416","70","275","216","16","1","2","3","316","516","-110"
"117","3","215","515","1008217","417","70","230","217","17","1","2","3","317","517","-110"
"118","3","233","777","1008218","418","88","345","218","18","1","2","3","318","518","-110"
