206782dcb183275e67ac729626b5b2777f695e6a3542acfeed9a73e85a8b70c0,4d78e9aa766de9fef3b7e8e563989eede8e50c9ee81c752796b10818f7ee44f4,e43dc02a6118147b9101af49f8f9f6e2fec461928248c61bde4688cc5d0673ff,b4296f750fea6cfbb7c9648badc9e5e0748e872e87ea689b68b47237b209f2af,5ac6f67475b994716d76521cd6f1a002241c8a3ad2c9beac44d0d4bceb93c14a,4a0e60663ad95f05a4b9207f2ea6beaebaa1623f51668eaa583bdec3184f4ffd,332aaa2eedca85c17d40df2217ee4da144c74cc8f109f3199f1c27000540dca8,262d9563994a25315a10fded721a2cd0c1ed41dd18a4fe1287ebadc0ca74f58d,2452d62c948dbde498e1561bce63b7225aa83f72e28c0ed7d5c4f60791d53ff3,e89d1f95e21331da1ec5f6de20c914cb108d23981f28c42ae08909bd664390c9,cf13380a42081cd568409c76258808205e79efe27473f7fdc8fdcd47107381c7
"8","8","25014","31","1","2","25021","2","10","91002","284001001"
"8","8","25014","31","2","2","25021","2","10","91002","284001002"
"8","8","25014","32","3","2","25021","2","10","91002","284001003"
"8","8","25014","32","4","2","25021","2","10","91002","284001004"
"8","8","25014","33","5","2","25021","2","10","91002","284001005"
"9","8","25014","33","6","2","25021","2","10","91002","284001006"
"9","8","25014","34","7","2","25021","2","10","91002","284001007"
"9","8","25014","35","8","2","25021","2","10","91002","284001008"
"9","8","25014","35","9","2","25021","2","10","91002","284001009"
"10","8","25014","37","10","2","25021","2","30","91002","284001010"
"10","8","25014","41","11","2","25021","2","10","91002","284001011"
"11","8","25014","43","12","2","25021","2","10","91002","284001012"
"11","8","25014","46","13","2","25021","2","10","91002","284001013"
"12","8","25014","48","14","2","25021","2","10","91002","284001014"
"12","8","25014","50","15","2","25021","2","10","91002","284001015"
"13","8","25014","53","16","2","25021","2","10","91002","284001016"
"14","8","25014","55","17","2","25021","2","10","91002","284001017"
"14","8","25014","58","18","2","25021","2","10","91002","284001018"
"15","8","25014","60","19","2","25021","2","10","91002","284001019"
"15","8","25014","62","20","2","25021","2","30","91002","284001020"
"16","8","25014","68","21","2","25021","2","10","91002","284001021"
"16","8","25014","70","22","2","25021","2","10","91002","284001022"
"16","8","25014","72","23","2","25021","2","10","91002","284001023"
"17","8","25014","75","24","2","25021","2","10","91002","284001024"
"18","8","25014","77","25","2","25021","2","10","91002","284001025"
"18","8","25014","79","26","2","25021","2","10","91002","284001026"
"19","8","25014","82","27","2","25021","2","10","91002","284001027"
"19","8","25014","84","28","2","25021","2","10","91002","284001028"
"19","8","25014","86","29","2","25021","2","10","91002","284001029"
"20","8","25014","89","30","2","25021","2","30","91002","284001030"
"20","8","25014","94","31","2","25021","2","10","91002","284001031"
"21","8","25014","96","32","2","25021","2","10","91002","284001032"
"21","8","25014","99","33","2","25021","2","10","91002","284001033"
"22","8","25014","101","34","2","25021","2","10","91002","284001034"
"22","8","25014","103","35","2","25021","2","10","91002","284001035"
"23","8","25014","106","36","2","25021","2","10","91002","284001036"
"23","8","25014","108","37","2","25021","2","10","91002","284001037"
"24","8","25014","111","38","2","25021","2","10","91002","284001038"
"25","8","25014","113","39","2","25021","2","10","91002","284001039"
"25","8","25014","115","40","2","25021","2","30","91002","284001040"
"26","8","25014","121","41","2","25021","2","10","91002","284001041"
"27","8","25014","123","42","2","25021","2","10","91002","284001042"
"28","8","25014","125","43","2","25021","2","10","91002","284001043"
"28","8","25014","128","44","2","25021","2","10","91002","284001044"
"29","8","25014","130","45","2","25021","2","10","91002","284001045"
"30","8","25014","132","46","2","25021","2","10","91002","284001046"
"30","8","25014","135","47","2","25021","2","10","91002","284001047"
"31","8","25014","137","48","2","25021","2","10","91002","284001048"
"31","8","25014","139","49","2","25021","2","10","91002","284001049"
"31","8","25014","142","50","2","25021","2","30","91002","284001050"
"32","8","25014","144","51","2","25021","2","10","91002","284001051"
"32","8","25014","146","52","2","25021","2","10","91002","284001052"
"32","8","25014","149","53","2","25021","2","10","91002","284001053"
"33","8","25014","152","54","2","25021","2","10","91002","284001054"
"33","8","25014","155","55","2","25021","2","10","91002","284001055"
"33","8","25014","157","56","2","25021","2","10","91002","284001056"
"34","8","25014","160","57","2","25021","2","10","91002","284001057"
"34","8","25014","163","58","2","25021","2","10","91002","284001058"
"34","8","25014","166","59","2","25021","2","10","91002","284001059"
"35","8","25014","169","60","2","25021","2","30","91002","284001060"
"35","8","25014","171","61","2","25021","2","10","91002","284001061"
"35","8","25014","174","62","2","25021","2","10","91002","284001062"
"36","8","25014","177","63","2","25021","2","10","91002","284001063"
"36","8","25014","180","64","2","25021","2","10","91002","284001064"
"36","8","25014","182","65","2","25021","2","10","91002","284001065"
"37","8","25014","185","66","2","25021","2","10","91002","284001066"
"37","8","25014","187","67","2","25021","2","10","91002","284001067"
"37","8","25014","190","68","2","25021","2","10","91002","284001068"
"38","8","25014","193","69","2","25021","2","10","91002","284001069"
"38","8","25014","196","70","2","25021","2","30","91002","284001070"
