afe2af88dc27da05cac1f72b754bde33a0ad4960883070821d02e1113e2e23c5,213d8e0dabf1353d4e9c0bd9d95ea8b5558a71fd35d18f3bdb3ca8485631d345,8df24c389135da60425a5ac5f262a060f0410d97f1af5a4b3e37a7075ca181a5,53bd03d2cf8a0cacc5dd23d63ff7a0bf780fc9ee450cf771709fece2370a711d,c5bf8f5d5ad08fc0020f1f7f71ccc797ddd6f168b5123e7967605655f809755b,491e89a1d344bb49cd270f0b4c8dea20f387d484d795245cf5c4036706c3c915,b4c78a1c7ba240d6509baede47b9b34b39502f6f3733a403da3b1723c253bbbf,f3306fdba3f453ba2e896bb8316c4651245dc9f9e71ab6beb737b1d2e5503d2c,8d3705117debe4461b70467d15ad72bf0c8ee17983a2c74e866c4ef22a087b94,fd1b26f5a6470a3dba121ac1a3fbc8ad925ab698a0b918379774ea21229a9f8e
"1001","1100001","1002","1","575","1","32","1003","10590","1"
"1004","1100002","1005","1","575","1","32","1006","10590","1"
"1007","1100003","1008","2","575","1","32","1009","10590","1"
"1010","1100004","1011","1","500","1","33","1012","11820","1"
"1013","1100005","1014","1","500","1","33","1015","11820","1"
"1016","1100006","1017","2","500","1","33","1018","11820","1"
"1019","1100007","1020","4","500","1","33","1021","11820","1"
"1022","1100008","1023","1","375","1","35","1024","13050","1"
"1025","1100009","1026","1","375","1","35","1027","13050","1"
"1028","1100010","1029","6","375","1","35","1030","13050","1"
"2001","1200001","2002","1","575","2","34","2003","10590","1"
"2004","1200002","2005","1","575","2","34","2006","10590","1"
"2007","1200003","2008","1","575","2","34","2009","10590","1"
"2010","1200004","2011","1","575","2","34","2012","10590","1"
"2013","1200005","2014","2","575","2","34","2015","10590","1"
"2016","1200006","2017","4","575","2","34","2018","10590","1"
"2019","1200007","2020","6","575","2","34","2021","10590","1"
"2022","1200008","2023","1","500","2","35","2024","11820","1"
"2025","1200009","2026","1","500","2","35","2027","11820","1"
"2028","1200010","2029","1","500","2","35","2030","11820","1"
"2031","1200011","2032","1","500","2","35","2033","11820","1"
"2034","1200012","2035","4","500","2","35","2036","11820","1"
"2037","1200013","2038","6","500","2","35","2039","11820","1"
"2040","1200014","2041","1","375","2","38","2042","13050","1"
"2043","1200015","2044","1","375","2","38","2045","13050","1"
"2046","1200016","2047","1","375","2","38","2048","13050","1"
"2049","1200017","2050","1","375","2","38","2051","13050","1"
"2052","1200018","2053","2","375","2","38","2054","13050","1"
"2055","1200019","2056","4","375","2","38","2057","13050","1"
"2058","1200020","2059","6","375","2","38","2060","13050","1"
"3001","1300001","3002","1","575","3","37","3003","10590","1"
"3004","1300002","3005","1","575","3","37","3006","10590","1"
"3007","1300003","3008","1","575","3","37","3009","10590","1"
"3010","1300004","3011","1","575","3","37","3012","10590","1"
"3013","1300005","3014","1","575","3","37","3015","10590","1"
"3016","1300006","3017","1","575","3","37","3018","10590","1"
"3019","1300007","3020","2","575","3","37","3021","10590","1"
"3022","1300008","3023","2","575","3","37","3024","10590","1"
"3025","1300009","3026","4","575","3","37","3027","10590","1"
"3028","1300010","3029","6","575","3","37","3030","10590","1"
"3031","1300011","3032","1","500","3","38","3033","11820","1"
"3034","1300012","3035","1","500","3","38","3036","11820","1"
"3037","1300013","3038","1","500","3","38","3039","11820","1"
"3040","1300014","3041","1","500","3","38","3042","11820","1"
"3043","1300015","3044","1","500","3","38","3045","11820","1"
"3046","1300016","3047","1","500","3","38","3048","11820","1"
"3049","1300017","3050","2","500","3","38","3051","11820","1"
"3052","1300018","3053","4","500","3","38","3054","11820","1"
"3055","1300019","3056","4","500","3","38","3057","11820","1"
"3058","1300020","3059","6","500","3","38","3060","11820","1"
"3061","1300021","3062","1","375","3","40","3063","13050","1"
"3064","1300022","3065","1","375","3","40","3066","13050","1"
"3067","1300023","3068","1","375","3","40","3069","13050","1"
"3070","1300024","3071","1","375","3","40","3072","13050","1"
"3073","1300025","3074","1","375","3","40","3075","13050","1"
"3076","1300026","3077","1","375","3","40","3078","13050","1"
"3079","1300027","3080","2","375","3","40","3081","13050","1"
"3082","1300028","3083","4","375","3","40","3084","13050","1"
"3085","1300029","3086","6","375","3","40","3087","13050","1"
"3088","1300030","3089","6","375","3","40","3090","13050","1"
"4001","2100001","4002","3","700","1","29","4003","9360","2"
"4004","2100002","4005","5","700","1","29","4006","9360","2"
"4007","2100003","4008","7","700","1","29","4009","9360","2"
"4010","2100004","4011","3","700","1","29","4012","9360","2"
"4013","2100005","4014","5","700","1","29","4015","9360","2"
"4016","2100006","4017","7","700","1","29","4018","9360","2"
"4019","2100007","4020","3","575","1","30","4021","10590","2"
"4022","2100008","4023","5","575","1","30","4024","10590","2"
"4025","2100009","4026","7","575","1","30","4027","10590","2"
"4028","2100010","4029","3","575","1","30","4030","10590","2"
"5001","2200001","5002","3","700","2","33","5003","9360","2"
"5004","2200002","5005","5","700","2","33","5006","9360","2"
"5007","2200003","5008","7","700","2","33","5009","9360","2"
"5010","2200004","5011","3","700","2","33","5012","9360","2"
"5013","2200005","5014","5","700","2","33","5015","9360","2"
"5016","2200006","5017","7","700","2","33","5018","9360","2"
"5019","2200007","5020","3","700","2","33","5021","9360","2"
"5022","2200008","5023","5","700","2","33","5024","9360","2"
"5025","2200009","5026","7","700","2","33","5027","9360","2"
"5028","2200010","5029","3","700","2","33","5030","9360","2"
"5031","2200011","5032","5","700","2","33","5033","9360","2"
"5034","2200012","5035","7","700","2","33","5036","9360","2"
"5037","2200013","5038","3","575","2","34","5039","10590","2"
"5040","2200014","5041","5","575","2","34","5042","10590","2"
"5043","2200015","5044","7","575","2","34","5045","10590","2"
"5046","2200016","5047","3","575","2","34","5048","10590","2"
"5049","2200017","5050","5","575","2","34","5051","10590","2"
"5052","2200018","5053","7","575","2","34","5054","10590","2"
"5055","2200019","5056","5","575","2","34","5057","10590","2"
"5058","2200020","5059","7","575","2","34","5060","10590","2"
"6001","2300001","6002","3","700","3","33","6003","9360","2"
"6004","2300002","6005","5","700","3","33","6006","9360","2"
"6007","2300003","6008","7","700","3","33","6009","9360","2"
"6010","2300004","6011","3","700","3","33","6012","9360","2"
"6013","2300005","6014","5","700","3","33","6015","9360","2"
"6016","2300006","6017","7","700","3","33","6018","9360","2"
"6019","2300007","6020","3","700","3","33","6021","9360","2"
"6022","2300008","6023","5","700","3","33","6024","9360","2"
"6025","2300009","6026","7","700","3","33","6027","9360","2"
"6028","2300010","6029","3","700","3","33","6030","9360","2"
"6031","2300011","6032","5","700","3","33","6033","9360","2"
"6034","2300012","6035","7","700","3","33","6036","9360","2"
"6037","2300013","6038","3","700","3","33","6039","9360","2"
"6040","2300014","6041","5","700","3","33","6042","9360","2"
"6043","2300015","6044","7","700","3","33","6045","9360","2"
"6046","2300016","6047","3","700","3","33","6048","9360","2"
"6049","2300017","6050","5","700","3","33","6051","9360","2"
"6052","2300018","6053","7","700","3","33","6054","9360","2"
"6055","2300019","6056","3","575","3","34","6057","10590","2"
"6058","2300020","6059","5","575","3","34","6060","10590","2"
"6061","2300021","6062","7","575","3","34","6063","10590","2"
"6064","2300022","6065","3","575","3","34","6066","10590","2"
"6067","2300023","6068","5","575","3","34","6069","10590","2"
"6070","2300024","6071","7","575","3","34","6072","10590","2"
"6073","2300025","6074","3","575","3","34","6075","10590","2"
"6076","2300026","6077","5","575","3","34","6078","10590","2"
"6079","2300027","6080","7","575","3","34","6081","10590","2"
"6082","2300028","6083","3","575","3","34","6084","10590","2"
"6085","2300029","6086","5","575","3","34","6087","10590","2"
