1067e702a8f0bf7515ae36d8152e7a70c39b89f684ad52409da0ec33cdb14ee8,e2a423e5db6561a5befbf5ed0577d33221dd2a363cd234998171ab5ef5154973,1d74934f614a946c176ee06686e04ee19488c7ba70c4bfb799b901f841da3ec4,12210c274f68b77db55fdf7c6be00a584543e9fccb5f57968a0c5b0db4a5fbed
"1","提升毒/猛毒造成的傷害","戰鬥中，大幅度提升「毒」、「猛毒」所造成的傷害。","poison_damage_up"
"2","提升火傷造成的傷害","戰鬥中，大幅度提升「火傷」所造成的傷害。","burn_damage_up"
"3","提升詛咒/咒術造成的傷害","戰鬥中，大幅度提升「詛咒」、「咒術」所造成的傷害。","curse_damage_up"
"4","增加麻痺的效果時間","戰鬥中，增加「麻痺」的效果時間。","paralysis_time_extension"
"5","增加凍結的效果時間","戰鬥中，增加「凍結」的效果時間。","frozen_time_extension"
"6","增加束縛的效果時間","戰鬥中，增加「束縛」的效果時間。","bind_time_extension"
"7","增加暈眩的效果時間","戰鬥中，增加「暈眩」的效果時間。","stun_time_extension"
"8","增加毒/猛毒的效果時間","戰鬥中，增加「毒」、「猛毒」的效果時間。","poison_time_extension"
"9","增加火傷的效果時間","戰鬥中，增加「火傷」的效果時間。","burn_time_extension"
"10","增加詛咒/咒術的效果時間","戰鬥中，增加「詛咒」、「咒術」的效果時間。","curse_time_extension"
"11","增加誘惑的效果時間","戰鬥中，增加「誘惑」的效果時間。","temptation_time_extension"
"12","增加混亂的效果時間","戰鬥中，增加「混亂」的效果時間。","confusion_time_extension"
"13","提升物理攻擊力","戰鬥中，大幅度提升物理攻擊力。","attack_up"
"14","提升魔法攻擊力","戰鬥中，大幅度提升魔法攻擊力。","magic_str_up"
"15","物理防禦力提升","戰鬥中，大幅度提升物理防禦力。","defense_up"
"16","魔法防禦力提升","戰鬥中，大幅度提升魔法防禦力。","magic_def_up"
"17","物理暴擊提高","戰鬥中，大幅度提升物理暴擊率。","physical_critical_up"
"18","魔法暴擊提高","戰鬥中，大幅度提升魔法暴擊率。","magic_critical_up"
"19","提升TP上升","戰鬥中，大幅度提升TP上升。","energy_recovery_rate_up"
"20","戰鬥開始時，特大幅度恢復TP","戰鬥開始時，特大幅度恢復TP。","energy_recovery"
"22","必定施加麻痺","戰鬥中，變成必定可施加「麻痺」的狀態。","paralysis_hit_absolute"
"23","必定施加凍結","戰鬥中，變成必定可施加「凍結」的狀態。","frozen_hit_absolute"
"24","必定施加束縛","戰鬥中，變成必定可施加「束縛」的狀態。","bind_hit_absolute"
"25","必定施加暈眩","戰鬥中，變成必定可施加「暈眩」的狀態。","stun_hit_absolute"
"26","必定施加毒/猛毒","戰鬥中，變成必定可施加「毒」、「猛毒」的狀態。","poison_hit_absolute"
"27","必定施加火傷","戰鬥中，變成必定可施加「火傷」的狀態。","burn_hit_absolute"
"28","必定施加詛咒/咒術","戰鬥中，變成必定可施加「詛咒」、「咒術」的狀態。","curse_hit_absolute"
"29","必定施加誘惑","戰鬥中，變成必定可施加「誘惑」的狀態。","temptation_hit_absolute"
"30","必定施加混亂","戰鬥中，變成必定可施加「混亂」的狀態。","confusion_hit_absolute"
