f43480c09a71a2458c96adc1c1410ad191375e0c368217ae96a36e59f7aebed2,49cedd6dfb5feccffaf81588e084374e85ab32d8df4dfcad61b3fd56767d7f4f,6535e8276c015afbb69847018843a20bcd503d21dbd652063169099299a29835,a428a3bcda76a88daacf76181f16ca3f2c94b16ba6c03f1a1cd21ecb5db5c744,684d564f0d902de615ea5991dd8244a720b0a3c81c80374a39ec3053222b4b1f,13de03858852b78abc6b8e76f0d1d38513d98205b736ce19c63af881aeb63144,470e301fed88a051811488350d44b41dd64f15d2a5b88af0d9ecf99e98e950d2,bee5d2f9a037cc3973ea2df51fb194285a9127c0ac9c6edaa68b08bdb8c67eb0,eaf9c7b5feff2f4c76731278ca03561afef52e763c797d7c08f238efcd2d48d6,7e7a01b7b8d5ad07d891557d2d5384e691cbbdd10def668e1cf89246b9237974,5369bd8e5902f45b410702eafa4ed7c905b07e8431f11fdf20740202152104c3,2c44f23d9cf1bdc1188ec7be4ca4841af41e2b33ae6ec475e77aeb065b1dc9dc,a2c36a1d61d71f6e097c292b355d28dcedd7859a2f9906a49d28e61876fbf8f4,f6a26db18d1760e01f49d13320230c5be67a2459fef4462ffe7a9cbb6e52b494,f6aa9521409dcaa1e393724e60aa813911c7136bfc2198451cc6af6db372acfb,dde294e402234bf6d4765680e300522b3f69efcaaaad7c4a3c81334c21a4c5d6,bbbe8b40ade9dd8243afea77718fa3942e614cbbd62a583d265342ba43268c45,01a55eb729294b4ca5d9b4c456752f8f38070d28b858e83dd855b04bb2d394b6,d3374d7474fada9e8a2fdd36f01374b92b46870eb04a30577331f77f9d8e390e,df986ff3e5703a69185f48ee97be093f4d72875b6fd928816893d403d60565dd,68108bc1757d5c2aa7ada87e93c637490d42752370e67ced0581f6d542de2004,041b801c9e5009ea1eeeeba08b678e9d0c6d17752744154f6c831859f7e65051,e9e5048d1c6e393b823200b64e877be60b9cf10aeb7ed18619c29371b4b2a10d,18504e34fb3943226b276671f90ac19493f39950fbbd36772a0b93bbf2158daf,d00909480c8387dfcd2059b077a4f00178a40a76aa9a1ed3f526965437eab61c,0aebbabafedbe69cdf9fbc53bef7c5080f2491faee5e8e0d4f3adda071e1519c,33797a80be6357750699a9d89c772d93e9f9a1729245927440098c8ff2f13195,7e1f2918791dd2284ea94a25fc7c5317e951dcd44fb25032553b6376714b745e,5e29b2d9ab98e14928cd6d56ca354d3f336aa9c3b2a8f9ed917151af666bb5d2,3504adc3ebb9c0a3089a6f42e38e2b15651a143caabad031d17a56dd6f190da8,e55e69f4894894ec3d90128c5b7c100baa7b96c96063023c23b4f702fbabd650,0a253a1d9768d918db9e6b978b028fd62533aaf1cd389837be5aa17af2cad6f1,6f90a383211103eea1a1dbb48b178503a93414142fc081e60a15ecb604a417ed,0903fa5700ecee145cf2682415a19fcb79d21e15d6e4418b7d93e250d9694a39,227d02d4b26f22b981b8b8bbaf0792082d1abac3e23009353f62e8ae7475e0af
"-1","0.8","-100","5","140001","1","103121","40002","1","0","200000","3","0","90","1","150003","377","-190","0","0","10","94002","91002","74001101","0.8","90008","0","0.8","200","74001101","-379","1","188","741001101","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103121","40003","1","0","200000","3","0","90","2","150004","377","-190","0","0","10","94002","91002","74001102","0.8","90008","0","0.8","200","74001102","-379","1","188","741001102","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103121","40004","0.8","0","300000","3","0","90","3","150005","377","-190","0","0","10","94002","91002","74001103","0.8","90008","0","0.8","500","74001103","-379","1","188","741001103","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103121","40006","0.8","0","300000","3","0","90","4","150006","377","-190","0","0","10","94002","91002","74001104","0.8","90008","0","0.8","750","74001104","-379","1","188","741001104","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103121","40007","0.8","0","500000","3","0","90","5","150007","377","-190","0","0","10","94002","91002","74001105","0.8","90008","0","0.8","1000","74001105","-379","1","188","741001105","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103122","40002","0.8","0","200000","3","0","90","1","150003","377","-190","0","0","10","94002","91002","74001201","0.8","90008","0","0.8","200","74001201","-379","1","188","741001101","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103122","40003","0.8","0","200000","3","0","90","2","150004","377","-190","0","0","10","94002","91002","74001202","0.8","90008","0","0.8","200","74001202","-379","1","188","741001102","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103122","40004","0.8","0","300000","3","0","90","3","150005","377","-190","0","0","10","94002","91002","74001203","0.8","90008","0","0.8","500","74001203","-379","1","188","741001103","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103122","40006","0.8","0","300000","3","0","90","4","150006","377","-190","0","0","10","94002","91002","74001204","0.8","90008","0","0.8","750","74001204","-379","1","188","741001104","bgm_MC008"
"-1","0.8","-100","5","140001","0.8","103122","40007","0.8","0","500000","3","0","90","5","150007","377","-190","0","0","10","94002","91002","74001205","0.8","90008","0","0.8","1000","74001205","-379","1","188","741001105","bgm_MC008"
"250","0.9","-100","5","140001","1","103123","40002","1","0","200000","3","0","90","1","150003","0","-30","0","0","10","94002","91002","74001301","0","90008","0","0","200","74001301","-310","1","0","741001101","bgm_MC008"
"250","0.8","-100","5","140001","1","103123","40003","1","0","200000","3","0","90","2","150004","0","-30","0","0","10","94002","91002","74001302","0","90008","0","0","200","74001302","-310","1","0","741001102","bgm_MC008"
"250","0.8","-100","5","140001","0.8","103123","40004","1","0","300000","3","0","90","3","150005","0","-30","0","0","10","94002","91002","74001303","0","90008","0","0","500","74001303","-310","1","0","741001103","bgm_MC008"
"250","0.8","-100","5","140001","0.8","103123","40006","1","0","300000","3","0","90","4","150006","0","-30","0","0","10","94002","91002","74001304","0","90008","0","0","750","74001304","-310","1","0","741001104","bgm_MC008"
