849bc7c0fbdb199d46d8fc64ef042ce17a4ad383c764aea156cad7f2897eaa8f,2c8e6f896fa23b526572f002f247f7473d43e1442efe5c00ee827aac0faa940c,bd6df750d3474b5223a0af9cf096174901df766fde50d2281b4723b5b9c359a7,9a00323737ccf8dbe10c5fe731aa93a680727159c7cc9721e7d097dca530515f,dc88c278d3362b51d0096675d5ced408268587b79f20f0cda3fe4f258f450fcf,99fc1ff850d2fa7691d17f1c180ed04da91bad466492a4a63330a48827247c9b,cfc05ac208a4ff01a2c64fd68e8fc5856a68ff6e5216d51d87482ecccd66c6ae,c0dbc66c1baeada030297c4fbe874b4a9f47e3a1d8fc77c097b806d11f8cc427,d8a6c27aaaad695883f76050b51a54cc59021d71bf804ea3992fc642c344e202,b07cb4835d3ef3eaf26be8f4a138910cb32de77edd42c348ade06af5445981fa,1b2f2ad643e1c029379f6e6ddb77bf32f16c95145aabc4bed4d7f7068414011f,d47754a2687df4c84bf1fd6d5e332d46085296f941a20c16201e64b9ce78d64a,bdb3001e65ea8c6d0cae3f7018c520c5ecffbcc1ce822611204bac4b1b733043
"2018/08/22 16:00:00","2018/09/21 15:59:59","1","2018/08/19 22:59:00","1","2","8","2018/08/15 23:00:00","0","1001","bgm_M90","2018/08/20 22:59:00","1"
"2018/09/21 16:00:00","2018/10/22 15:59:59","1","2018/09/18 22:59:00","2","2","9","2018/09/14 23:00:00","1001","1002","bgm_M97","2018/09/19 22:59:00","1"
"2018/10/22 16:00:00","2018/11/20 04:59:59","1","2018/10/19 22:59:00","1","2","10","2018/10/15 23:00:00","1002","1003","bgm_M104","2018/10/20 22:59:00","1"
"2018/11/20 05:00:00","2018/12/21 15:59:59","1","2018/11/17 11:59:00","2","2","11","2018/11/13 12:00:00","1003","1004","bgm_M115","2018/11/18 11:59:00","1"
"2018/12/21 16:00:00","2019/01/22 15:59:59","1","2018/12/18 22:59:00","1","2","12","2018/12/14 23:00:00","1004","1005","bgm_M119","2018/12/19 22:59:00","1"
"2019/01/22 16:00:00","2019/02/19 04:59:59","1","2019/01/19 22:59:00","2","2","1","2019/01/15 23:00:00","1005","1006","bgm_M132","2019/01/20 22:59:00","1"
"2019/02/19 05:00:00","2019/03/22 04:59:59","1","2019/02/16 11:59:00","1","2","2","2019/02/12 12:00:00","1006","1007","bgm_M139","2019/02/17 11:59:00","1"
"2019/03/22 05:00:00","2019/04/22 04:59:59","1","2019/03/19 11:59:00","2","2","3","2019/03/15 12:00:00","1007","1008","bgm_M166","2019/03/20 11:59:00","1"
"2019/04/22 05:00:00","2019/05/23 04:59:59","1","2019/04/19 11:59:00","1","2","4","2019/04/15 12:00:00","1008","1009","bgm_M175","2019/04/20 11:59:00","1"
"2019/05/23 05:00:00","2019/06/22 04:59:59","1","2019/05/20 11:59:00","2","2","5","2019/05/16 12:00:00","1009","1010","bgm_M181","2019/05/21 11:59:00","1"
"2019/06/22 05:00:00","2019/07/24 04:59:59","1","2019/06/19 11:59:00","1","2","6","2019/06/15 12:00:00","1010","1011","bgm_M186","2019/06/20 11:59:00","1"
"2019/07/24 05:00:00","2019/08/23 04:59:59","1","2019/07/21 11:59:00","2","2","7","2019/07/17 12:00:00","1011","1012","bgm_M205","2019/07/22 11:59:00","1"
"2019/08/23 05:00:00","2019/09/23 04:59:59","1","2019/08/20 11:59:00","1","2","8","2019/08/16 12:00:00","1012","1013","bgm_M90","2019/08/21 11:59:00","1"
"2019/09/23 05:00:00","2019/10/24 04:59:59","1","2019/09/20 11:59:00","2","2","9","2019/09/16 12:00:00","1013","1014","bgm_M97","2019/09/21 11:59:00","1"
"2019/10/24 05:00:00","2019/11/23 04:59:59","1","2019/10/21 11:59:00","1","2","10","2019/10/17 12:00:00","1014","1015","bgm_M104","2019/10/22 11:59:00","1"
"2019/11/23 05:00:00","2019/12/23 04:59:59","1","2019/11/20 11:59:00","2","2","11","2019/11/16 12:00:00","1015","1016","bgm_M115","2019/11/21 11:59:00","1"
"2019/12/23 05:00:00","2020/01/23 04:59:59","1","2019/12/20 11:59:00","1","2","12","2019/12/16 12:00:00","1016","1017","bgm_M119","2019/12/21 11:59:00","1"
"2020/01/23 05:00:00","2020/02/24 04:59:59","1","2020/01/20 11:59:00","2","2","1","2020/01/16 12:00:00","1017","1018","bgm_M132","2020/01/21 11:59:00","1"
"2020/02/24 05:00:00","2020/03/25 04:59:59","1","2020/02/21 11:59:00","1","2","2","2020/02/17 12:00:00","1018","1019","bgm_M139","2020/02/22 11:59:00","1"
"2020/03/25 05:00:00","2020/04/24 04:59:59","1","2020/03/22 11:59:00","2","2","3","2020/03/18 12:00:00","1019","1020","bgm_M166","2020/03/23 11:59:00","1"
"2020/04/24 05:00:00","2020/05/25 04:59:59","1","2020/04/21 11:59:00","1","2","4","2020/04/17 12:00:00","1020","1021","bgm_M175","2020/04/22 11:59:00","1"
"2020/05/25 05:00:00","2020/06/24 04:59:59","1","2020/05/22 11:59:00","2","2","5","2020/05/18 12:00:00","1021","1022","bgm_M181","2020/05/23 11:59:00","1"
"2020/06/24 05:00:00","2020/07/25 04:59:59","1","2020/06/21 11:59:00","1","2","6","2020/06/17 12:00:00","1022","1023","bgm_M186","2020/06/22 11:59:00","1"
"2020/07/25 05:00:00","2020/08/25 04:59:59","1","2020/07/22 11:59:00","2","2","7","2020/07/18 12:00:00","1023","1024","bgm_M205","2020/07/23 11:59:00","1"
