751d240ee0b15fb55c04fc431818824409aaca23a7562429cbd7714bae7bddf7,f1ea2657b37845a985ffb40685269873a9848c2fe63af13b95577ef1be64a784,3857ecf3e78375dfb8a97f94fc0f8880b45c83eb2e6572424beebca0e5087978,2646b6325dfe405cd97fe8e4d04941b774a32dc2f5d3bfc3287c04831e6e2965,2cfb10a4651745e3985188b2f7cbbb0622fedebbf91a101cb0a1f4bab765ef34,21744e12577325a1d171fdc82ed818441eb2c08df82fc7c94c0c3fa710b32179,4438d441f8d5462edc2791a995678050498bdaef84ef995bc210a64df9e627f8,e08693ddfab77d11797b54b14e161d9026d99955ef63fc9ba489d579875298e1
"1005","1005","2","戰鬥開始時，我方的TP提升250。","1005","TP提升250","0","0"
"1006","1006","2","戰鬥開始時，我方的TP提升250。","1006","TP提升250","0","0"
"1007","1007","2","戰鬥開始時，我方的TP提升250。","1007","TP提升250","0","0"
"1008","1008","2","戰鬥開始時，我方的TP提升250。","1008","TP提升250","0","0"
"100501","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100501","降低物理攻擊90秒","7469000000000","36000"
"100502","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100502","降低物理攻擊90秒","7161000000000","36000"
"100503","1005","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100503","降低物理防禦90秒","6930000000000","36000"
"100504","1005","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100504","降低魔法防禦90秒","6699000000000","36000"
"100505","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100505","降低物理攻擊90秒","6468000000000","36000"
"100506","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100506","降低物理攻擊90秒","6160000000000","36000"
"100507","1005","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100507","降低物理防禦90秒","5929000000000","36000"
"100508","1005","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100508","降低魔法防禦90秒","5698000000000","36000"
"100509","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100509","降低物理攻擊90秒","5390000000000","36000"
"100510","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100510","降低物理攻擊90秒","5159000000000","36000"
"100511","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100511","降低物理攻擊90秒","4928000000000","36000"
"100512","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100512","降低物理攻擊90秒","4620000000000","36000"
"100513","1005","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100513","降低物理防禦90秒","4389000000000","36000"
"100514","1005","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100514","降低魔法防禦90秒","4158000000000","36000"
"100515","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100515","降低物理攻擊90秒","3927000000000","36000"
"100516","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100516","降低物理攻擊90秒","3619000000000","36000"
"100517","1005","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100517","降低物理防禦90秒","3388000000000","36000"
"100518","1005","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100518","降低魔法防禦90秒","3157000000000","36000"
"100519","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100519","降低物理攻擊90秒","2849000000000","36000"
"100520","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100520","降低物理攻擊90秒","2618000000000","36000"
"100521","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100521","降低物理攻擊90秒","2387000000000","36000"
"100522","1005","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100522","降低物理攻擊90秒","2079000000000","36000"
