c7460006bcd583f75f327c42b374a4bb027c6d560bc0726b239e57cb392d531c,fab4514fc17a0be7be383bb17a53ed991075abef88266f9d6bcadb230c4e846a,0ac717ab752373d56c2e75bb7bc9fd28ca919f2fbe7622ae404051a318f8ea3a,bfe3952304680c696c3d42393756ec3d3fabec6d22a98c90f749b50515cd8f95,34890f229a715c23717e545098d53fd6a688b6dc0feae896df83ca8b1cba7daa,40f93ec7a3f505acb8b86f3f90aed3b483674779016bc9ba3c222c5de38b19c3
"750000011","0","0","0","0","750000101"
"750000021","0","0","0","0","750000201"
"750000031","0","0","0","0","750000301"
"750000041","0","0","0","0","750000401"
"750000051","0","0","0","0","750000501"
"750000061","0","0","0","0","750000601"
"750000071","0","0","0","0","750000701"
"750000081","0","0","0","0","750000801"
"760100011","0","0","0","0","760100101"
"760100021","0","0","0","0","760100201"
"760100031","0","0","0","0","760100301"
"760100041","0","0","0","0","760100401"
"760100051","0","0","0","0","760100501"
"760200011","0","0","0","0","760200101"
"760200021","0","0","0","0","760200201"
"760200031","0","0","0","0","760200301"
"760200041","0","0","0","0","760200401"
"760200051","0","0","0","0","760200501"
