3801968e41d379009f8adeafb4f619c3d0a1fbefbc945dd2303ba1ae31cec7de,60842116ef78faca0a56188d71edd7cfb7cdad91d4fa02d67660af1d2e505ff2,5cefbc383b5bc36be29a450d9373138b1afde4cf4c7f5b6e24ed37841c8a47e1,c6549a0205a4cf4239641d193322d6c22437c5c29fe3fb9cadb1a965553d16a0,585dbbb12c0d9e5d48c474ef616c9460e8b09aea91181af1fa1751b1b9de6518
"300","1","135","1","1"
"-100","2","425","1","1"
"125","3","-100","2","1"
"-415","4","375","2","1"
"-50","5","25","3","1"
"-300","6","-25","3","1"
"-335","7","-195","4","1"
"-415","8","105","4","1"
"-160","9","135","5","1"
"-40","10","345","6","1"
"90","11","-230","7","1"
"-420","12","230","8","1"
"250","13","30","9","1"
"-245","14","280","10","1"
"-110","15","-150","11","1"
