9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和","155","東山奈央","100101","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"擅長支援戰鬥，心地善良的少女","O","破曉之星","2","料理、觀察人類","0","人族","4","5","優衣","158","種田梨沙","100201","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","17"
"冷酷又率直的劍士","B","破曉之星","2","讀書、騎馬、茶","0","魔族","1","12","怜","163","早見沙織","100301","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
"愛好冒險的搗蛋鬼","O","小小甜心","5","惡作劇、探險","0","人族","8","10","禊","128","諸星すみれ","100401","27","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","9"
"仰慕英雄的見習騎士少女","O","王宮騎士團","8","英雄扮演遊戲","0","獸人族","11","25","茉莉","146","下田麻美","100501","40","？？？","12"
"愛撒嬌又受大家喜歡","O","惡魔偽王國軍","7","薩克斯風","0","魔族","11","22","茜里","150","浅倉杏美","100601","42","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","13"
"最愛布丁的幽靈少女","B","惡魔偽王國軍","7","吃布丁","0","魔族","1","23","宮子","130","雨宮天","100701","32","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","14"
"我比任何人都還要美麗","AB","純白之翼 蘭德索爾分部","15","欣賞鏡中的自己","0","精靈族","10","10","雪","150","大空直美","100801","40","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","14"
"相信前世的中二病患「疾風之冥姬」","A","暮光流星群","13","寫小說","0","魔族","7","5","杏奈","159","髙野麻美","100901","45","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","17"
"真步真步王國的公主","O","哞哞自衛隊","10","幻想、蒐集玩偶","0","獸人族","9","22","真步","155","内田真礼","101001","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","16"
"親人又多話的妹系少女","A","拉比林斯","3","裁縫","0","人族","8","25","璃乃","156","阿澄佳奈","101101","44","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","15"
"為了大家使用超能力的睡美人","A","森林守衛","6","和妹妹一起玩、回籠覺、午睡、早睡","0","精靈族","12","24","初音","156","大橋彩香","101201","46","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","17"
"宅宅暴走的魔法少女","O","暮光流星群","13","讀書、魔法","0","魔族","8","21","七七香","166","佳村はるか","101301","55","","18"
"頭腦聰明的美少女名偵探","AB","哞哞自衛隊","10","讀書、推理","0","獸人族","11","3","霞","152","水瀬いのり","101401","41","test","15"
"充滿母性又溫柔，大家的「美里老師」","O","森林守衛","6","製作繪本","0","精靈族","9","5","美里","165","國府田マリ子","101501","54","test","21"
