c0c62f96386d5541712e471e1a2f5a8d33ae2697eb23021be6f9565b91ff01f7,9c2c4d4a289cdaf40503c0378438714203ea569a5999f6cd78577885fae52df6,0ce41f984158808d04ac089144af6f624f3d1d6b1c0fc9d8d991bc32479b3442,bc9d8a838329977e36c8084bfd9e5ce4378c05c393885ab53c22a567fb4bdb83,004b115c2d57a145c38f815397bea0ba760944fb174d1015ead0d54bc79a2971
"30","1","1","200","8500"
"30","1","2","5","1500"
"60","2","3","220","8500"
"60","2","4","5","1500"
"60","3","5","200","8500"
"15","3","6","200","1500"
"60","4","7","200","8500"
"10","4","8","200","1500"
"40","5","9","150","8500"
"40","5","10","5","1500"
"60","6","11","150","8500"
"10","6","12","200","1500"
"40","7","13","150","8500"
"40","7","14","5","1500"
"50","8","15","150","8500"
"15","8","16","200","1500"
"45","9","17","150","8500"
"10","9","18","200","1500"
"40","10","19","145","8500"
"10","10","20","5","1500"
"40","11","21","300","8500"
"10","11","22","5","1500"
"65","12","23","200","8500"
"10","12","24","200","1500"
"40","13","25","150","8500"
"10","13","26","5","1500"
"40","14","27","100","8500"
"10","14","28","5","1500"
"50","15","29","200","8500"
"10","15","30","5","1500"
"60","16","31","250","8500"
"30","16","32","200","1500"
"45","17","33","120","8500"
"90","17","34","300","1500"
"90","18","35","120","8500"
"30","18","36","200","1500"
"50","19","37","190","8500"
"60","19","38","350","1500"
"90","20","39","95","8500"
"90","20","40","95","1500"
"20","21","41","200","8500"
"5","21","42","5","1500"
"30","22","43","450","8500"
"5","22","44","5","1500"
"20","23","45","200","8500"
"5","23","46","5","1500"
"30","1001","47","130","8500"
"5","1001","48","5","1500"
"30","1002","49","140","8500"
"5","1002","50","5","1500"
"40","1003","51","150","8500"
"5","1003","52","5","1500"
"45","1004","53","155","8500"
"5","1004","54","200","1500"
"60","1005","55","155","8500"
"10","1005","56","200","1500"
"60","1006","57","150","8500"
"15","1006","58","200","1500"
"60","1007","59","150","8500"
"15","1007","60","200","1500"
"50","1008","61","160","8500"
"15","1008","62","200","1500"
"70","1009","63","140","8500"
"30","1009","64","200","1500"
"35","1010","65","180","8500"
"120","1010","66","200","1500"
"65","1011","67","140","8500"
"30","1011","68","200","1500"
"35","1012","69","200","8500"
"5","1012","70","5","1500"
"70","1013","71","150","8500"
"15","1013","72","200","1500"
"60","1014","73","150","8500"
"15","1014","74","200","1500"
"60","1015","75","150","8500"
"15","1015","76","200","1500"
"60","1016","77","150","8500"
"15","1016","78","200","1500"
"60","1017","79","150","8500"
"15","1017","80","200","1500"
"50","1018","81","120","8500"
"60","1018","82","200","1500"
"67","1019","83","102","8500"
"60","1019","84","200","1500"
"35","1020","85","120","8500"
"60","1020","86","250","1500"
"30","10001","87","200","7000"
"30","10001","88","5","3000"
"60","10002","89","220","7000"
"60","10002","90","5","3000"
"60","10003","91","200","7000"
"15","10003","92","200","3000"
"60","10004","93","200","7000"
"10","10004","94","200","3000"
"40","10005","95","150","7000"
"40","10005","96","5","3000"
"60","10006","97","150","7000"
"10","10006","98","200","3000"
"40","10007","99","150","7000"
"40","10007","100","5","3000"
"50","10008","101","150","7000"
"15","10008","102","200","3000"
"45","10009","103","150","7000"
"10","10009","104","200","3000"
"40","10010","105","145","7000"
"10","10010","106","5","3000"
"40","10011","107","300","7000"
"10","10011","108","5","3000"
"65","10012","109","200","7000"
"10","10012","110","200","3000"
"40","10013","111","150","7000"
"10","10013","112","5","3000"
"40","10014","113","100","7000"
"10","10014","114","5","3000"
"50","10015","115","200","7000"
"10","10015","116","5","3000"
"60","10016","117","250","7000"
"30","10016","118","200","3000"
"45","10017","119","120","7000"
"90","10017","120","300","3000"
"90","10018","121","120","7000"
"30","10018","122","200","3000"
"50","10019","123","190","7000"
"60","10019","124","350","3000"
"90","10020","125","95","7000"
"90","10020","126","95","3000"
"60","10021","127","200","7000"
"60","10021","128","200","3000"
"60","10022","129","200","7000"
"60","10022","130","200","3000"
"60","10023","131","200","7000"
"60","10023","132","200","3000"
"30","11001","133","130","7000"
"5","11001","134","5","3000"
"30","11002","135","140","7000"
"5","11002","136","5","3000"
"40","11003","137","150","7000"
"5","11003","138","5","3000"
"45","11004","139","155","7000"
"5","11004","140","200","3000"
"60","11005","141","155","7000"
"10","11005","142","200","3000"
"60","11006","143","150","7000"
"15","11006","144","200","3000"
"60","11007","145","150","7000"
"15","11007","146","200","3000"
"50","11008","147","160","7000"
"15","11008","148","200","3000"
"70","11009","149","140","7000"
"30","11009","150","200","3000"
"35","11010","151","180","7000"
"120","11010","152","200","3000"
"65","11011","153","140","7000"
"30","11011","154","200","3000"
"35","11012","155","200","7000"
"5","11012","156","5","3000"
"70","11013","157","150","7000"
"15","11013","158","200","3000"
"60","11014","159","150","7000"
"15","11014","160","200","3000"
"60","11015","161","150","7000"
"15","11015","162","200","3000"
"60","11016","163","150","7000"
"15","11016","164","200","3000"
"60","11017","165","150","7000"
"15","11017","166","200","3000"
"50","11018","167","120","7000"
"60","11018","168","200","3000"
"67","11019","169","102","7000"
"60","11019","170","200","3000"
"35","11020","171","120","7000"
"60","11020","172","250","3000"
"30","20001","173","200","5000"
"30","20001","174","5","5000"
"60","20002","175","220","5000"
"60","20002","176","5","5000"
"60","20003","177","200","5000"
"15","20003","178","200","5000"
"60","20004","179","200","5000"
"10","20004","180","200","5000"
"40","20005","181","150","5000"
"40","20005","182","5","5000"
"60","20006","183","150","5000"
"10","20006","184","200","5000"
"40","20007","185","150","5000"
"40","20007","186","5","5000"
"50","20008","187","150","5000"
"15","20008","188","200","5000"
"45","20009","189","150","5000"
"10","20009","190","200","5000"
"40","20010","191","145","5000"
"10","20010","192","5","5000"
"40","20011","193","300","5000"
"10","20011","194","5","5000"
"65","20012","195","200","5000"
"10","20012","196","200","5000"
"40","20013","197","150","5000"
"10","20013","198","5","5000"
"40","20014","199","100","5000"
"10","20014","200","5","5000"
"50","20015","201","200","5000"
"10","20015","202","5","5000"
"60","20016","203","250","5000"
"30","20016","204","200","5000"
"45","20017","205","120","5000"
"90","20017","206","300","5000"
"90","20018","207","120","5000"
"30","20018","208","200","5000"
"50","20019","209","190","5000"
"60","20019","210","350","5000"
"90","20020","211","95","5000"
"90","20020","212","95","5000"
"60","20021","213","200","5000"
"60","20021","214","200","5000"
"60","20022","215","200","5000"
"60","20022","216","200","5000"
"60","20023","217","200","5000"
"60","20023","218","200","5000"
"30","21001","219","130","5000"
"5","21001","220","5","5000"
"30","21002","221","140","5000"
"5","21002","222","5","5000"
"40","21003","223","150","5000"
"5","21003","224","5","5000"
"45","21004","225","155","5000"
"5","21004","226","200","5000"
"60","21005","227","155","5000"
"10","21005","228","200","5000"
"60","21006","229","150","5000"
"15","21006","230","200","5000"
"60","21007","231","150","5000"
"15","21007","232","200","5000"
"50","21008","233","160","5000"
"15","21008","234","200","5000"
"70","21009","235","140","5000"
"30","21009","236","200","5000"
"35","21010","237","180","5000"
"120","21010","238","200","5000"
"65","21011","239","140","5000"
"30","21011","240","200","5000"
"35","21012","241","200","5000"
"5","21012","242","5","5000"
"70","21013","243","150","5000"
"15","21013","244","200","5000"
"60","21014","245","150","5000"
"15","21014","246","200","5000"
"60","21015","247","150","5000"
"15","21015","248","200","5000"
"60","21016","249","150","5000"
"15","21016","250","200","5000"
"60","21017","251","150","5000"
"15","21017","252","200","5000"
"50","21018","253","120","5000"
"60","21018","254","200","5000"
"67","21019","255","102","5000"
"60","21019","256","200","5000"
"35","21020","257","120","5000"
"60","21020","258","250","5000"
