240835c7f2672b555156eadea79c46d059ca262feae2e6230ea0ea8330fc9534,398777fc22d1d929bb4e997e9d313576fd96410b5cb38237d2709d98c45f62a5,ae610bee849e1c19fab7557c9898aef6a3de383c830e1f80e325253246bbe2d2,3d176413b1ca483fe7dc4e478e09bed3f981d1b0bf544bbf0b0144e84c64072f,16cdf464c9d04c370893dda88f513a640627f97c48895fde0072645d82fede99,e9ff56e097e1b19af70d4d7cda7b6bbd6a906ca7d3f8c2f9ed3579dff1cc6146,b49540e2ca12396ae272ec6933a451a97820503a01c1840dc668093ab8b5ff7b
"1","bgm_M152","00:58","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","01:33","Lost Princess","bgm_M152"
"2","bgm_M153","01:01","角色歌曲\n\n時間 / 01:56\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","01:56","Connecting Happy!!","bgm_M153"
"3","bgm_M61_juke","00:00","主線冒險\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","01:48","踏上旅程","bgm_M61"
"4","bgm_M62_juke","00:00","主線冒險\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","01:35","穿過森林的風","bgm_M62"
"5","bgm_M90_juke","00:00","戰隊競賽\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","01:18","梅莎路提姆","bgm_M90"
"6","bgm_M32_juke","00:00","故事劇情主題曲\n-「Smiley Contrast」編曲-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","01:02","初音的禮物大作戰","bgm_M32"
"7","bgm_M47_juke","00:00","故事劇情頭目戰\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","02:34","席茲","bgm_M47"
"8","bgm_M149","00:57","角色歌曲\n\n時間 / 01:40\n演唱　 / 初音（大橋彩香）\n　　　栞（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","01:40","Smiley Contrast","bgm_M149"
"9","bgm_M97_juke","00:00","戰隊競賽\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:59","牛頭怪","bgm_M97"
"10","bgm_M98_juke","00:00","故事劇情主題曲\n-「小小冒險」編曲-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","01:00","小小甜心大冒險","bgm_M98"
"11","bgm_M102_juke","00:00","故事劇情頭目戰\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","02:31","阿爾瑪","bgm_M102"
"12","bgm_M145","00:45","角色歌曲\n\n時間 / 01:22\n演唱　 / 鏡華（小倉唯）\n　　　禊（諸星すみれ）\n　　　美美（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","01:22","小小冒險","bgm_M145"
"13","bgm_M139_juke","00:00","戰隊競賽\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","01:07","大胃王","bgm_M139"
"14","bgm_M135_juke","00:00","故事劇情主題曲\n-「還要！兩人的派～對～夜～」編曲-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","01:01","不給布丁就搗蛋！約定的萬聖節派對","bgm_M135"
"15","bgm_M138_juke","00:00","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:26","傑克南瓜布丁","bgm_M138"
"16","bgm_M161","00:46","角色歌曲\n\n時間 / 01:21\n演唱　 / 忍（大坪由佳）\n　　　宮子（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","01:21","還要！兩人的派～對～夜～","bgm_M161"
"17","bgm_M140_juke","00:00","主線冒險\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:31","閃耀的冰晶","bgm_M140"
"18","bgm_M150","01:00","角色歌曲\n\n時間 / 02:01\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戸衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","02:01","Shining Future","bgm_M150"
"19","bgm_M143","00:37","角色歌曲\n\n時間 / 01:31\n演唱　 / 千歌（福原綾香）\n作詞 / 野村イクミ\n作曲 / 內海孝彰\n編曲 / 內海孝彰","01:31","向風起誓","bgm_M143"
"20","bgm_M144","00:54","角色歌曲\n\n時間 / 01:47\n演唱　 / 望（日笠陽子）\n作詞 / Manami\n作曲 / 內海孝彰\n編曲 / 岡野裕次郎","01:47","因為想看到你的笑容","bgm_M144"
"21","bgm_M148","00:48","角色歌曲\n\n時間 / 01:34\n演唱　 / 紡希（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 內海孝彰","01:34","無法坦率的心！","bgm_M148"
"22","bgm_M42_juke","00:00","主線冒險\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","01:46","向詭譎氣氛挺身而出的鬥志","bgm_M42"
"23","bgm_M104_juke","00:00","戰隊競賽\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","01:07","野豬雙胞胎","bgm_M104"
"24","bgm_M106_juke","00:00","故事劇情主題曲\n-「Peaceful*沖繩雜炒」編曲-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","00:54","吸血鬼獵人with伊莉亞","bgm_M106"
"25","bgm_M109_juke","00:00","故事劇情頭目戰\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","03:18","加爾格","bgm_M109"
"26","bgm_M151","00:44","角色歌曲\n\n時間 / 01:30\n演唱　 / 真步（内田真礼）\n　　　香織（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","01:30","Peaceful*沖繩雜炒","bgm_M151"
"27","bgm_M166_juke","00:00","戰隊競賽\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:12","天蠍毒者","bgm_M166"
"28","bgm_M162_juke","00:00","故事劇情主題曲\n-「最強對吧，對吧？」編曲-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","01:30","暮光破壞者","bgm_M162"
"29","bgm_M165_juke","00:00","故事劇情頭目戰\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:02","奧拉姆","bgm_M165"
"30","bgm_M176","00:42","角色歌曲\n\n時間 / 01:22\n演唱　 / 杏奈（髙野麻美）\n　　　七七香（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","01:22","最強對吧，對吧？","bgm_M176"
"31","bgm_M141_juke","00:00","主線冒險\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:05","冰海之地","bgm_M141"
"32","bgm_M58_juke","00:00","主線冒險\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","01:08","冰天雪地","bgm_M58"
"33","bgm_M101_juke","00:00","主線冒險\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","01:05","涼爽的風","bgm_M101"
"34","bgm_M115_juke","00:00","戰隊競賽\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","01:02","加爾基諾司","bgm_M115"
"35","bgm_M112_juke","00:00","故事劇情主題曲\n-「充滿笑容的家」編曲-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","01:05","危險的假期海岸邊的美食家公主","bgm_M112"
"36","bgm_M116_juke","00:00","故事劇情頭目戰\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:10","天塔帕斯","bgm_M116"
"37","bgm_M147","01:00","角色歌曲\n\n時間 / 01:40\n演唱　 / 咲戀（堀江由衣）\n　　　鈴莓（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","01:40","充滿笑容的家","bgm_M147"
"38","bgm_M175_juke","00:00","戰隊競賽\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","00:45","人馬座","bgm_M175"
"39","bgm_M171_juke","00:00","故事劇情主題曲\n-「Ding Dong Holy Night♪」編曲-\n\n時間 / 00:55\n作曲 / 馬淵直純\n編曲 / 中村早織（Cygames）","00:55","忘却的頌歌","bgm_M171"
"40","bgm_M172_juke","00:00","故事劇情頭目戰\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:57","霧奇","bgm_M172"
"41","bgm_M187","00:42","角色歌曲\n\n時間 / 01:28\n演唱　 / 綾音（芹澤優）\n　　　胡桃（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬淵直純\n編曲 / 馬淵直純","01:28","Ding Dong Holy Night♪","bgm_M187"
"42","bgm_M93_juke","00:00","主線冒險\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","00:57","險峻枯原","bgm_M93"
"43","bgm_M119_juke","00:00","戰隊競賽\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","01:06","奧爾獅","bgm_M119"
"44","bgm_M121_juke","00:00","故事劇情主題曲\n-「閃亮亮☆Happiness！」編曲-\n\n時間 / 01:10\n作曲 / 齊藤裕也\n編曲 / 西村真吾","01:10","珠希和美冬的無人島0盧幣生活","bgm_M121"
"45","bgm_M124_juke","00:00","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:35","島鯨","bgm_M124"
"46","bgm_M146","00:42","角色歌曲\n\n時間 / 01:20\n演唱　 / 珠希（沼倉愛美）\n　　　美冬（田所あずさ）\n　　　秋乃（松嵜麗）\n　　　優花梨（今井麻美）\n作詞 / joru\n作曲 / 齊藤裕也\n編曲 / 齊藤裕也","01:20","閃亮亮☆Happiness！","bgm_M146"
"47","bgm_M179_juke","00:00","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:20","新的出航","bgm_M179"
"48","bgm_M181_juke","00:00","戰隊競賽\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","00:58","阿爾珈提","bgm_M181"
"49","bgm_M182_juke","00:00","故事劇情主題曲\n-「TwinkleStars」編曲-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","00:58","新春破曉之星大危機！","bgm_M182"
"50","bgm_M183_juke","00:00","故事劇情頭目戰\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:32","邪餅神鏡餅","bgm_M183"
"51","bgm_M202","00:45","角色歌曲\n\n時間 / 01:24\n演唱　 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","01:24","TwinkleStars","bgm_M202"
"52","bgm_M94_juke","00:00","主線冒險\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:26","酷熱沙漠","bgm_M94"
"53","bgm_M132_juke","00:00","戰隊競賽\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:25","美杜莎","bgm_M132"
"54","bgm_M128_juke","00:00","故事劇情主題曲\n-｢Aloofness Code｣編曲-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","01:29","黑鐵的亡靈（Nightmare）","bgm_M128"
"55","bgm_M131_juke","00:00","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:28","亡靈鎧甲","bgm_M131"
"56","bgm_M154","00:46","角色歌曲\n\n時間 / 01:20\n歌　 / 純（川澄綾子）\n　　　克莉絲提娜（たかはし智秋）\n　　　智（茅原実里）\n　　　茉莉（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","01:20","Aloofness Code","bgm_M154"
"57","bgm_M214","00:44","角色歌曲\n\n時間 / 01:13\n歌　 / 凱留（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬淵直純\n編曲 / 馬淵直純","01:13","Absolute Secret","bgm_M214"
"58","bgm_M186_juke","00:00","戰隊競賽\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","01:00","水之里歐斯","bgm_M186"
"59","bgm_M189_juke","00:00","故事劇情主題曲\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏惠","01:02","情人節之戰！正中紅心的甜蜜戰鬥","bgm_M189"
"60","bgm_M192_juke","00:00","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","02:24","醜陋可愛","bgm_M192"
"61","bgm_M200","00:40","角色歌曲\n\n時間 / 01:15\n歌　 / 靜流（生天目仁美）\n　　　璃乃（阿澄佳奈）\n作詞 / 坂井龍二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","01:15","SUPER CHOCOLATE","bgm_M200"
"62","bgm_M118_juke","00:00","主線冒險\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","01:07","砂海綠洲","bgm_M118"
"63","bgm_M180_juke","00:00","主線冒險\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","01:20","不可思議的森林","bgm_M180"
"64","bgm_M205_juke","00:00","戰隊競賽\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","01:00","托爾披頓","bgm_M205"
"65","bgm_M206_juke","00:00","故事劇情主題曲\n-｢未解明的心意｣編曲-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","00:39","王都的名偵探　嘆息的追緝者","bgm_M206"
"66","bgm_M209_juke","00:00","故事劇情頭目戰\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","02:09","哀嘆之女神","bgm_M209"
