e26eebabf7e342eb8a9a330cafca8708bae9e0d20085d1fd21df687f1e48aa6b,d48396ff479cc2972bce39510cc8cdf1ee66649a5cd010996faf36fa0003a15a,0000bb333d3dc05530cc5a81569efb69f2af20dbea41995b8ce6473d067aff86,6b2db8ef5ecc2bd146ec04df2e3440e5b6a5260d8a3004114a9b20e533c87dfe,4f0daaeb871c4d69097cde4a78929dd8bf3ed544cae93d5902e7c6f8d1dde3c5,8a807fca2d016cd647f0cf27a1575cd7144aad1db8644a085251a1925040deea
"1","11001001","99001001","15","1001","1"
"10","91002","99001001","8","0","2"
"1","11001002","99001002","15","1001","3"
"10","91002","99001002","8","0","4"
"1","11001003","99001003","15","1002","5"
"20","91002","99001003","8","0","6"
"1","11001004","99001004","15","1003","7"
"30","91002","99001004","8","0","8"
"1","11001005","99001005","15","1001","9"
"10","91002","99001005","8","0","10"
"1","11001006","99001006","15","1001","11"
"10","91002","99001006","8","0","12"
"1","11001007","99001007","15","1002","13"
"20","91002","99001007","8","0","14"
"1","11001008","99001008","15","1003","15"
"30","91002","99001008","8","0","16"
"1","11001009","99001009","15","1001","17"
"10","91002","99001009","8","0","18"
"1","11001010","99001010","15","1001","19"
"10","91002","99001010","8","0","20"
"1","11001011","99001011","15","1002","21"
"20","91002","99001011","8","0","22"
"1","11001012","99001012","15","1003","23"
"30","91002","99001012","8","0","24"
"1","11001017","99001017","15","1001","33"
"30","91002","99001017","8","0","34"
"1","11001018","99001018","15","1001","35"
"30","91002","99001018","8","0","36"
"1","11001019","99001019","15","1002","37"
"30","91002","99001019","8","0","38"
"1","11001020","99001020","15","1003","39"
"30","91002","99001020","8","0","40"
"0","11001021","99001021","15","1001","41"
"0","11001022","99001022","15","1002","42"
"1","11001023","99001023","15","1001","43"
"30","91002","99001023","8","0","44"
"1","11001024","99001024","15","1001","45"
"30","91002","99001024","8","0","46"
"1","11001025","99001025","15","1002","47"
"30","91002","99001025","8","0","48"
"1","11001026","99001026","15","1003","49"
"30","91002","99001026","8","0","50"
"1","11001027","99001027","15","1001","51"
"30","91002","99001027","8","0","52"
"1","11001028","99001028","15","1001","53"
"30","91002","99001028","8","0","54"
"1","11001029","99001029","15","1002","55"
"30","91002","99001029","8","0","56"
"1","11001030","99001030","15","1003","57"
"30","91002","99001030","8","0","58"
"1","11001031","99001031","15","1001","59"
"30","91002","99001031","8","0","60"
"1","11001032","99001032","15","1001","61"
"30","91002","99001032","8","0","62"
