dcbb988ad8230f3e58b64c6b82e729bd37bad2f0ad62ee701dbe80a1826b53a8,5c812fe4a2034c8efb0f95e1746577d161251a2d1245d8d44963007ea2e67a42,de90af6ad2c2218a7d84b705fa5acbd8cbdcc82fffe43e5df7d1041b957a4896,eeed38b0c53e0c626a2745bc38bcbdd9d470fbbde53f065559276c4454089578,07555c020d1fa8243bc05c3dc9263c234f2608cbf9265b0de597b434a4323e15,f09d9ced6f2677aaded65191318ad3219822fe6f53639fd7a781de2a4a2e20d3,52318d31e3a2eb96db2b18ae09389ad8fede10548610c4d6f4149cd95d343f95,277001f88ad66061600871045f08ade5be8ae9ec8d1c395361ba2d4b4de3cd76,f572b2b44c0415763d945b69a9f6ffc22e5b9ed605c7d2817bcffcc7d3d6c783,3647972409ca2bb3d5755a612d49262ee557711b639c480862dba60221261d67,ca05469cd69822c438d8cad8e372dcda7cce31eafb300b5857f5bd64d690e083,d181b9f33035d72fb1aefeaefeb83a3f6e291dfde78f429f21d72b314a542a5b,4544e91ef5317f2e31c3b7c2c2b6c93647df457982c851e76ce84b70ced3e1e9,0abc229049a8bcd669d1f83087d6a29dbf03ac5b36608b0460770408a983feb3,ac7ed3ee0cc7b6292ae21b4349e52cff04ee2a41f46feb2c104ae64d20547353,34427dcb6c3b40346d9b6eaeb7b0c110ffa519edf753c74bfde7d3e7520aa01e,406d9917bcd13d2b6c3ef101ff1ca46adfa9a238d1f08b420d927df12c501aae
"1","0","1","11001001","1008","完成 10 次主線或活動冒險","2015/04/01 15:00:00","0","0","2099/04/01 14:59:59","11001001","10","0","0","200","0","101"
"1","0","1","11001002","1008","完成 20 次主線或活動冒險","2019/03/06 16:00:00","0","0","2030/04/01 14:59:59","11001002","20","0","0","200","0","101"
"1","0","2","11003001","1003","完成 3 次主線(HARD、VERY HARD)或活動冒險(HARD)","2015/04/01 15:00:00","0","0","2099/04/01 14:59:59","11003001","3","0","0","200","0","102"
"1","0","7","11004001","1004","完成４次探索冒險","2015/04/01 15:00:00","0","0","2099/04/01 14:59:59","11004001","4","0","0","202","0","103"
"1","0","9","11005001","1005","完成 1 次地下城的戰鬥","2015/04/01 15:00:00","0","0","2099/04/01 14:59:59","11005001","1","0","0","204","0","104"
"1","0","15","11005002","80000","挑戰1次地下城","2025/10/05 05:00:00","0","0","2025/10/10 04:59:59","11005002","1","0","0","603","0","122"
"1","0","16","11005003","80003","通關1次地下城的戰鬥","2025/10/05 05:00:00","0","0","2025/10/10 04:59:59","11005003","1","0","0","603","0","122"
"1","0","8","11006001","1006","完成 1 次共鬥","2018/08/14 16:00:00","0","0","2019/03/06 15:59:00","11006001","1","0","0","203","0","105"
"1","0","14","11101001","1101","挑戰1次露娜之塔的冒險","2025/12/05 16:00:00","0","0","2025/12/10 15:59:59","11101001","1","0","0","208","0","108"
"1","0","17","11701001","1701","完成1次深淵討伐戰前哨冒險","2024/11/15 16:00:00","0","0","2030/04/01 14:59:59","11701001","1","0","0","1007","0","132"
"1","0","3","13002001","3002","抽 10 次一般轉蛋","2015/04/01 15:00:00","0","0","2099/04/01 14:59:59","13002001","10","0","0","401","0","301"
