02a33fe358425b9a2fb559d9a04c81733949e7da49ea4e6dde88dc819eba1244,edd2ecc9c791699d0351df8265963323760cc08df1490f9fdb6fa76b012ec991,ff601712b6c801dba80cf2e0b861d89e7d1af4d417920d12eeb951e5c424d558,26dddcece0e7938c0346691321d765d913a0a4a55f4ac98923a034c9fcb580f9,912233287f3f43d71e8d5661215eb317523b1ef7c199b4a6b147be59df443efa,d1654a961b461b5b5fc15ce4e0aa8a2fd52c4e4cefdbc8bb641d2d390e3c9e0c,2f98bb963fb5f92ec429425146f40110d961b42c294561f2d8160d031f63127b,f2c01b4af04c76fbd463dd179967008d5f317c2f302420c3445e9df13de8f9c6,9de0d33434639fbb91901a299b52ab7d459622c69009d106489c36623ade3b2f,089b0c16e03b8996a4bdb75e222ecdd18a6fa5eba2507b0e6758c0fadda99624
"5000000","111","0","25101","3","0","101","2","0","0"
"5000000","211","0","25101","3","0","201","2","0","0"
"5500000","311","0","25101","2","0","301","2","0","0"
"5500000","411","0","25101","2","0","401","2","0","0"
"6000000","511","0","25101","3","0","501","2","0","0"
"6000000","611","0","25101","2","0","601","2","0","0"
"6500000","711","0","25101","2","0","701","2","0","0"
"6500000","811","0","25101","2","0","801","2","0","0"
"7000000","911","0","25101","3","0","901","2","0","0"
"7000000","1011","0","25101","2","0","1001","2","0","0"
"7500000","1111","0","25101","2","0","1101","2","1112","0"
"7500000","1211","0","25101","2","0","1201","2","1212","0"
"8000000","1311","0","25101","3","0","1301","2","0","0"
"8000000","1411","0","25101","2","0","1401","2","0","0"
"8500000","1511","0","25101","2","0","1501","2","0","0"
"8500000","1611","0","25101","2","0","1601","2","0","0"
"9000000","1711","0","25101","3","0","1701","2","0","0"
"9000000","1811","0","25101","2","0","1801","2","1812","0"
"9500000","1911","0","25101","2","0","1901","2","0","0"
"9500000","2011","0","25101","2","0","2001","2","0","0"
"10000000","2111","0","25101","3","0","2101","2","0","0"
"10000000","2211","0","25101","2","0","2201","2","0","0"
"10500000","2311","0","25101","2","0","2301","2","0","0"
"10500000","2411","0","25101","2","0","2401","2","0","0"
"11000000","2511","0","25101","3","0","2501","2","0","0"
"11000000","2611","0","25101","2","0","2601","2","2612","0"
"11500000","2711","0","25101","2","0","2701","2","2712","0"
"11500000","2811","0","25101","2","0","2801","2","2812","0"
"12000000","2911","0","25101","3","0","2901","2","0","0"
"12000000","3011","0","25101","2","0","3001","2","3012","0"
"12500000","3111","0","25101","2","0","3101","2","0","0"
"12500000","3211","0","25101","2","0","3201","2","0","0"
"13000000","3311","0","25101","3","0","3301","2","0","0"
"13000000","3411","0","25101","3","0","3401","2","0","0"
"13500000","3511","0","25101","3","0","3501","2","0","0"
"13500000","3611","0","25101","3","0","3601","2","0","0"
"13500000","3711","0","25101","3","0","3701","2","0","0"
