e58a481d1c574a482ab991bcf27caaf0a69bc200dd418c82c8e00ec307d11a36,e39bb3e63bd4a4833c639835c9104a5db9a6b6a309fa1827409e4e3b95370ef0,0b495391b13db74311a4d2316b58cf8fcf5ae5776b9051f78d5e5cdab60b7125,b5b1f26bc9b7b28cbd0e1c2b0a08b07115e230b7ae80175de5e8c9dda7f13336,a24c6dfae2c311b8e9e4ceecfed4fd0a4049b529ffb5b05e190efcd72d9b1c6b,32d516224cc1590a1031742da5562eabea761bf6d6731cb723241a6b0bf270a1,3203c1d574bca4cb207a35016d58c460175ec5fff736a21d8a701503e0fbd6ef,f15f305c161a260122b1e56bb71f34de32516bc48329131cca9484370cc7ed2d,2231ddaf745ebf7d4d1fd13ee7260f1503af52efeb9361d179be9d17a4dfd482,85a846a1f2b168e98f320fc76b317c0d187ef8cac2c3bb242ceca332125e15a2,cfbc93d43e78ce60b42698f32cfa7dfd3b1bf7dfe751baf4668ef00d226670b4,4fc14ae54172fcd36ba2048d85b27b10b817855be644ca4d1a3f06c0420324ae
"0","0","0","0","0","0","0","0","0","0","1","0"
"2","0","0","800","0","0","1","0","0","3","11002","1"
"1","0","0","500","0","0","1","0","0","1","12001","1"
"1","0","0","700","0","0","1","0","0","1","12002","1"
"2","0","0","600","0","0","1","0","0","1","13001","1"
"2","0","0","700","0","0","1","0","0","1","13002","1"
"2","0","0","600","0","0","1","0","0","1","14002","1"
"2","0","0","900","0","0","1","0","0","3","21001","2"
"0","0","0","0","0","0","2","0","0","0","22001","8000"
"1","0","0","1","0","0","3","1","0","99","23001","5"
"1","0","0","1","0","0","3","1","0","99","23002","7"
"4","0","0","3","0","0","5","1","0","0","25001","0"
"1","0","0","0","1","0","5","0","0","0","25002","0"
"4","0","0","3","0","0","5","1","0","0","25003","1"
"1","0","0","0","1","0","5","0","0","0","25004","1"
"0","0","0","37","40","0","6","0","0","0","26001","76"
"0","0","0","1","1","0","7","0","0","0","27001","2"
"0","0","0","1","1","0","7","0","0","0","27002","3"
"0","0","0","0","0","0","8","0","0","0","28001","0"
