bf5956116eb0ca063abba2680b46cd03e56287027f91a181e0f5ba313595254d,901ca49cc723ac46e4e255c0685d34a73ae71fe90d4c11687de4c1825c9d9e92,596030aa460abc26b38729598ebf435aefb0008501dc899e94e211765176088a,81402571c24e7b0d91d6371f153a56dc9691078442e4d05d974e7ffe11f3f4b7,bcb618cccd42068a6522219214f6da5b8d4cc7c5e3963af13499f746b2cc8a70,0879b8419fa959790d0a74c28f268a2028f773ae908790c381a265b49a08b077,804e98d80f07d15b823b29513749f11104962a2213b0ebb59ee9e6aba1f56e18,2567b0bbee13300e1fd705949dbf532e52ef5e17394d5e659832183269562ac8,c7959de53e8345f239a4910ac81155741972dba9992f6c5eceb74ce83512865f,07f9bf27f74fec26d28389b1e8cf80d14b2518fec5775643e800ae36514a6851,8932594d9365895349bbb0085fb61d4574c06ebff25fce852d7066e5bfb9ddbd
"-496","1","1010001","105831","1","0","-157","01_uek_cmn_idol_def_N","1","1.3","100"
"-355","1","1010002","105931","1","0","-178","01_uek_cmn_idol_def_N","1","1.3","110"
"410","1","1010003","112631","1","1","-124","01_uek_cmn_idol_def_N","1","1.3","100"
"389","1","1010004","112531","1","1","-258","01_uek_cmn_idol_def_N","1","1.3","110"
"-415","1","1010005","106031","1","0","-234","01_uek_cmn_idol_def_N","1","1.3","120"
"262","1","1010006","112431","1","1","-235","01_uek_cmn_idol_def_N","1","1.3","120"
"01_uek_cmn_pose03","105831","1010007","01_uek_01_peko","3","0.2","1","","1","0","0"
"01_uek_talk_normal","105931","1010008","01_uek_01_kokkoro","3","0.2","1","","1","0","0"
"01_uek_cmn_pose02","106031","1010009","01_uek_01_kyaru","3","0.2","1","","1","0","0"
"01_uek_cmn_pose03","112631","1010010","01_uek_01_mio","3","0.2","1","","1","0","0"
"01_uek_cmn_pose02","112531","1010011","01_uek_01_rin","3","0.2","1","","1","0","0"
"01_uek_cmn_pose01","112431","1010012","01_uek_01_uduki","3","0.2","1","","1","0","0"
"","3","1010013","","93","","","","1","",""
"","112631","1010014","01_uek_cmn_pose03","3","","0","","1","0.2","1"
"","112431","1010015","01_uek_cmn_pose01","3","","0","","1","0.2","1"
"","105831","1010016","01_uek_cmn_pose03","3","","0","","1","0.2","1"
"01_uek_cmn_idol_def_N","105931","1010017","01_uek_talk_normal","3","0.1","1","","1","0.2","0"
"01_uek_cmn_idol_def_N","106031","1010018","01_uek_cmn_pose02","3","0.1","1","","1","0.2","0"
"01_uek_cmn_idol_def_N","112531","1010019","01_uek_cmn_pose02","3","0.1","1","","1","0.2","0"
"","105831","1010020","唔哇……！\n變得超大的，\n太讚了吧☆","11","","","","1","","10"
"","0","1010021","","91","","","","1","",""
"","105931","1010022","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","11","","","","1","","10"
"","0","1010023","","91","","","","1","",""
"","112631","1010024","這種情況下，\n就讓人想看看\n上面是怎樣呢！","11","","","","1","","10"
"","0","1010025","","91","","","","1","",""
"","112531","1010026","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","11","","","","1","","10"
"","0","1010027","","91","","","","1","",""
"","106031","1010028","反正我也挺感興趣，\n就陪陪妳們吧。","11","","","","1","","10"
"","0","1010029","","91","","","","1","",""
"","112431","1010030","好♪大家一起\n加油以登頂\n為目標吧！","11","","","","1","","10"
"","0","1010031","","91","","","","1","",""
"0","1","1020001","104431","1","0","0","02_uek_cmn_idol_def_N","2","1.3","100"
"02_uek_02_ilya_loop","104431","1020002","02_uek_02_ilya","3","","0","","2","","0"
"0","104431","1020003","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","11","","","","2","","10"
"","0","1020004","","91","","0","","2","",""
"-140","1","1030001","105831","1","0","-10","01_uek_cmn_idol_def_N","3","1.3","100"
"120","1","1030002","105931","1","1","10","01_uek_cmn_idol_def_N","3","1.3","100"
"0","1","1030003","106031","1","1","0","01_uek_cmn_idol_def_N","3","1.3","100"
"01_uek_03_peko_loop","105831","1030004","01_uek_03_peko","3","","0","","3","","0"
"01_uek_03_kyaru_loop","106031","1030005","01_uek_03_kyaru","3","","0","","3","","0"
"0","105831","1030006","小凱留！\n妳快看，\n景色很棒哦☆","11","","","","3","","10"
"","0","1030007","","91","","","","3","",""
"0","106031","1030008","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","11","","","","3","","10"
"","0","1030009","","91","","","","3","",""
"01_uek_cmn_idol_def_N","105931","1030010","01_uek_03_kokkoro","3","","1","","3","","0"
"0","105931","1030011","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","11","","","","3","","10"
"-120","1","1040001","101131","1","0","-30","02_uek_cmn_idol_def_N","4","1.3","100"
"20","1","1040002","104931","1","1","-5","02_uek_cmn_idol_def_N","4","1.3","100"
"","101131","1040003","02_uek_talk_joy2","3","","","","4","","1"
"0","101131","1040004","千萬行星也要\n始於腳下！\n我會加油的！","11","","","","4","","10"
"","0","1040005","","91","","","","4","",""
"","101131","1040006","02_uek_cmn_idol_def_N","3","","","","4","0.2","1"
"","104931","1040007","02_uek_04_shizuru","3","","","","4","0.2","1"
"0","104931","1040008","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","11","","","","4","","10"
"","0","1040009","","91","","","","4","",""
"","104931","1040010","02_uek_cmn_idol_def_N","3","","","","4","0.2","1"
"-70","1","1050001","105031","1","0","0","02_uek_cmn_idol_def_N","5","1.3","100"
"70","1","1050002","101631","1","1","1","02_uek_cmn_idol_def_N","5","1.3","100"
"02_uek_05_misaki_loop","105031","1050003","02_uek_05_misaki","3","","-15","","5","","0"
"02_uek_05_suzuna_loop","101631","1050004","02_uek_05_suzuna","3","","0","","5","","0"
"0","105031","1050005","我要登上大人\n的階梯了～！","11","","","","5","","10"
"","0","1050006","","91","","0","","5","",""
"0","101631","1050007","人家也要成為\n超級巨星名模囉！","11","","","","5","","10"
"120","1","1060001","100531","1","1","25","02_uek_cmn_idol_def_N","6","1.3","100"
"-20","1","1060002","103731","1","0","5","02_uek_cmn_idol_def_N","6","1.3","100"
"","100531","1060003","02_uek_cmn_pose04","3","","","","6","","1"
"0","100531","1060004","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","11","","","","6","","10"
"","0","1060005","","91","","","","6","",""
"","103731","1060006","02_uek_talk_normal","3","","","","6","0.2","1"
"0","103731","1060007","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","11","","","","6","","10"
"","0","1060008","","91","","","","6","",""
"","103731","1060009","02_uek_cmn_idol_def_N","3","","","","6","0.2","1"
"-60","1","1070001","103831","1","0","-20","02_uek_cmn_idol_def_N","7","1.3","100"
"","103831","1070002","02_uek_07_shiori","3","","","","7","0.2","1"
"","103831","1070003","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","11","","","","7","","10"
"90","1","1080001","104531","1","0","40","02_uek_08_kuka_loop","8","1.3","100"
"60","2","1080002","2","31","","1","","8","1","90"
"0","104531","1080003","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","11","","0","","8","","10"
"","0","1080004","","91","","","","8","",""
"-195","2","1090001","105831","1","0","-35","05_idle","9","0.9","100"
"150","2","1090002","302102","1","0","-30","302102_idle","9","1.2","1000"
"50","102","1090003","15","31","","1","","9","1","150"
"400","103","1090004","16","31","","1","","9","1","150"
"-160","1","1100001","112531","1","0","-25","01_uek_cmn_idol_def_N","10","1.3","100"
"-40","1","1100002","112431","1","1","-5","01_uek_cmn_idol_def_N","10","1.3","100"
"125","1","1100003","112631","1","1","20","01_uek_cmn_idol_def_N","10","1.3","100"
"","112631","1100004","01_uek_talk_surprise2","3","","0","","10","","1"
"0","112631","1100005","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","11","","0","","10","","10"
"","0","1100006","","91","","","","10","",""
"","112631","1100007","01_uek_cmn_idol_def_N","3","","0","","10","0.2","1"
"","112431","1100008","01_uek_talk_joy1","3","","","","10","","1"
"0","112431","1100009","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","11","","0","","10","","10"
"","0","1100010","","91","","","","10","",""
"","112431","1100011","01_uek_cmn_idol_def_N","3","","","","10","0.2","1"
"","112531","1100012","01_uek_talk_normal","3","","","","10","","1"
"0","112531","1100013","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","11","","0","","10","","10"
"","0","1100014","","91","","","","10","",""
"","112531","1100015","01_uek_cmn_idol_def_N","3","","","","10","0.2","1"
"","0","1100016","","91","","","","10","",""
"-135","1","1110001","104731","1","0","-20","03_uek_cmn_idol_def_N","11","1.3","100"
"100","1","1110002","107131","1","1","5","03_uek_cmn_idol_def_N","11","1.3","100"
"03_uek_11_jun_loop","104731","1110003","03_uek_11_jun","3","","1","","11","0","0"
"03_uek_cmn_idol_def_N","107131","1110004","03_uek_11_chris","3","0.2","1","","11","0","0"
"","104731","1110005","唔，視野一片白……\n小克莉絲，\n妳要小心！","11","","0","","11","","10"
"","0","1110006","","91","","","","11","",""
"0","107131","1110007","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","11","","0","","11","","10"
"","1.5","1110008","","93","","","","11","",""
"1.5","104731","1110009","-135","2","","1","","11","","0"
"","1110007","1110010","","91","","","","11","",""
"-120","1","1120001","101031","1","0","-20","03_uek_cmn_idol_def_N","12","1.3","100"
"10","1","1120002","101431","1","1","-5","03_uek_cmn_idol_def_N","12","1.3","100"
"","101031","1120003","03_uek_talk_joy1","3","","0","","12","","1"
"0","101031","1120004","好可愛的雲呀，\n真想一起\n帶回去啊♪","11","","0","","12","","10"
"","0","1120005","","91","","","","12","",""
"","101031","1120006","03_uek_cmn_idol_def_N","3","","0","","12","0.2","1"
"","101431","1120007","03_uek_talk_normal","3","","0","","12","","1"
"0","101431","1120008","再怎麼說\n那未免也\n太困難了吧……？","11","","0","","12","","10"
"","0","1120009","","91","","","","12","",""
"","101431","1120010","03_uek_cmn_idol_def_N","3","","0","","12","0.2","1"
"-165","1","1130001","105831","1","0","-45","01_uek_cmn_idol_def_N","13","1.3","100"
"-45","1","1130002","105931","1","0","-20","01_uek_cmn_idol_def_N","13","1.3","100"
"120","1","1130003","106031","1","1","-5","01_uek_cmn_idol_def_N","13","1.3","100"
"","105931","1130004","01_uek_talk_normal","3","","1","","13","","1"
"0","105931","1130005","已經爬到滿高的\n地方來了呢……","11","","0","","13","","10"
"","0","1130006","","91","","","","13","",""
"01_uek_cmn_idol_def_N","105931","1130007","01_uek_13_kokkoro","3","","1","","13","0.2","0"
"01_uek_13_kyaru_loop","106031","1130008","01_uek_13_kyaru","3","","1","","13","","0"
"0","106031","1130009","根本完全\n看不見頂端啊！\n到底有多高啊！","11","","0","","13","","10"
"","0","1130010","","91","","","","13","",""
"","105831","1130011","01_uek_13_peco_loop","3","","0","","13","","1"
"0","105831","1130012","有什麼關係嘛。\n運動後吃的東西\n會格外美味哦☆","11","","0","","13","","10"
"","0","1130013","","91","","","","13","",""
"-86","1","1140001","104031","1","0","-25","03_uek_cmn_idol_def_N","14","1.3","100"
"250","1","1140002","1","31","","1","","14","1","0"
"03_uek_14_aoi_loop","104031","1140003","03_uek_14_aoi","3","","1","","14","","0"
"0","104031","1140004","嗚嗚，這風是\n對邊緣人的\n猛烈排擠嗎！？","11","","0","","14","","10"
"-75","1","1150001","100731","1","0","-20","03_uek_cmn_idol_def_N","15","1.3","100"
"65","1","1150002","103131","1","1","10","03_uek_15_father","15","1.3","100"
"","100731","1150003","03_uek_15_miyako","3","","0","","15","","1"
"0","100731","1150004","天上好舒服哦～\n這就是所謂的\n幸福到快升天嗎？","11","","0","","15","","10"
"","0","1150005","","91","","","","15","",""
"","103131","1150006","03_uek_15_father","3","","0","","15","","1"
"0","103131","1150007","小鬼妳也是嗎？\n本大爺的身體也\n變得好輕啊！","11","","0","","15","","10"
"","0","1150008","","91","","","","15","",""
"","103131","1150009","03_uek_talk_normal","3","","0","","15","","1"
"0","103131","1150010","宮子\n妳可不能\n真的升天哦……？","11","","0","","15","","10"
"","0","1150011","","91","","","","15","",""
"","103131","1150012","03_uek_cmn_idol_def_N","3","","0","","15","0.2","1"
"-110","1","1160001","112431","1","0","-45","01_uek_cmn_idol_def_N","16","1.3","100"
"40","1","1160002","105831","1","1","-15","01_uek_cmn_idol_def_N","16","1.3","100"
"140","1","1160003","105931","1","1","10","01_uek_cmn_idol_def_N","16","1.3","100"
"01_uek_cmn_idol_def_N","105931","1160004","01_uek_01_kokkoro","3","","0","","16","","0"
"01_uek_cmn_idol_def_N","112431","1160005","01_uek_01_uduki","3","","1","","16","","0"
"01_uek_cmn_idol_def_N","105831","1160006","01_uek_01_peko","3","","1","","16","","0"
"","0","1160007","","91","","","","16","",""
"","105931","1160008","01_uek_talk_normal","3","","1","","16","","1"
"0","105931","1160009","卯月小姐。前路似乎\n還很漫長，\n您不休息沒問題嗎？","11","","0","","16","","10"
"","0","1160010","","91","","","","16","",""
"","105931","1160011","01_uek_cmn_idol_def_N","3","","1","","16","","1"
"","112431","1160012","01_uek_talk_joy1","3","","","","16","","1"
"0","112431","1160013","嗯，沒問題！\n我很樂在其中，\n太讚了吧☆","11","","0","","16","","10"
"","1.5","1160014","","93","","","","16","",""
"01_uek_16_uduki_loop","112431","1160015","01_uek_16_uduki","3","","1","","16","0.2","0"
"","1160013","1160016","","91","","","","16","",""
"","105831","1160017","01_uek_talk_joy1","3","","","","16","","1"
"0","105831","1160018","妳很有活力呢！\n卯月，我們\n一起加油吧～☆","11","","0","","16","","10"
"","2.2","1160019","","93","","","","16","",""
"01_uek_16_uduki_loop","105831","1160020","01_uek_16_peco","3","","1","","16","0.2","0"
"","1160018","1160021","","91","","","","16","",""
"150","1","1170001","102331","1","1","10","03_uek_cmn_idol_def_N","17","1.3","300"
"-100","1","1170002","102131","1","0","-15","03_uek_cmn_idol_def_N","17","1.3","100"
"10","3","1170003","3","31","","1.3","","17","0","20"
"03_uek_17_ayane_loop","102331","1170004","03_uek_17_ayane","3","0.2","1","","17","0.2","0"
"03_uek_cmn_idol_def_N","102131","1170005","03_uek_cmn_pose05","3","","1","","17","0.2","0"
"","3","1170006","1","32","","","","17","",""
"0","102331","1170007","妳看妳看！\n我用雲做出了\n噗吉哦～！","11","","0","","17","","10"
"","0","1170008","","91","","","","17","",""
"","102131","1170009","03_uek_talk_joy1","3","","","","17","0.2","1"
"0","102131","1170010","哇，好厲害～！\n我也想\n做點什麼呢……♪","11","","0","","17","","10"
"","0","1170011","","91","","","","17","",""
"","102131","1170012","03_uek_cmn_idol_def_N","3","","","","17","0.2","1"
"229","1","1180001","112631","1","0","45","01_uek_cmn_idol_def_N","18","1.3","100"
"170","1","1180002","105831","1","0","20","01_uek_cmn_idol_def_N","18","1.3","110"
"-85","1","1180003","105931","1","0","-10","01_uek_cmn_idol_def_N","18","1.3","100"
"01_uek_18_mio_loop","112631","1180004","01_uek_18_mio","3","","1","","18","","0"
"0","112631","1180005","已經爬了很高呢～\n來看看底下的\n景色吧！","11","","0","","18","","10"
"","0","1180006","","91","","","","18","",""
"01_uek_18_mio_loop","105831","1180007","01_uek_18_mio","3","","1","","18","","0"
"0","105831","1180008","是啊！\n嗯，我看看…\n唔，哇哇哇哇！","11","","0","","18","","10"
"","3","1180009","","93","","","","18","",""
"2","105831","1180010","170","2","","1","","18","","5"
"","1180008","1180011","","91","","","","18","",""
"01_uek_cmn_idol_def_N","105931","1180012","01_uek_18_kokkoro","3","","1","","18","","0"
"0","105931","1180013","呵呵，兩位\n嬉嬉鬧鬧的，\n好像很開心呢。","11","","0","","18","","10"
"402","1","1190001","101231","1","0","110","02_uek_19_hatsune","19","1.3","100"
"166","1","1190002","103831","1","0","30","02_uek_talk_surprise2","19","1.3","100"
"","103831","1190003","02_uek_talk_surprise2","3","","0","","19","0.2","1"
"0","103831","1190004","啊！姊姊！\n在這種地方睡著\n很危險的！","11","","0","","19","","10"
"","0","1190005","","91","","","","19","",""
"0","101231","1190006","我好像聽到了\n小栞的聲音……\n呼嚕……☆","11","","0","","19","","10"
"-195","2","1200001","105831","1","0","-35","05_idle","20","0.9","100"
"150","2","1200002","304602","1","0","30","304602_idle","20","1.4","1000"
"50","102","1200003","17","31","","1","","20","1","150"
"400","103","1200004","18","31","","1","","20","1","150"
"185","1","1210001","105931","1","0","25","01_uek_21_kokkoro_loop","21","1.3","110"
"65","1","1210002","112531","1","0","-5","01_uek_21_rin_loop","21","1.3","120"
