16e5f0c487e3513c618efb0acc27b80f6f99950e2a303ee15cb24a4230f8d185,1e92d082f486e8e5dc5a1b89e625dd981fed91592278baa41d44803d93ce3149,1c82b3697664850cd269d0efba54a949df438f355f8fca0bfe28acbcf69eb2cc,900a13a1bd4a4484db4321018cf4b502c4b81caed1f9fffcaea3c5e6166afb1e,ea5efe7b07c8288998c889c2ac9c75ba45740f15fc3b98fdcc7552412c591d96,4727d526b7df1f434a10cf2a835740aa5d90b88aeaaae3512509a6d289be4e23,79b6311e3aee0e163e9d45d302b54be06000112397873cee4a776396cc1a840f,17a25e47d0f804aabcd8b1063076b958f5f2d98c5431987c0f71a41fd56a10dd,9a062c3ec81b86dc13384ea0e39478951eb2d1c5c2a044c104a2215d5aabda90,91634b35e9c2931f5b0b7f1cc3cac215243ffdda9741e3bb89a4b4760272fa4a,e57d39526506fab4900c8d87099ae44d39642951f02f58649c8909b89d15d47b
"1","0","5","0","1","1","10011","1000","1","0","1"
"2","0","2","0","2","2","10012","2000","0","1","2"
"3","0","5","0","3","2","10013","2000","0","1","3"
"4","0","8","0","4","2","10014","2000","0","1","4"
"5","0","2","0","5","3","10015","3000","0","2","5"
"6","0","5","0","6","3","10016","3000","0","3","6"
"7","0","8","0","7","3","10017","3000","0","4","7"
"8","0","2","0","8","4","10018","4000","0","5","8"
"9","0","5","0","9","4","10019","4000","0","6","9"
"10","0","8","0","10","4","10020","4000","0","7","10"
"11","9","5","10","11","5","10021","10000","1","8","11"
"12","0","2","0","12","6","10022","8000","0","11","12"
"13","0","5","0","13","6","10023","8000","0","11","13"
"14","0","8","0","14","6","10024","8000","0","11","14"
"15","0","2","0","15","7","10025","10000","0","12","15"
"16","0","5","0","16","7","10026","10000","0","13","16"
"17","0","8","0","17","7","10027","10000","0","14","17"
"18","0","2","0","18","8","10028","12000","0","15","18"
"19","0","5","0","19","8","10029","12000","0","16","19"
"20","0","8","0","20","8","10028","12000","0","17","20"
"21","19","5","20","21","9","10030","20000","1","18","21"
"22","0","2","0","22","10","10012","10000","0","21","22"
"23","0","5","0","23","10","10013","10000","0","21","23"
"24","0","8","0","24","10","10014","10000","0","21","24"
"25","0","2","0","25","11","10015","12000","0","22","25"
"26","0","5","0","26","11","10016","12000","0","23","26"
"27","0","8","0","27","11","10017","12000","0","24","27"
"28","0","2","0","28","12","10018","14000","0","25","28"
"29","0","5","0","29","12","10019","14000","0","26","29"
"30","0","8","0","30","12","10020","14000","0","27","30"
"31","29","5","30","31","13","10032","20000","1","28","31"
"32","0","2","0","32","14","10022","12000","0","31","32"
"33","0","5","0","33","14","10023","12000","0","31","33"
"34","0","8","0","34","14","10024","12000","0","31","34"
"35","0","2","0","35","15","10025","14000","0","32","35"
"36","0","5","0","36","15","10026","14000","0","33","36"
"37","0","8","0","37","15","10027","14000","0","34","37"
"38","0","2","0","38","16","10028","16000","0","35","38"
"39","0","5","0","39","16","10029","16000","0","36","39"
"40","0","8","0","40","16","10028","16000","0","37","40"
"41","39","5","40","41","17","10033","30000","1","38","41"
