fbbd122ec7f781c038105f2360503a4e52776b366cbbf45381a53b312b1128ca,ee7a100205e628f4f24908de2bfb2c88bb122ff9b486bf1f20cb78a5c9fe8730,a1f4052d8da2a4c9f04aac0896ddbac36cc5c23eb36c5e7ac5bc8df1374b0470,324f12bf07bc8cd53a004979f6de6ef7cfc7ed275cd164a63502883e5355ccb0,c0f0343e8eb0d8e599ab8e85dd8af4b2de5acadfb16b77c17380a5971ffcdfb6,78b8f320bc1b31440fca171e38855eb4f991b3a7bfd16be412b0534e31bcb17c,cbd0a6655e545739f377e69cc8988007e1837746e8fd047f247c01e254b84afb,0d5ab72415d15147694c36fc29934da2f18cd1aa61accc50f5a6aea6318b8753,380544f26e31bf7f3a36069e9e5f750c2619cdfaa975897b1a215954e40f78d9,aab2809106c9d131e93b3b6eb31efd5417249c4d47840f00b1e271d7f03f88c8,68d810c10af4a68c3a51414945f0286e629ee1d57e3be750ee41b89c1e91bb3e,b61ba4be57c97afb5d83a45d52b4ee05fb94a4423675b1e9c1337d60c88dca34,731b062b922050ef4f74aa7137cc698a8dda3f6a1ed4fef71cd0c495d2879696,b201030dbd906c9a60a7766995ef08d5f466a14d2f54a070728c0e3701d4e008,0eb7c043ef50464149789f19929bd8bf0130d2020630c10eb17b7fe01033cf42,5789fac5887f429ca6ca79f50d76de877c56fc9fd33a792a811592458fd6b0a8
"94002","12","0","15","0","0","0","0","0","20000","0","收集 15 種布丁","1","0","1","0"
"94002","12","0","30","0","0","0","0","0","30000","0","收集 30 種布丁","2","0","1","0"
"91002","8","0","40","0","0","0","0","0","50","0","收集 40 種布丁","3","0","1","0"
"94002","12","0","50","0","0","0","0","0","50000","0","收集 50 種布丁","4","0","1","0"
"91002","8","0","55","0","0","0","0","0","50","0","收集 55 種布丁","5","0","1","0"
"94002","12","0","60","0","0","0","0","0","100000","0","收集 60 種布丁","6","0","1","0"
"11001164","15","100","66","0","0","0","8","0","1","91002","收集所有 66 種布丁","7","0","1","0"
"94002","12","0","25","0","0","0","0","0","50000","0","完成 25％ 布丁筆記本","8","0","2","0"
"91002","8","0","50","0","0","0","0","0","50","0","完成 50％ 布丁筆記本","9","0","2","0"
"94002","12","0","75","0","0","0","0","0","100000","0","完成 75％ 布丁筆記本","10","0","2","0"
"9000100","16","1","100","0","100","8","15","91002","1","11001165","完成 100％ 布丁筆記本","11","0","2","0"
