1741db1c718e9f96f899653f7bbba67ff901930f0b55a275a13c57a7991b8cd0,543b771a2feee9d8f4ca180116228963fbdbd4b05e29f22acb3e619317379700,1fa85ae63e4cd8a7209cb53e64f2890fa8eff27986502d8ec6a898f9a4410e27,91d1d5d452876a4643d3bfbc42d939d2f899beded6a2a3d3eae96d6ea9626199,43a3bd1ef32704547b108e65362acb72d2d2fc2413cd2a375f2a3b17c69e8f39,99d497db48a7236c9f6d7993c3732905f00403713cda7e57f5495300e9a89a5e,66fc924fcdd8ca98f61f49600f6c7df26e62710aed45266eeead5bbc50ba352d,6184c2a753557e831fadef38606b911b7528aa69ba928e5a8952f883cacf0e3d,de8ab571e004254d814da6410f188f5d59a09ddd1c46cf453414c60611ec5541,ec8630e00e0317fc09b233f09e8d3d5192656a859e8c3e24d2887c27dc8290fd,7f10cf02c2888d6fce412ffdd42eb82b36cf5a762952ddc7d617d402dfd39c06
"0","1","1009801","1.95","122711","1009801001","102","-495","lsv_idle_normal","-200","1"
"1","1","1009801","1.95","122811","1009801002","100","-480","lsv_idle_normal","100","1"
"1","1","1009801","1.95","122911","1009801003","101","-510","lsv_idle_normal","270","1"
"0","1","1009801","1","333","1009801004","0","0","lsv_white_loop","0","5"
"0","333","1009801","0","1","1009801005","1","0","","1","6"
"0","122711","1009801","0","1","1009801006","1","0","","1","6"
"0","122811","1009801","0","1","1009801007","1","0","","1","6"
"0","122911","1009801","0","1","1009801008","1","0","","1","6"
"","1","1009801","","0","1009801009","","","","","93"
"0","333","1009801","0.8","1","1009801010","1","0.4","","1","6"
"0.2","122711","1009801","0.2","lsv_jump1","1009801011","0","1","","lsv_idle_normal","3"
"0.2","122811","1009801","0.2","lsv_jump1","1009801012","0","1","","lsv_idle_normal","3"
"0.2","122911","1009801","0.2","lsv_jump1","1009801013","0","1","","lsv_idle_normal","3"
"","0.3","1009801","","","1009801014","","","","","93"
"","122711","1009801","","-200","1009801015","-235","0","","0.75","2"
"","122811","1009801","","100","1009801016","-220","0","","0.75","2"
"","122911","1009801","","270","1009801017","-250","0","","0.75","2"
"0","122711","1009801","0.4","1","1009801018","1","1","","1","6"
"0","122811","1009801","0.4","1","1009801019","1","1","","1","6"
"0","122911","1009801","0.4","1","1009801020","1","1","","1","6"
"","2","1009801","","0","1009801021","","","","","93"
"","122911","1009801","0.2","lsv_talk_joy1","1009801022","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0121","1009801023","0","","","0","21"
"0","122911","1009801","0","「小繆快快長大日記」♪\n開始囉開始囉～","1009801024","10","1","0","1","11"
"","0","1009801","","","1009801025","","","","","91"
"","122911","1009801","0.2","lsv_idle_normal_joyR","1009801026","1","","","","3"
"","122711","1009801","0.2","lsv_talk_normal","1009801027","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0122","1009801028","0","","","0","21"
"0","122711","1009801","0","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","1009801029","10","1","0","1","11"
"","0","1009801","","","1009801030","","","","","91"
"","122711","1009801","0.2","lsv_idle_normal","1009801031","1","","","","3"
"","122911","1009801","0.2","lsv_idle_normal","1009801032","1","","","","3"
"0.2","122811","1009801","0","lsv_talk_cool","1009801033","0","1","","lsv_talk_cool_loop","3"
"","vo_lsv","1009801","","vo_lsv_0123","1009801034","0","","","0","21"
"0","122811","1009801","0","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","1009801035","10","1","0","1","11"
"","0","1009801","","","1009801036","","","","","91"
"","122811","1009801","0.2","lsv_talk_bitter","1009801037","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0124","1009801038","0","","","0","21"
"0","122811","1009801","0","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","1009801039","10","1","0","1","11"
"","0","1009801","","","1009801040","","","","","91"
"","122811","1009801","0.2","lsv_idle_joy","1009801041","1","","","","3"
"","122711","1009801","0.2","lsv_talk_anger2","1009801042","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0125","1009801043","0","","","0","21"
"0","122711","1009801","0","寫、寫得隨興一點……！\n這我做不到。","1009801044","10","1","0","1","11"
"","0","1009801","","","1009801045","","","","","91"
"","122711","1009801","0.2","lsv_idle_anger2","1009801046","1","","","","3"
"","122911","1009801","0.2","lsv_talk_normal","1009801047","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0126","1009801048","0","","","0","21"
"0","122911","1009801","0","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","1009801049","10","1","0","1","11"
"","0","1009801","","","1009801050","","","","","91"
"","122911","1009801","0.2","lsv_idle_normal_joyR","1009801051","1","","","","3"
"0.2","122711","1009801","0","lsv_talk_guts2_anger","1009801052","0","1","","lsv_talk_guts2_anger_loop","3"
"","vo_lsv","1009801","","vo_lsv_0127","1009801053","0","","","0","21"
"0","122711","1009801","0","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","1009801054","10","1","0","1","11"
"","0","1009801","","","1009801055","","","","","91"
"","122711","1009801","0.2","lsv_talk_normal_worry","1009801056","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0128","1009801057","0","","","0","21"
"0","122711","1009801","0","因為如果不曉得是什麼生物，\n養起來會很辛苦……\n可別忘了這點喔？","1009801058","10","1","0","1","11"
"","0","1009801","","","1009801059","","","","","91"
"","122711","1009801","0.2","lsv_idle_normal","1009801060","1","","","","3"
"0.2","122811","1009801","0","lsv_hello","1009801061","0","1","","lsv_idle_normal","3"
"0.2","122911","1009801","0","lsv_hello","1009801062","0","1","","lsv_idle_normal_joyR","3"
"","vo_lsv","1009801","","vo_lsv_0129","1009801063","0","","","0","21"
"0","122811","1009801","0","好──！","1009801064","10","1","0","1","11"
"0","122911","1009801","0","好──！","1009801065","10","1","0","1","11"
"","0","1009801","","","1009801066","","","","","91"
"","122711","1009801","0.2","lsv_idle_normal","1009801067","1","","","","3"
"","122911","1009801","0.2","lsv_talk_surprise","1009801068","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0130","1009801069","0","","","0","21"
"0","122911","1009801","0","小繆好不可思議喔～\n第一次見到時\n真的嚇了一跳！","1009801070","10","1","0","1","11"
"","0","1009801","","","1009801071","","","","","91"
"","122911","1009801","0.2","lsv_idle_normal_suprise1","1009801072","1","","","","3"
"0.2","122811","1009801","0","lsv_talk_cool","1009801073","0","1","","lsv_talk_cool_loop","3"
"","vo_lsv","1009801","","vo_lsv_0131","1009801074","0","","","0","21"
"0","122811","1009801","0","畢竟蛋也跟石頭很像嘛！\n吶，哥哥覺得\n牠是什麼生物？","1009801075","10","1","0","1","11"
"","0","1009801","","","1009801076","","","","","91"
"0.2","122711","1009801","0","lsv_choice","1009801077","0","1","","lsv_look_idle_normal","3"
"0.2","122811","1009801","0","lsv_choice","1009801078","0","1","","lsv_look_idle_normal","3"
"0.2","122911","1009801","0","lsv_choice","1009801079","0","1","","lsv_look_idle_normal","3"
"","0.1","1009801","","0","1009801080","","","","","93"
"0.2","122711","1009801","","-452","1009801081","-235","2","","0.33","2"
"0.2","122811","1009801","","420","1009801082","-220","2","","0.33","2"
"0.2","122911","1009801","","545","1009801083","-250","2","","0.33","2"
"","0","1009801","0.2","0","1009801084","1","","","","22"
"","怪獸的寶寶。","1009801","","1009801088","1009801085","0","","","","103"
"","大隻的蛞蝓。","1009801","","1009801102","1009801086","0","","","","103"
"","有毒的生物。","1009801","","1009801115","1009801087","0","","","","103"
"0.2","122711","1009801","0","lsv_choice","1009801088","0","1","","lsv_idle_normal","3"
"0.2","122811","1009801","0","lsv_choice","1009801089","0","1","","lsv_idle_normal","3"
"0.2","122911","1009801","0","lsv_choice","1009801090","0","1","","lsv_idle_normal","3"
"","0.1","1009801","","0","1009801091","","","","","93"
"0.2","122711","1009801","","-200","1009801092","-235","2","","0.33","2"
"0.2","122811","1009801","","100","1009801093","-220","2","","0.33","2"
"0.2","122911","1009801","","270","1009801094","-250","2","","0.33","2"
"","0.7","1009801","","0","1009801095","","","","","93"
"","122911","1009801","0.2","lsv_talk_wish_joy","1009801096","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0132","1009801097","0","","","0","21"
"0","122911","1009801","0","怪獸先生？\n那一定會長很大吧～♪\n會長得比城堡還要大嗎？","1009801098","10","1","0","1","11"
"","0","1009801","","","1009801099","","","","","91"
"","122911","1009801","0.2","lsv_idle_normal","1009801100","1","","","","3"
"","1009801129","1009801","","","1009801101","","","","","101"
"0.2","122711","1009801","0","lsv_choice","1009801102","0","1","","lsv_idle_normal","3"
"0.2","122811","1009801","0","lsv_choice","1009801103","0","1","","lsv_idle_normal","3"
"0.2","122911","1009801","0","lsv_choice","1009801104","0","1","","lsv_idle_normal","3"
"","0.1","1009801","","0","1009801105","","","","","93"
"0.2","122711","1009801","","-200","1009801106","-235","2","","0.33","2"
"0.2","122811","1009801","","100","1009801107","-220","2","","0.33","2"
"0.2","122911","1009801","","270","1009801108","-250","2","","0.33","2"
"","0.7","1009801","","0","1009801109","","","","","93"
"","122811","1009801","0.2","lsv_talk_bitter_sad","1009801110","1","","","","3"
"","vo_lsv","1009801","","vo_lsv_0133","1009801111","0","","","0","21"
