9a131cd5cae15468d275c1da628175f538a30c9edc0fbd5d441454e8cf71ed80,863019cd732bd8749d5f56e58b982e7f16611144df79d47b9a711ac478a57e79
"100101","1"
"100201","6"
"100301","2"
"100401","8"
"100501","7"
"100601","4"
"100701","7"
"100801","8"
"100901","1"
"101001","5"
"101101","1"
"101201","2"
"101301","2"
"101401","4"
"101501","6"
"101601","1"
"101701","1"
"101801","8"
"102001","1"
"102101","7"
"102201","1"
"102301","8"
"102501","4"
"102601","6"
"102701","1"
"102801","5"
"102901","7"
"103001","1"
"103101","2"
"103201","7"
"103301","8"
"103401","6"
"103601","1"
"103701","5"
"103801","2"
"104001","8"
"104201","6"
"104301","4"
"104401","1"
"104501","7"
"104601","2"
"104701","7"
"104801","8"
"104901","7"
"105001","8"
"105101","4"
"105201","7"
"105301","5"
"105401","8"
"105501","8"
"105601","7"
"105701","5"
"105801","7"
"105901","6"
"106001","4"
"106101","1"
"106301","1"
"106401","2"
"106501","2"
"106601","8"
"106701","4"
"106801","5"
"106901","4"
"107001","3"
"107101","2"
"107501","1"
"107601","6"
"107701","3"
"107801","2"
"107901","1"
"108001","1"
"108101","1"
"108201","4"
"108301","3"
"108401","3"
"108501","3"
"108601","1"
"108701","2"
"108801","6"
"108901","7"
"109001","1"
"109101","6"
"109201","5"
"109301","1"
"109401","1"
"109501","7"
"109601","2"
"109701","8"
"109801","8"
"109901","6"
"110001","1"
"110101","6"
"110301","5"
"110401","4"
"110501","1"
"110601","2"
"110701","4"
"110801","4"
"110901","1"
"111001","3"
"111101","3"
"111201","1"
"111301","3"
"111401","5"
"111501","3"
"111601","7"
"111701","1"
"111801","3"
"111901","7"
"112001","1"
"112101","6"
"112201","8"
"112301","3"
"112401","5"
"112501","7"
"112601","1"
"112701","2"
"112801","8"
"112901","1"
"113001","8"
"113101","1"
"113201","4"
"113301","4"
"113401","1"
"113501","6"
"113601","8"
"113701","1"
"113801","7"
"113901","7"
"114001","4"
"114101","1"
"114201","3"
"114301","1"
"114401","1"
"114501","7"
"114601","4"
"114701","1"
"115001","3"
"115501","1"
"115601","6"
"115701","4"
"115801","3"
"115901","3"
"116001","5"
"116201","4"
"116301","3"
"116401","5"
"116501","3"
"116601","1"
"116701","4"
"116801","5"
"116901","1"
"117001","4"
"117101","7"
"117201","5"
"117301","6"
"117401","8"
"117501","8"
"117601","5"
"117701","1"
"117801","5"
"117901","8"
"118001","2"
"118101","4"
"118201","2"
"118501","5"
"118601","8"
"119001","8"
"119101","7"
"119201","8"
"119301","3"
"119901","5"
"120001","7"
"120701","3"
"120801","1"
"120901","1"
"121001","3"
"121101","8"
"121201","3"
"121301","3"
"121401","3"
"121501","8"
"121601","1"
"121901","2"
"122001","4"
"122101","1"
"122201","3"
"122301","4"
"122401","5"
"122501","3"
"122601","6"
"122701","2"
"122801","8"
"122901","2"
"123001","6"
"123101","3"
"123201","3"
"123301","8"
"123501","8"
"123601","3"
"123701","8"
"123801","1"
"123901","7"
"124001","3"
"124101","5"
"124201","7"
"124501","2"
"124601","6"
"124701","4"
"124801","5"
"124901","1"
"125001","2"
"125101","1"
"125201","4"
"125301","3"
"125401","4"
"125501","3"
"125601","3"
"125701","6"
"125801","2"
"126001","7"
"126101","3"
"126201","5"
"126301","3"
"126401","1"
"126501","3"
"126601","5"
"126701","3"
"126801","7"
"126901","5"
"127001","7"
"127101","4"
"127201","5"
"127301","3"
"127501","3"
"127601","7"
"127701","3"
"127801","4"
"127901","7"
"128001","4"
"128301","8"
"128401","2"
"128501","3"
"128701","5"
"128801","8"
"128901","3"
"129001","6"
"129301","5"
"129401","2"
"129501","5"
"129601","4"
"129701","5"
"129801","2"
"129901","3"
"130001","7"
"130101","3"
"130201","2"
"130701","1"
"130801","4"
"130901","7"
"131001","3"
"131101","7"
"131201","2"
"131601","3"
"131701","5"
"131801","2"
"131901","8"
"132001","2"
"132101","1"
"132201","3"
"132301","3"
"132401","1"
"132501","4"
"132801","2"
"132901","4"
"133001","5"
"133101","7"
"133201","2"
"133501","1"
"133601","2"
"133701","1"
"133801","5"
"133901","1"
"134001","6"
"134301","2"
"134401","3"
"134501","5"
"134601","4"
"134701","6"
"134801","3"
"134901","2"
"135001","3"
"135101","7"
"135201","3"
"135301","2"
"135401","5"
"135501","1"
"135601","2"
"135701","5"
"135801","2"
"135901","1"
"136001","5"
"136101","3"
"136201","3"
"136301","3"
"136401","7"
"136501","7"
"137101","8"
"137401","2"
"137601","3"
"137901","3"
"138001","7"
"138101","2"
"170101","5"
"180101","4"
"180201","1"
"180301","1"
"180401","7"
"180501","6"
"180601","2"
"180701","1"
"180801","2"
"180901","3"
"181001","1"
"181101","7"
"181201","2"
"403101","2"
"403102","2"
"403103","2"
"404201","5"
"404205","5"
"407001","3"
"407701","3"
"407702","3"
"408401","3"
"408402","3"
"408403","3"
"418101","4"
"423301","8"
"423302","8"
"425801","2"
"425802","2"
"426201","5"
"426202","5"
"427101","4"
"430101","3"
"431901","8"
"433801","5"
"435601","2"
