7d0996e9f54236b74173c50521f5fe26e018caa9c57e0437fbb0722c2d3c91e2,90c3c406ecbe3026ab1d901d698d9bc549d134fae1dda3e36e06765e47935638,4b8a86efdcece049db4f9950e1da1ad7ac0d5ec6ddcc619f24246b7a227929fb,73c3c3a009fc1e6889c11ffcab1be1080e08ef54684fffad872d90b54012a3fb,b142b77e2f5c30f713287b7b93260011eb65996f01b42405c003a922b54527fd
"6017101","信賴度","10153","10153102","1"
"6144101","信賴度","10168","10168102","1"
"0","信賴度","20015","0","1"
"0","信賴度","20017","0","1"
"0","信賴度","20018","0","1"
"0","信賴度","20019","0","1"
"0","信賴度","20020","0","1"
"0","信賴度","20022","0","1"
"0","信賴度","20023","0","1"
"0","信賴度","20024","0","1"
"0","信賴度","20025","0","1"
"0","信賴度","20026","0","1"
"0","信賴度","20028","0","1"
"0","信賴度","20029","0","1"
"0","信賴度","20030","0","1"
"0","信賴度","20031","0","1"
"0","信賴度","20032","0","1"
"0","信賴度","20035","0","1"
"0","信賴度","20037","0","1"
"0","信賴度","20038","0","1"
"0","信賴度","20042","0","1"
"0","信賴度","20043","0","1"
"0","信賴度","20048","0","1"
"0","信賴度","20049","0","1"
"0","信賴度","20051","0","1"
"0","信賴度","20054","0","1"
"0","信賴度","20055","0","1"
"0","信賴度","20056","0","1"
"0","信賴度","20061","0","1"
"0","信賴度","20066","0","1"
