c04d30e4d33b46f49a4d257ce9a8bf02a292a23b94f4a2f3593658c6cab853b9,6fbf1ad5be00e6bc34b60ead04b5dd26e955f2dbbb1049b1c7db8cee3c1b0247,76fcb877f7e4cbd068a3bdc8ed28942098fcff2745f4bb52b30df2cc38fd1bcd,6c2716378f20780916fd606e537b02a0284f1a8acb0b03cca1f0af63610a4b4a,41d993325b43a1e4fe1425a3bd49ca240190f762b95488c95276f3c799ff5429,382f1dbab741bb36893703917206bf7e493740446e188d7e8d4cfa3efb2cd017,5ac215acf241079207f37956512461b66c790e846c3ad3cd48e760febcc0729d,c5fc5c3f2a1c08d9f6f149089f6fef27ed2d4fb355834c2659397c3ade82870b,077c123b2803da935088f07ef987c213a328315d62bfe7124fcaef7a17a94274,292404a1ed74dd8013af6de2b467312cdfa7bdbc44b8d634f27865fe04f540c7,d05ee88139f43f93582e65c3486fc4f78253a59d4d336d9ef98315b4a847d32d
"52","12","0","5","talk_sad","2.2","-250","30","12001","1","1"
"1","12","0","6","","0","0","1","12002","1","1"
"29","12","0","5","black","1","0","50","12003","0","0"
"1","12","0","6","","0","0","1","12004","1","0"
"","12","","91","","","","","12005","","0"
"1","12","0","6","","0.2","1","1","12006","1","1"
"1","12","0","6","","0.2","1","1","12007","1","0"
"-250","12","","2","","","2","0.3","12008","-20","1"
"0","12","","2","","","2","0.3","12009","0","0"
"","12","","93","","","","","12010","0","0.6"
"0","12","","21","","","","0","12011","vo_asb_0121","vo_asb"
"10","12","0","11","0","0","1","1","12012","回想起來，\n我甚至連伴手禮都沒帶……","1"
"0","12","","91","","","","0","12013","","0"
"1","12","","3","","0.2","","","12014","guts2_talk_shy","1"
"0","12","","21","","","","0","12015","vo_asb_0122","vo_asb"
"10","12","0","11","0","0","1","1","12016","下次拜訪的時候必定……！","1"
"0","12","","91","","","","0","12017","","0"
"1","12","","3","","0.2","","","12018","sad_talk_surprise","1"
"0","12","","21","","","","0","12019","vo_asb_0123","vo_asb"
"10","12","0","11","0","0","1","1","12020","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","1"
"0","12","","91","","","","0","12021","","0"
"1","12","","3","","0.3","","","12022","surprise_talk_dere","1"
"0","12","","21","","","","0","12023","vo_asb_0124","vo_asb"
"10","12","0","11","0","0","1","1","12024","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","1"
"0","12","","91","","","","0","12025","","0"
"0","12","0","3","","0.4","1","sad_idle_red_riri","12026","sad_talk_riri_in","1"
"0","12","","21","","","","0","12027","vo_asb_0125","vo_asb"
"10","12","0","11","0","0","1","1","12028","……一起……挑伴手禮……\n……臉紅。","1"
"0","12","","91","","","","0","12029","","0"
"","12","","101","","","","","12030","","12031"
"1","12","0","6","","0.3","0","1","12031","1","1"
"1","12","0","6","","0.3","0","1","12032","1","0"
"-250","12","","2","","","1","0.3","12033","-120","1"
"0","12","","2","","","1","0.3","12034","-100","0"
"","12","","22","","","","","12035","0","0"
"","12","","93","","","","","12036","0","0.4"
"17","13","0","5","riri_idle_look_shy","2.2","-230","20","13001","1","1"
"19","13","0","5","clear_idle_look_shy","2.2","-255","-140","13002","2","2"
"18","13","1","5","idle_look_precia","2.2","-245","270","13003","3","3"
"1","13","0","6","","0","0","1","13004","1","1"
"1","13","0","6","","0","0","1","13005","1","2"
"1","13","0","6","","0","0","1","13006","1","3"
"0","13","","31","","0","1","0","13007","100","1"
"","13","","35","","","","","13008","0","100"
"16","13","0","5","black","1","0","50","13009","0","0"
"1","13","0","6","","0","0","1","13010","1","0"
"","13","","91","","","","","13011","","0"
"","13","","93","","","","","13012","0","0.1"
"1","13","0","6","","0.2","1","1","13013","1","1"
"1","13","0","6","","0.2","1","1","13014","1","2"
"1","13","0","6","","0.2","1","1","13015","1","3"
"1","13","0","6","","0.2","1","1","13016","1","0"
"-230","13","","2","","","2","0.3","13017","-30","1"
"-255","13","","2","","","2","0.3","13018","-190","2"
"-245","13","","2","","","2","0.3","13019","220","3"
"0","13","","2","","","2","0.3","13020","0","0"
"","13","","32","","","","","13021","1","100"
"","13","","93","","","","","13022","0","0.6"
"1","13","","3","","0.2","","","13023","sad_talk_look_shy_riri","1"
"0","13","","21","","","","0","13024","vo_asb_1521","vo_asb"
"10","13","0","11","0","0","1","1","13025","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","1"
"0","13","","91","","","","0","13026","","0"
"1","13","","3","","0.2","","","13027","sad_idle_normal_look_shy_riri","1"
"1","13","","3","","0.2","","","13028","clear_talk_look_shy","2"
"0","13","","21","","","","0","13029","vo_asb_1522","vo_asb"
"10","13","0","11","0","0","1","1","13030","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","2"
"0","13","","91","","","","0","13031","","0"
"1","13","","3","","0.3","","","13032","clear_idle_look_shy","2"
"1","13","","3","","0.2","","","13033","sad_talk_look_precia","3"
"0","13","","21","","","","0","13034","vo_asb_1523","vo_asb"
"10","13","0","11","0","0","1","1","13035","赤裸裸的，\n冒險記。","3"
"0","13","","91","","","","0","13036","","0"
"1","13","","3","","0.2","","","13037","idle_look_precia","3"
"1","13","","3","","0.3","","","13038","talk_look_shy_riri","1"
"0","13","","21","","","","0","13039","vo_asb_1524","vo_asb"
"10","13","0","11","0","0","1","1","13040","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","1"
"0","13","","91","","","","0","13041","","0"
"1","13","","3","","0.2","","","13042","wish_talk_look_shy_riri","1"
"0","13","","21","","","","0","13043","vo_asb_1525","vo_asb"
"10","13","0","11","0","0","1","1","13044","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","1"
"0","13","","91","","","","0","13045","","0"
"1","13","","3","","0.2","","","13046","idle_look_shy","2"
"1","13","","3","","0.3","","","13047","joy_idle_look_shy_precia","3"
"1","13","","3","","0.2","","","13048","wish_talk_Ex4","1"
"0","13","","21","","","","0","13049","vo_asb_1526","vo_asb"
"10","13","0","11","0","0","1","1","13050","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","1"
"0","13","","91","","","","0","13051","","0"
"1","13","","3","","0.2","","","13052","idle_look_shy_riri","1"
"1","13","","3","","0.4","","","13053","surprise_idle_lookR_precia","3"
"0","13","","21","","","","0","13054","vo_asb_1527","vo_asb"
"10","13","0","11","0","0","1","1","13055","哥……","3"
"0","13","","91","","","","0","13056","","0"
"1","13","","3","","0.4","","","13057","joy_idle_look_shy_precia2","3"
