f03d3f91d909def7661cbb22a7f8a4dc71ee17ade8ea053428f46e065f5cbc76,f05542c539cc0b299202598baa54d3ed4800af3e78ee657bab84ecbf95f09ffd,a50c7a59007bed4a041f40cf7b13b85d4c395cc92575abbaaaf9a02d2fe3a136,a504f6c42b487564dc158f68b9d2e55b0f44dca30a2edd0a63be2e735d1401b2,da952b25ad6321add2a06456a6069cdcfab429d15e0f34ee71b898a13e156bf5,1e3a489dfc855f460d96b5ee7de7821aee6eb2f18813bf030556f8123f1fccbe,e2b7f67d3fb6e099153e877379c8921ae5b87381da78a5ed5156f54cf4f1d535,40063eefcf8b292e96d34a624e254f4790d1daf24fad38f5fdb30aa07cddf87a,bc14a4874cf1647f86035313d8153c2193d32a5cf59cdcb05db3b1da831dd4ae,b3500422a059b4e9538ea9e1b29353aff80a36090daf7c0c1fe4103ab8dd1229,453131d96cbb9b66c62cb2be6469250a00a56a1d5e27a9c5c890cb68d960bad4
"1","0","psy_miyako_idle","1","119931","-200","1001","-220","100","1","1.7"
"1","1","psy_idle_normal","1","1","1000","1002","-220","100","5","1.7"
"1","0","psy_fairy_idle","1","2","-50","1003","-220","105","5","1.7"
"1","","","1","11","0","1004","1","0","31","1"
"1","","","1","psy_item00_run","","1005","","1","3","0.2"
"1","","","1","285","2.5","1006","0","-220","2",""
"2.5","","","1","","","1007","","","93",""
"1","","","1","psy_item00_idle","","1008","","1","3","0.2"
"0.5","","","1","","","1009","","","93",""
"119931","","","1","psy_miyako_talk1","","1010","","1","3","0.2"
"vo_minigame_1008","","","1","vo_minigame_1008_drama_0101","0","1011","","0","21",""
"119931","0","0.5","1","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","1","1012","0","5","11","0"
"6","","","1","1","","1013","","","93",""
"119931","0.2","","1","psy_miyako_doya_in","psy_miyako_doya_loop","1014","1","0","3","0.2"
"1012","","","1","","","1015","","","91",""
"0","","","1","0","","1016","","","22",""
"2","","","1","psy_fairy_talk","","1017","","1","3","0.2"
"vo_minigame_1008","","","1","vo_minigame_1008_drama_9901","0","1018","","0","21",""
"2","0","0.5","1","啾啾！","1","1019","0","3","11","0"
"0","","","1","","","1020","","","91",""
"2","","","1","psy_fairy_idle","","1021","","1","3","0.2"
"119931","","","1","psy_miyako_talk2","","1022","","1","3","0.2"
"vo_minigame_1008","","","1","vo_minigame_1008_drama_0102","0","1023","","0","21",""
"119931","0","0.5","1","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","1","1024","0","3","11","0"
"2","","","1","1","","1025","","","93",""
"119931","","","1","psy_miyako_talk_joy2","","1026","","1","3","0.2"
"1024","","","1","","","1027","","","91",""
"0","","","1","0","","1028","","","22",""
"119931","","","1","psy_miyako_idle","","1029","","1","3","0.2"
"2","","","1","1","","1030","","","4",""
"2","0","","1","psy_fairy_run_in","psy_fairy_run","1031","1","0","3","0.2"
"1.3","","","1","","","1032","","","93",""
"2","","","1","1000","1","1033","0","-220","2",""
"2","","","1","","","1034","","","93",""
"119931","0.2","","1","psy_miyako_doya_in","psy_miyako_doya_loop","1035","1","0","3","0.2"
"vo_minigame_1008","","","1","vo_minigame_1008_drama_0103","0","1036","","0","21",""
"119931","0","0.5","1","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","1","1037","0","4","11","0"
"0","","","1","","","1038","","","91",""
"0","","","1","0","","1039","","","22",""
"1","0","0","1","11","0","1040","0","1","12","0"
"1","0.2","","1","psy_item00_talk_guts","psy_item00_idle_guts","1041","1","0","3","0.2"
"2","","","1","","","1042","","","93",""
