b903d88726d50443b0b0b54a8a135e5986eb4683db387fee7e85bdd5b726cc02,efc8056f2ef5a9194375d4292cf35f1a36fef867515bab7c046bd665e4c5b875,af3a58ee3f169467635bd41c222d29872b7a9cde164eb3712f896c4930630afd,a1b711cb1cd4b44a40c7932d84d7de3f2c738e565e942d9ff4a9451546813a8c,f7397f23b0022357ee331e79b0729dded66d95a971ae49f820718ae67280d7a7
"0","803100201","3001","3","1"
"0","803100202","3001","3","2"
"0","803100203","3001","3","3"
"0","803100204","3002","3","1"
"0","803100205","3002","3","2"
"0","803100206","3002","3","3"
"0","803100207","3003","3","1"
"0","803100208","3003","3","2"
"0","803100209","3003","3","3"
"0","803100210","3004","3","1"
"0","803100211","3004","3","2"
"0","803100212","3004","3","3"
"0","803100213","3005","3","1"
"0","803100214","3005","3","2"
"0","803100215","3005","3","3"
"0","803100216","3006","3","1"
"0","803100217","3006","3","2"
"0","803100218","3006","3","3"
"0","803100219","3007","3","1"
"0","803100220","3007","3","2"
"0","803100221","3007","3","3"
