e5269e84fc38151bb1c5da8b9e59aac07878c8e4f575e0f57da0060d7832299b,491c567b4ed0214f0c4c699094d3332841e7918382bd928d1a3ca8e5988d028b,ef608a375a3bd4e7f4941b41b601a6f2662b57bc7b8537bf85ae79859413c036,ffea15582219506133d0055a793a1bc2c61aca5c7934294b3d989a8bd4df0a34,6d76a202219319ff6e66160c8ab1e18cbee82e9de68fe59ba7a049dcdcfa1a16,f466c651b9b2b351171236a841fcf9ac4d7e538519d7e19eec808554cfaba62e,79652d6f220af18c933b2783b3423f5030e5db88af8d0e176fd3be53c0d29337,4f93761958159a7a156011ad7008ae6b267557d0ae80ef72157586036e9ef7c8,53bbe130e57d59fb7f5bb6a32f8a2bc63019e4c9df823a793c0b7c4067317f74,155f4949bc6ba8b5aa2ea5c4ad3e1bc296221787b03bf5d91d1f72426cc1532e
"6","-1","2030/12/31 23:59:59","1","0","1","2018/01/01 05:00:00","93001","18001001","100"
"6","-1","2030/12/31 23:59:59","2","0","1","2018/01/01 05:00:00","93001","18001002","100"
"5","-1","2021/02/09 04:59:59","3","0","1","2018/01/01 05:00:00","0","11001001","30"
"12","-1","2021/02/09 04:59:59","4","0","1","2018/01/01 05:00:00","94002","11001001","30000"
"8","-1","2021/02/09 04:59:59","5","0","1","2018/01/01 05:00:00","91002","11001001","10"
"5","-1","2021/02/09 04:59:59","6","0","1","2018/01/01 05:00:00","0","11003001","40"
"2","-1","2021/02/09 04:59:59","7","0","1","2018/01/01 05:00:00","20002","11003001","2"
"8","-1","2021/02/09 04:59:59","8","0","1","2018/01/01 05:00:00","91002","11003001","10"
"5","-1","2021/02/09 04:59:59","9","0","1","2018/01/01 05:00:00","0","13002001","20"
"5","-1","2021/02/09 04:59:59","10","0","1","2018/01/01 05:00:00","0","18004001","20"
"5","-1","2021/02/09 04:59:59","11","0","1","2018/01/01 05:00:00","0","16006001","25"
"5","-1","2021/02/09 04:59:59","12","0","1","2018/01/01 05:00:00","0","16007001","25"
"2","-1","2021/02/09 04:59:59","13","0","1","2018/01/01 05:00:00","22001","16007001","3"
"5","-1","2021/02/09 04:59:59","14","0","1","2018/01/01 05:00:00","0","11004001","30"
"2","-1","2021/02/09 04:59:59","15","0","1","2018/01/01 05:00:00","20002","11004001","2"
"2","-1","2021/02/09 04:59:59","16","0","1","2018/01/01 05:00:00","90007","11004001","500"
"5","-1","2021/02/09 04:59:59","17","0","1","2018/01/01 05:00:00","0","11005001","40"
"12","-1","2021/02/09 04:59:59","18","0","1","2018/01/01 05:00:00","94002","11005001","30000"
"2","-1","2021/02/09 04:59:59","19","0","1","2018/01/01 05:00:00","90007","11005001","500"
"5","-1","2030/12/31 23:59:59","20","0","1","2018/01/01 05:00:00","0","11006001","30"
"2","-1","2030/12/31 23:59:59","21","0","1","2018/01/01 05:00:00","20003","11006001","2"
"5","-1","2023/04/17 04:59:59","22","0","1","2018/01/01 05:00:00","0","15004001","30"
"2","-1","2023/04/17 04:59:59","23","0","1","2018/01/01 05:00:00","90007","15004001","100"
"5","-1","2021/02/09 04:59:59","24","0","1","2018/01/01 05:00:00","0","14001001","40"
"12","-1","2021/02/09 04:59:59","25","0","1","2018/01/01 05:00:00","94002","14001001","80000"
"2","-1","2021/02/09 04:59:59","26","0","1","2018/01/01 05:00:00","20003","14001001","2"
"5","-1","2021/02/09 04:59:59","27","0","1","2018/01/01 05:00:00","0","14003001","50"
"12","-1","2021/02/09 04:59:59","28","0","1","2018/01/01 05:00:00","94002","14003001","140000"
"2","-1","2021/02/09 04:59:59","29","0","1","2018/01/01 05:00:00","22002","14003001","4"
"8","-1","2030/12/31 23:59:59","30","0","1","2018/01/01 05:00:00","91002","21001001","30"
"12","-1","2030/12/31 23:59:59","31","0","1","2018/01/01 05:00:00","94002","21001001","2000"
"8","-1","2030/12/31 23:59:59","33","0","1","2018/01/01 05:00:00","91002","21001002","30"
"2","-1","2030/12/31 23:59:59","34","0","1","2018/01/01 05:00:00","22001","21001002","2"
"8","-1","2030/12/31 23:59:59","36","0","1","2018/01/01 05:00:00","91002","21001003","30"
"2","-1","2030/12/31 23:59:59","37","0","1","2018/01/01 05:00:00","22002","21001003","1"
"8","-1","2030/12/31 23:59:59","39","0","1","2018/01/01 05:00:00","91002","21001004","30"
"2","-1","2030/12/31 23:59:59","40","0","1","2018/01/01 05:00:00","22003","21001004","1"
"8","-1","2030/12/31 23:59:59","42","0","1","2018/01/01 05:00:00","91002","21001005","90"
"2","-1","2030/12/31 23:59:59","43","0","1","2018/01/01 05:00:00","22003","21001005","2"
"8","-1","2030/12/31 23:59:59","45","0","1","2018/01/01 05:00:00","91002","21002001","60"
"12","-1","2030/12/31 23:59:59","46","0","1","2018/01/01 05:00:00","94002","21002001","4000"
"8","-1","2030/12/31 23:59:59","48","0","1","2018/01/01 05:00:00","91002","21002002","60"
"2","-1","2030/12/31 23:59:59","49","0","1","2018/01/01 05:00:00","22001","21002002","4"
"8","-1","2030/12/31 23:59:59","51","0","1","2018/01/01 05:00:00","91002","21002003","60"
"2","-1","2030/12/31 23:59:59","52","0","1","2018/01/01 05:00:00","22002","21002003","2"
"8","-1","2030/12/31 23:59:59","54","0","1","2018/01/01 05:00:00","91002","21002004","60"
"2","-1","2030/12/31 23:59:59","55","0","1","2018/01/01 05:00:00","22003","21002004","2"
"8","-1","2030/12/31 23:59:59","57","0","1","2018/01/01 05:00:00","91002","21003001","50"
"8","-1","2030/12/31 23:59:59","58","0","1","2018/01/01 05:00:00","91002","28002001","100"
"2","-1","2030/12/31 23:59:59","59","0","1","2018/01/01 05:00:00","90007","28002001","1000"
"8","-1","2030/12/31 23:59:59","60","0","1","2018/01/01 05:00:00","91002","28002002","100"
"2","-1","2030/12/31 23:59:59","61","0","1","2018/01/01 05:00:00","90007","28002002","1500"
"8","-1","2030/12/31 23:59:59","62","0","1","2018/01/01 05:00:00","91002","28002003","100"
"2","-1","2030/12/31 23:59:59","63","0","1","2018/01/01 05:00:00","90007","28002003","1500"
"8","-1","2030/12/31 23:59:59","64","0","1","2018/01/01 05:00:00","91002","28002004","100"
"2","-1","2030/12/31 23:59:59","65","0","1","2018/01/01 05:00:00","90007","28002004","1500"
"8","-1","2030/12/31 23:59:59","66","0","1","2018/01/01 05:00:00","91002","28002005","100"
"2","-1","2030/12/31 23:59:59","67","0","1","2018/01/01 05:00:00","90007","28002005","1500"
"8","-1","2030/12/31 23:59:59","68","0","1","2018/01/01 05:00:00","91002","28002006","100"
"2","-1","2030/12/31 23:59:59","69","0","1","2018/01/01 05:00:00","90007","28002006","1500"
"8","-1","2030/12/31 23:59:59","70","0","1","2018/01/01 05:00:00","91002","28002007","100"
"2","-1","2030/12/31 23:59:59","71","0","1","2018/01/01 05:00:00","90007","28002007","1500"
"8","-1","2030/12/31 23:59:59","72","0","1","2018/01/01 05:00:00","91002","28002008","100"
"2","-1","2030/12/31 23:59:59","73","0","1","2018/01/01 05:00:00","90007","28002008","1500"
"8","-1","2030/12/31 23:59:59","74","0","1","2018/01/01 05:00:00","91002","28002009","100"
"2","-1","2030/12/31 23:59:59","75","0","1","2018/01/01 05:00:00","90007","28002009","1500"
"8","-1","2030/12/31 23:59:59","76","0","1","2018/01/01 05:00:00","91002","28002010","100"
"2","-1","2030/12/31 23:59:59","77","0","1","2018/01/01 05:00:00","90007","28002010","1500"
"8","-1","2030/12/31 23:59:59","78","0","1","2018/01/01 05:00:00","91002","28002011","100"
"2","-1","2030/12/31 23:59:59","79","0","1","2018/01/01 05:00:00","90007","28002011","1500"
"8","-1","2030/12/31 23:59:59","80","0","1","2018/01/01 05:00:00","91002","28002012","100"
"2","-1","2030/12/31 23:59:59","81","0","1","2018/01/01 05:00:00","90007","28002012","1500"
"8","-1","2030/12/31 23:59:59","82","0","1","2018/01/01 05:00:00","91002","28002013","100"
"2","-1","2030/12/31 23:59:59","83","0","1","2018/01/01 05:00:00","90007","28002013","1500"
"8","-1","2030/12/31 23:59:59","84","0","1","2018/01/01 05:00:00","91002","28002014","100"
"2","-1","2030/12/31 23:59:59","85","0","1","2018/01/01 05:00:00","90007","28002014","1500"
"8","-1","2030/12/31 23:59:59","86","0","1","2018/01/01 05:00:00","91002","26001001","30"
"8","-1","2030/12/31 23:59:59","87","0","1","2018/01/01 05:00:00","91002","26003001","50"
"8","-1","2030/12/31 23:59:59","88","0","1","2018/01/01 05:00:00","91002","26008001","50"
"8","-1","2030/12/31 23:59:59","89","0","1","2018/01/01 05:00:00","91002","24002001","50"
"8","-1","2030/12/31 23:59:59","90","0","1","2018/01/01 05:00:00","91002","24004001","50"
"8","-1","2030/12/31 23:59:59","91","0","1","2018/01/01 05:00:00","91002","21005001","100"
"8","-1","2030/12/31 23:59:59","92","0","1","2018/01/01 05:00:00","91002","21005002","100"
"8","-1","2030/12/31 23:59:59","93","0","1","2018/01/01 05:00:00","91002","21005003","100"
"8","-1","2030/12/31 23:59:59","94","0","1","2018/01/01 05:00:00","91002","21005004","100"
"8","-1","2030/12/31 23:59:59","95","0","1","2018/01/01 05:00:00","91002","21005005","100"
"8","-1","2030/12/31 23:59:59","96","0","1","2018/01/01 05:00:00","91002","21005006","100"
"8","-1","2030/12/31 23:59:59","97","0","1","2018/01/01 05:00:00","91002","21005007","100"
"8","-1","2030/12/31 23:59:59","98","0","1","2018/01/01 05:00:00","91002","21005018","30"
"8","-1","2030/12/31 23:59:59","99","0","1","2018/01/01 05:00:00","91002","21005028","30"
"8","-1","2030/12/31 23:59:59","100","0","1","2018/01/01 05:00:00","91002","21005038","40"
"8","-1","2030/12/31 23:59:59","101","0","1","2018/01/01 05:00:00","91002","26002001","50"
"8","-1","2030/12/31 23:59:59","102","0","1","2018/01/01 05:00:00","91002","26002002","50"
"8","-1","2030/12/31 23:59:59","103","0","1","2018/01/01 05:00:00","91002","26002003","50"
"8","-1","2030/12/31 23:59:59","104","0","1","2018/01/01 05:00:00","91002","26002004","50"
"8","-1","2030/12/31 23:59:59","105","0","1","2018/01/01 05:00:00","91002","26002005","50"
"8","-1","2030/12/31 23:59:59","106","0","1","2018/01/01 05:00:00","91002","26002006","50"
"8","-1","2030/12/31 23:59:59","107","0","1","2018/01/01 05:00:00","91002","26002007","50"
"8","-1","2030/12/31 23:59:59","108","0","1","2018/01/01 05:00:00","91002","26002008","50"
"8","-1","2030/12/31 23:59:59","109","0","1","2018/01/01 05:00:00","91002","26002009","50"
"8","-1","2030/12/31 23:59:59","110","0","1","2018/01/01 05:00:00","91002","26002010","50"
"8","-1","2030/12/31 23:59:59","111","0","1","2018/01/01 05:00:00","91002","26005001","100"
"8","-1","2030/12/31 23:59:59","112","0","1","2018/01/01 05:00:00","91002","26005002","100"
"8","-1","2030/12/31 23:59:59","113","0","1","2018/01/01 05:00:00","91002","21007001","50"
"8","-1","2030/12/31 23:59:59","115","0","1","2018/01/01 05:00:00","91002","28006001","1000"
