25251d9edd091ff1ba5efaf437cb5e92e9e9ec93ee522bff28a0785d7e0c5405,7b5603fc8f13af32183dd9e13bd165badf8115857b8999330842ce4bcdae4781,69b4c79eae5ffb6ae5cdebb1f01a7367a0285fedbba1d5de54892af4e248cf72,1684989076bb7546a8cbb7915fb011371b1252bdf49f2285d699455e76bc5fa7,09f8598a40acc35a53dbfb103bebf438d3e4be5e036478c5450c3755b54f9722,3c99fa4de6076050591a94bfc3291d964b13cbd151643a776b1d5d0de08e0ab6,f951339cefe11389f5045d220a9a9b5103951952f36e3db64b169761e49b8508,2041cecd6ac0e732beca4c62b38a71a79da9fa87b986a2cba4a43756621b11a9,f54d0de2fddb49e0ce4a6e1ec1de05702bd19408c1d94aa88aa7e080b63316e9,12b760713a333dedf7174428bd54a5767cdcec35be635e675ce4ec91583c02f3,e7f2b085cf5a5ce3ab8a440b265dd049d78c965e19a0f0e5d7ba9faf6bf619df
"1","drama_idle","167","1","129811","1.65","1001","1","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","1002","1","100","-224","0"
"129811","","","3","drama_idle","0.2","1003","1","1","",""
"129911","","drama_talk_arm_crossed_loop","3","drama_talk_arm_crossed_in","0.2","1004","1","0","1","0"
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_1_000","","1005","1","0","",""
"129911","0","1","11","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","0","1006","1","5","0","0"
"0","","","91","","","1007","1","","",""
"129911","","","3","drama_idle_arm_crossed","0.2","1008","1","1","",""
"129811","","drama_talk_doya_loop_smile","3","drama_talk_doya_in_smile","0.2","1009","1","0","1","0"
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_1_001","","1010","1","0","",""
"129811","0.3","1","11","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","0","1011","1","5","0","0"
"0","","","91","","","1012","1","","",""
"129811","","","3","drama_idle_arm_crossed","0.2","1013","1","1","",""
"129911","","drama_talk_smile_loop","3","drama_talk_smile_in","0.2","1014","1","0","1","0"
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_1_002","","1015","1","0","",""
"129911","0.5","1","11","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","0","1016","1","4","0","0"
"0","","","91","","","1017","1","","",""
"129911","","","3","drama_idle","0.2","1018","1","1","",""
"129811","","","3","drama_idle","0.2","1019","1","1","",""
"1","drama_idle","167","1","129811","1.65","2001","2","100","-224","1"
"1","drama_idle","-49","1","129911","1.65","2002","2","100","-224","0"
"129911","","","3","drama_idle","0.2","2003","2","1","",""
"129811","","drama_talk_admire_loop","3","drama_talk_admire_in","0.2","2004","2","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_2_000","","2005","2","0","",""
"129811","0.5","1","11","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","0","2006","2","6","0","0"
"0","","","91","","","2007","2","","",""
"129811","","","3","drama_idle_admire","0.2","2008","2","1","",""
"129911","","drama_talk_arm_crossed_loop","3","drama_talk_arm_crossed_in","0.2","2009","2","0","1",""
"vo_minigame_1013","","0","21","vo_minigame_1013_top_talk_2_001","","2010","2","0","",""
"129911","0.3","1","11","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","0","2011","2","4","0","0"
"0","","","91","","","2012","2","","",""
"129911","","","3","drama_idle_arm_crossed","0.2","2013","2","1","",""
