c7dacdecb11deee759af263ca848bbfabbd8b20ae5ac57b6f2fe2b91f73656aa,125b5256df2faea60a49835d18003afc2e5dad223582991e865ca32582aee47d,d9a7f310c489588f71a2fb117dfaf724a0205ba3e2439df113dd36a47d650f40,51789e8d5804860fd1b5e0c9d23aa65e8740cd2b97549d160ffbad863e8e4e63,7ff8d49fd10a034251737594bafb8a3ac09847efb0d08dbe71d43d4f3b31476d,858a1318d356a3c459659a7246058952b889a5a85a57ce8b54fc27ae329b09f3,09d2fc09ed3bb490ba9aa51a93fc7660a2296d18bfa9aad1ed17b20f5dd58809,31c946e02a7e62dd489dfe393431a01de89445499d0e3da199dc132689da2c1c,56390297b44f3a03161c927e139e2f99ed28ac3ad751914f6e3e51d686e9d47c,023b2fbfe946658942c8d3aab49634acd259cdac5ac689a0dd8bbf091487de7b,70ef002ff57e5a8d82034cfcd59c2b65e40db1f72c8cb43e6ce3a363f8d7cb28
"1","1","1","40","-194","sjr_talk_idle","1","1001","122611","100","1.65"
"122611","3","","","","","1","1002","sjr_talk_wish_look","1","0.2"
"vo_minigame_1010","21","","0","","","1","1003","vo_minigame_1010_top_talk_1_001","0",""
"122611","11","0","1","0","1","1","1004","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","10","0"
"0","91","","","","","1","1005","","",""
"122611","3","","","","","1","1006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","2","2001","122611","100","1.65"
"122611","3","","","","","2","2002","sjr_talk_mouth_hidden_shy","1","0.2"
"vo_minigame_1010","21","","0","","","2","2003","vo_minigame_1010_top_talk_1_002","0",""
"122611","11","0","1","0","1","2","2004","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","5","0"
"0","91","","","","","2","2005","","",""
"122611","3","","","","","2","2006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","3","3001","122611","100","1.65"
"122611","3","0","sjr_talk_stepback_worry","1","","3","3002","sjr_talk_stepback_surprise_worry","0","0.2"
"vo_minigame_1010","21","","0","","","3","3003","vo_minigame_1010_top_talk_1_003","0",""
"122611","11","0","1","0","1","3","3004","那個人的速度\n好像很快……！\n我贏得了嗎……？","7","0"
"0","91","","","","","3","3005","","",""
"122611","3","","","","","3","3006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","4","4001","122611","100","1.65"
"122611","3","","","","","4","4002","sjr_talk_thinking_surprise","1","0.2"
"vo_minigame_1010","21","","0","","","4","4003","vo_minigame_1010_top_talk_1_004","0",""
"122611","11","0","1","0","1","4","4004","有很多奇特的\n路線呢。\n要選哪個呢……？","5","0"
"0","91","","","","","4","4005","","",""
"122611","3","","","","","4","4006","sjr_talk_idle","1","0.2"
"1","1","1","40","-194","sjr_talk_idle","5","5001","122611","100","1.65"
"122611","3","0","sjr_talk_guts2_anger_loop","1","","5","5002","sjr_talk_guts2_anger","0","0.2"
"vo_minigame_1010","21","","0","","","5","5003","vo_minigame_1010_top_talk_1_005","0",""
