541e41f817bf7b8efc4d815368fbd7494e7ec205c076b1bc4e3d0b2a9a2d47e5,7ab863297b02dc2f75c889f7d8da255849f80533d9b6065a7b3eacc337de0a85,409d1c99ce43d6492eb4fbc133ff92ef0b56349b283350feb5fe6d3c8a94a4dd,3a4e301d8ea9a087c0cc360e8e9eef6d58801b9925567cb464273c5bd87644b4,4fc2824c4908eae13f57add8dc83573cd31e143659fba11371faf3aed308ccd5,df31b393c7ad1b0e7080c4f851dcca5ccd9e549238ea668d9ce4b4b58665f66d,bf910f32ffbb2bc753d90fc23689fd4217749a95821000b3b7551b0c10594a56,a0189f097cdae86032d7ce3088ca6212246067b9e7b9aca688497eb5add5398a,9715b34a9ba739b309edf5a8107a90ccb05401b2a5d8f1f3449bd82d7e50f674,6215ec70fcce0ab7a586ac8b52235734efa6deb6ae15c153a822425d98336e96,721c4634032913c93ab06635931d86a8483a5769575a1053ad1f588663560d36,fb65b0ff2e2eea78854be07428037ddd874f1ee8923192e2e3fda8f8f6f63883,404e25d9b1705abe8537e0e8851cd6e8b06d198a0d49a4378819069fe07cf945,9eeaa7ae7111fbaba366908042379ec30feabb48dbe73e698bb4d235373ccb5d
"1.7","0","-30","100000","1.5","0","10","0","30","10050","0","0","1005001","2"
"1.7","0","25","100000","1.5","10050101","0","1","-17","10050","0.03","-40","1005001","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10050","0","-23","1005001","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10050","0","0","1005002","2"
"1.7","0","25","100000","1.5","10050201","0","1","-17","10050","0.03","-40","1005002","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10050","0","-23","1005002","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10050","0","0","1005003","2"
"1.7","0","25","100000","1.5","10050301","0","1","-17","10050","0.03","-40","1005003","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10050","0","-23","1005003","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10050","0","0","1005004","2"
"1.7","0","25","100000","1.5","10050401","0","1","-17","10050","0.03","-40","1005004","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10050","0","-23","1005004","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10050","0","0","1005005","2"
"1.7","0","25","100000","1.5","0","0","1","-17","10050","0.03","-40","1005005","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10050","0","-23","1005005","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10077","0","0","1007701","2"
"1.7","0","25","100000","1.5","10077101","0","1","-17","10077","0.03","-40","1007701","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10077","0","-23","1007701","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10077","0","0","1007702","2"
"1.7","0","25","100000","1.5","10077201","0","1","-17","10077","0.03","-40","1007702","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10077","0","-23","1007702","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10077","0","0","1007703","2"
"1.7","0","25","100000","1.5","10077301","0","1","-17","10077","0.03","-40","1007703","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10077","0","-23","1007703","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10077","0","0","1007704","2"
"1.7","0","25","100000","1.5","10077401","0","1","-17","10077","0.03","-40","1007704","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10077","0","-23","1007704","3"
"1.7","0","-30","100000","1.5","0","10","0","30","10077","0","0","1007705","2"
"1.7","0","25","100000","1.5","0","0","1","-17","10077","0.03","-40","1007705","1"
"1.7","0","-47","100000","1.5","0","10","0","-32","10077","0","-23","1007705","3"
"0.84","0","-25","100000","0.92","10088101","10","1","-13","10088","0.03","-50","1008801","1"
"0.7","0","-25","100000","0.8","0","0","0","13","10088","0","-50","1008801","2"
"0.84","0","-25","100000","0.92","10088201","10","1","-13","10088","0.03","-50","1008802","1"
