0d1a8c18370d5c20bc3875b00e5b6e44531cd3cb8a3b8c0698fcdec76d0dd027,c00c0e91c9db644170eab5c638367035955f71425149dec27f59e21ff31a3e28,af9b2c5367cf20adb8bf9220206cd5df40d840ec57dda558023d09cf3972a8d7,021c0170fdc5fc1560481cdbbe307ee9804be58ee176ae4236a053679c0980ba,7f63a40e744b1a2af94debb4231ee82d30a0271fe4b0099a57c399e0af18c330,57293f5e834f26f5e4d6749db78127574dc101c4e9aa0eec52bc452abb582810,96fced9c152906078f02eccd7b52406049d6dcc2785181e7aa7dbd5c75d280d2,e10d92021facf39da02ed66b3fcc59c2cc070ca012ee690baa6dc0eefe857f33,2ecfa488a815cbd8674ed47f8cea6aba0422928a8941f78e80904be0c911e0e6,41a8d14996e5f5e7fddf015f656583c8787a6a1ec493da222d5282f394ea5197,d50e8fbd51df3685b2da329f29785748a7424ec86a3c22955bd073fe5e0be610,fc11da7e5d54620dd9da63ac3c73efb7295a237ec59ab4b88d5a2846867eb42e,0cf2bd0ba0ee04266e4f1ba1b9380734cd45de41128db94e79c2b235564f8f9b,e6c4fbce7ebc15e43dde80d47711e2b0867bc3487ce8bf67cdecbaae8952a635
"0","1","0.029","105","110","1","160","122601","101","1","0","1.5","1","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。"
"1","2","0.014","111","105","0","120","122401","102","2","0","2.5","3","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。"
"0","3","0.017","105","110","0","350","122501","103","3","1","2.5","2","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。"
"1","4","0.016","105","110","0","130","107501","104","4","0","1.5","3","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。"
"0","5","0.014","105","110","1","160","107601","105","5","0","2.5","1","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。"
"0","6","0.029","103","120","0","255","107801","106","6","1","3.5","2","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。"
"0","7","0.013","103","120","1","160","110601","107","7","0","3.5","1","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。"
"0","8","0.014","103","110","0","350","110401","108","8","1","2.5","2","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。"
"1","9","0.012","100","105","0","130","110501","109","9","0","1.5","3","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。"
"0","10","0.014","103","105","1","200","115701","110","10","0","2.5","1","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。"
"0","11","0.071","103","105","0","350","113601","111","11","1","2.5","2","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。"
"1","12","0.014","103","120","0","130","107901","112","12","0","1.5","3","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。"
