8c6b2b4d3bae1b04de4e5e77c1badf1581c1646da2384bb2621757e47bf06250,eee84b18016d4a8160ce1e0a5b810acea2a25035369de9cdfff9bbe065a879ae,202a5b2574efef0ae43a0d7fbebf41e9b428b3707d48eab4d48d242c2f7799a5,50a1439183d71be0ac7c25e008109b345cd81107758d1cdb7b6967b3f0890799,de984952307ac4e8d98c66d9327a0d02bb5438a750d173818deb65f5bdf92f2f,a9c3aa0fb250c05db04580ecc5e7d47eb9a8b22c0d69e43d53665d3a5becbf6f
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","3001","118001","2024/04/01 16:00:00","1013206","1"
"戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","3002","118001","2024/04/01 16:00:00","1013206","2"
"戰鬥開始90秒內，大幅度提升TP上升。","3010","118001","2024/04/01 16:00:00","1013206","3"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","3001","105801","2024/04/01 16:00:00","1013206","4"
"戰鬥開始90秒內，\n極大幅度提升魔法防禦力。","3004","105801","2024/04/01 16:00:00","1013206","5"
"戰鬥開始90秒內若HP歸零，\n將不會被擊倒並恢復HP（僅限1次）","3005","105801","2024/04/01 16:00:00","1013206","6"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","3001","107501","2024/04/01 16:00:00","1013206","7"
"戰鬥開始90秒內，極大幅度提升\n物理防禦力與魔法防禦力。","3002","107501","2024/04/01 16:00:00","1013206","8"
"戰鬥開始90秒內，大幅度提升TP上升。","3010","107501","2024/04/01 16:00:00","1013206","9"
"戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","3001","111801","2024/04/01 16:00:00","1013206","10"
"戰鬥開始90秒內，極大幅度提升\n魔法防禦力，並使無法行動效果無效。","3004","111801","2024/04/01 16:00:00","1013206","11"
"戰鬥開始90秒內，\n超大幅度提升物理攻擊力。","3001","121001","2024/04/01 16:00:00","1013206","13"
