d5ffe1a345a035666d7a8e4909d911ddae825ed636fe5f06c0fab071d0de6615,5e022459d0065c4d3f76216cf545e94fa66bf42d8dab6032f1c1873f511fc844,9499d53208f11d7e8bd7a0c7e105d7f38bbab9df384ad4f8d826cfa7b025f6ca,a03ab0e5508e23a1a9140a97934812c68fe6917b596012e048f6431283fb0d78
"1","1","10000","HP"
"2","1","10000","物理攻擊力"
"3","1","10000","物理防禦力"
"4","1","10000","魔法攻擊力"
"5","1","10000","魔法防禦力"
"6","1","10000","物理暴擊率"
"7","1","10000","魔法暴擊率"
"8","0","1","迴避率"
"9","0","1","HP吸收"
"10","0","1","HP自動恢復"
"11","0","1","TP自動恢復"
"12","0","1","物理貫通傷害"
"13","0","1","魔法貫通傷害"
"14","0","1","TP上升"
"15","0","1","回復量上升"
"16","0","1","TP消耗減輕"
"17","0","1","命中"
"100","1","100","物理暴擊傷害"
"101","1","100","魔法暴擊傷害"
"102","1","100","物理造成的傷害"
"103","1","100","魔法造成的傷害"
"104","1","10000","屬性獎勵"
"105","0","1","狀態異常命中"
"107","0","1","普通攻擊強化"
"108","0","1","增益強化"
"110","0","1","恢復強化"
