f101707a396c0b1da7bed8781936cbe8baea016ef37b913424cb707cabc3361c,e64eff59af2d37f072374a6fd4fa3c16ddfbfc5677cdd1f87b861d9800b3d0f1,c572e0b0109b738c04d3d4c22fd7eec5c4053a55e82e9c81b77fc978d41c0440,546fd451f949ee1f5089f0802941e389984490c7f9730a0de3df7d1bc085bf9d,189fbc17f5465e62ca807bb1246b6b70c8d987371191ace04ef395c4c8939e23,42a417d798f4d64c02a540c6f42fca8d6491882b3dbcdb2c9a6cea54e423ec2c,97d7bab760642f186edd40c899a2d73c56d3203021a45c55fe0f3cd92baa3a26,1f89434244e90767651b9331c7e70dd2637977f14fa40087bd87b178b491789e,9cadc69e32bd7024ae39944142283d200d53fb343ec72e64f56847ddb439815e,028674780198fed1c06967fbfcddd214489bcc61ca186573ed2e49116b3fc496,04ed2427c081865daa0d6e3fa158c0b148627766c28bbd1851bd202e8e85effa,5aff0c79b9668b6e9db522672c8815252449b7af59287c85e64b9394630b9bef,bb5c1562e9d99a36dda94f1d36418999a5d5530830de91b3304ba4935bf124f3,1bc4991ec5090ad1dd531b48685731c53525764ff7453954574afae067115616,4d8c8b67af0ab98c194e7210a3c044a8abb77bfb60db2670df25a025a160a6c9
"1","90","100113","0","1","90110001","bgm_M57","0","1","0","100113","bgm_M57","EASY","110001","701000101"
"2","90","100113","0","1","90110002","bgm_M57","0","1","0","100113","bgm_M57","NORMAL","110001","701000102"
"3","90","100113","0","1","90110003","bgm_M57","0","1","0","100113","bgm_M57","HARD","110001","701000103"
"4","90","100113","0","1","90110004","bgm_M57","0","1","0","100113","bgm_M57","VERY HARD","110001","701000104"
"5","90","100113","0","1","90110005","bgm_M57","0","1","0","100113","bgm_M57","EXTREME","110001","701000105"
"1","90","103013","0","1","90120001","bgm_M169","0","2","0","103013","bgm_M169","EASY","120001","701000201"
"2","90","103013","0","1","90120002","bgm_M169","0","2","0","103013","bgm_M169","NORMAL","120001","701000202"
"3","90","103013","0","1","90120003","bgm_M169","0","2","0","103013","bgm_M169","HARD","120001","701000203"
"4","90","103013","0","1","90120004","bgm_M169","0","2","0","103013","bgm_M169","VERY HARD","120001","701000204"
"5","90","103013","0","1","90120005","bgm_M169","0","2","0","103013","bgm_M169","EXTREME","120001","701000205"
"1","90","100113","0","1","90130001","bgm_M64","0","3","0","100113","bgm_M64","EASY","130001","701000301"
"2","90","100113","0","1","90130002","bgm_M64","0","3","0","100113","bgm_M64","NORMAL","130001","701000302"
"3","90","100113","0","1","90130003","bgm_M64","0","3","0","100113","bgm_M64","HARD","130001","701000303"
"4","90","100113","0","1","90130004","bgm_M64","0","3","0","100113","bgm_M64","VERY HARD","130001","701000304"
"5","90","100113","0","1","90130005","bgm_M64","0","3","0","100113","bgm_M64","EXTREME","130001","701000305"
"1","90","100113","0","1","90140001","bgm_M07","0","4","0","100113","bgm_M07","EASY","140001","701000401"
"2","90","100113","0","1","90140002","bgm_M07","0","4","0","100113","bgm_M07","NORMAL","140001","701000402"
"3","90","100113","0","1","90140003","bgm_M07","0","4","0","100113","bgm_M07","HARD","140001","701000403"
"4","90","100113","0","1","90140004","bgm_M07","0","4","0","100113","bgm_M07","VERY HARD","140001","701000404"
"5","90","100113","0","1","90140005","bgm_M07","0","4","0","100113","bgm_M07","EXTREME","140001","701000405"
"1","90","103013","0","1","90150001","bgm_M170","0","5","0","103013","bgm_M170","EASY","150001","701000501"
"2","90","103013","0","1","90150002","bgm_M170","0","5","0","103013","bgm_M170","NORMAL","150001","701000502"
"3","90","103013","0","1","90150003","bgm_M170","0","5","0","103013","bgm_M170","HARD","150001","701000503"
"4","90","103013","0","1","90150004","bgm_M170","0","5","0","103013","bgm_M170","VERY HARD","150001","701000504"
"5","90","103013","0","1","90150005","bgm_M170","0","5","0","103013","bgm_M170","EXTREME","150001","701000505"
