39060048eae95d078583a54e48356d537953e21b4599e53292cd8c4fe3d49d40,ed0a540a0d5392b360dfd438c628bc9107ee69df85b4e75e77eefce3006010d5,7d556fd18ab775f8f8f44da7f372d7eb3fa9e26f2b00cdf7696c31a647826e45,04c798875a13b050e927e801377500b9449a3f0a2a712a02648269eeb99b7181,f92d1c67bb58022fda4fa03eda8c8370f9afc95502ea3373527493a7ac7d4c85
"1","1","1001","0","0"
"2","1","1002","0","0"
"3","1","1003","0","0"
"4","1","1004","0","0"
"1","2","2001","0","0"
"2","2","2002","0","0"
"3","2","2003","0","0"
"4","2","2004","0","0"
"1","2","2101","0","1"
"2","2","2102","0","1"
"3","2","2103","0","1"
"4","2","2104","0","1"
"11","2","2111","10001","2"
"12","2","2112","10001","2"
"13","2","2113","10001","2"
"1","3","3001","0","0"
"2","3","3002","0","0"
"3","3","3003","0","0"
"4","3","3004","0","0"
"1","4","4001","0","0"
"2","4","4002","0","0"
"3","4","4003","0","0"
"4","4","4004","0","0"
"100","4","4005","0","0"
"10101","5","5010","0","1"
"10201","5","5020","1","2"
"10202","5","5021","2","2"
"10301","5","5030","0","3"
"10301","5","5031","1","3"
"10302","5","5040","0","4"
"10303","5","5050","0","5"
"10304","5","5060","0","6"
"90001","6","6001","0","1"
"90001","6","6002","0","2"
"90001","6","6003","1","2"
"90001","6","6006","0","3"
"91101","6","6007","1","3"
"91201","6","6008","2","3"
"91301","6","6009","3","3"
"90001","6","6010","0","4"
"91101","6","6011","1","4"
"91201","6","6012","2","4"
"91301","6","6013","3","4"
"90001","6","6014","0","5"
"91101","6","6015","1","5"
"91201","6","6016","2","5"
"91301","6","6017","3","5"
"90001","6","6018","0","6"
"91101","6","6019","1","6"
"91201","6","6020","2","6"
"91301","6","6021","3","6"
"92001","6","6022","0","7"
"92101","6","6023","1","7"
"92201","6","6024","2","7"
"92301","6","6025","3","7"
"92401","6","6026","4","7"
"92001","6","6027","0","8"
"92101","6","6028","1","8"
"92201","6","6029","2","8"
"92301","6","6030","3","8"
"92401","6","6031","4","8"
"92001","6","6032","0","9"
"92101","6","6033","1","9"
"92201","6","6034","2","9"
"92301","6","6035","3","9"
"92401","6","6036","4","9"
"90002","7","7000","0","0"
"90002","7","7001","1","0"
"90003","7","7002","2","0"
"90002","7","7003","1","2"
"90003","7","7004","2","2"
"91102","7","7005","1","3"
"91103","7","7006","2","3"
"91102","7","7007","1","4"
"91103","7","7008","2","4"
"91102","7","7009","1","5"
"91103","7","7010","2","5"
"91102","7","7011","1","6"
"91103","7","7012","2","6"
"92102","7","7013","1","7"
"92103","7","7014","2","7"
"92102","7","7015","1","8"
"92103","7","7016","2","8"
"92102","7","7017","1","9"
"92103","7","7018","2","9"
"20101","9","9001","0","0"
"20201","10","10001","0","0"
"20202","10","10002","0","1"
"10501","101","10180","0","8"
"1","100","100001","0","1"
"1","100","100002","0","2"
"2","100","100003","0","3"
"2","100","100004","0","4"
"2","100","100005","0","5"
"2","100","100006","0","6"
"3","100","100007","0","7"
"3","100","100008","0","8"
"3","100","100009","0","9"
"10301","101","980001","0","98001"
"10402","101","980002","2","98001"
"10401","101","980011","1","98011"
"10402","101","980012","2","98012"
