e10383402e2c736423aa1ee2f15463cf5e874fc403b6f4ab7460503d45b043c5,574ed92141ff44c245eeef6dc111a498b0102d0d46fa9d0136bdc46e67dcc3c6,a4ec9ebfbdc57821545ab3d860c301b0bc4b34d9fbfca19f967610a610033857,338e98f261d7c0cf9d1f0372c331c7ece7ec3972ecb079f923ff6bcd29bbaa37,508eaf8cdcc82f7c86040025d835a55ac60c8196205f5dfc88a66c32aedba39e,3bde756f5f304b35cc2f8fe8ed0f4ef947cac4b359ea978a06886ea3ffd86402,aa79ce30a13f1b14c14ca26bcaea517b5353732e3d597267d3a41647be559327,b4aedced68dd7c24ff05145d3bdede99ee844466f309de980947fea443a6c13d,b1e56d3eb9150d153f275d9cadcabb925dd04644a9d07add7afe72badc1984a6,40463604423137b83e6b05b54a38ec00be8a964e1da2d8fc774915419e6af99a
"Bug","Pug","0","2110001","Mug","1","0","Hug","0","0"
"Technology","Technical","0","2110003","Technician","1","0","Techie","0","0"
"雪崩","樹冰","0","2110005","暴風雪","1","0","冰瀑","0","0"
"磁鐵","大理石","0","2110006","化石","1","0","黑曜石","0","0"
"Ocean","Oceania","0","2110007","River","1","0","Bay","0","0"
"At","Dash","0","2110008","Hashtag","1","0","Slash","0","0"
"會曬到太陽的地方","建築物裡面","0","2110010","不會曬到太陽的地方","1","0","總是很涼快的地方","0","0"
"更新","更正","0","2110011","更替","1","0","更動","0","0"
"暴風雪","虹村雪","0","2110012","風吹雪","1","0","六月雪","0","0"
"Grape","Orange","0","2110014","Apple","1","0","Banana","0","0"
"地平線","新幹線","0","2110016","拋物線","1","0","電話線","0","0"
"黑歷史","藍歷史","0","2110018","白歷史","1","0","紅歷史","0","0"
"醬油","味噌","0","2110019","味醂","1","0","醋","0","0"
"Track","Truck","0","2110021","Bus","1","0","Train","0","0"
"火上加油","愈描愈黑","0","2110022","難上加難","1","0","加油添醋","0","0"
"Liver","Heart","0","2110023","Brain","1","0","Stomach","0","0"
"啟用","啟動","0","2110024","開演","1","0","開場","0","0"
"coin","line","0","2110025","loin","1","0","cane","0","0"
"服裝","常服","0","2110026","服侍","1","0","便服","0","0"
"水印","流水號","0","2110028","水標","1","0","水章","0","0"
"Elephant","Owl","0","2110031","Spider","1","0","Cockroach","0","0"
"狼","啷","0","2110032","浪","1","0","朗","0","0"
"如虎添翼","雪上加霜","0","2110034","錦上添花","1","0","雪中送炭","0","0"
"不勞而獲","前功盡棄","0","2110035","功虧一簣","1","0","勞而無功","0","0"
"忍無可忍","慘不忍睹","0","2110036","愛不忍釋","1","0","隱忍不發","0","0"
"開除","捕魷魚","0","2110037","煮菜","1","0","攪和","0","0"
"實力相當","遇到敵人","0","2110038","喜歡下棋","1","0","棋藝很高","0","0"
"百合","牽牛花","0","2110039","水仙","1","0","茉莉花","0","0"
"Keen","Aware","0","2110040","Afraid","1","0","Nervous","0","0"
"Parrot","Pitaya","0","2110041","Papaya","1","0","Pineapple","0","0"
"氵","六","0","2110042","川","1","0","二","0","0"
"冷","水","0","2110043","羊","1","0","次","0","0"
"朝","期","0","2110044","盟","1","0","明","0","0"
"榴蓮","石榴","0","2110045","火龍果","1","0","釋迦","0","0"
"宣誓","諠誓","0","2110046","宣示","1","0","諠示","0","0"
"起床","請床","0","2110047","起牀","1","0","超床","0","0"
"不","未","0","2110049","非","1","0","無","0","0"
"非","未","0","2110050","不","1","0","無","0","0"
"無","未","0","2110051","不","1","0","非","0","0"
"未","無","0","2110052","不","1","0","非","0","0"
"三分鐘熱度","有名無實","0","2110053","一頭栽進去","1","0","照三餐問候","0","0"
"可溶解的","孤獨的","0","2110054","可拆解的","1","0","單一的","0","0"
"春秋無義戰","金榜題名時","0","2110056","久旱逢甘霖","1","0","他鄉遇故知","0","0"
"百","萬 ","0","2110058","十","1","0","千","0","0"
"十","七","0","2110060","九","1","0","八","0","0"
"神奇真步魔法靈咕嚕靈波～","與真步的羈絆","0","2111001","咕嚕靈波～","1","0","常保童話之心的公主","0","0"
"嘟嚕嚕嚕嚕～★","夢想成為超級巨星☆☆★","0","2111002","切嚕～☆","1","0","太讚了吧☆","0","0"
"尖尖的長耳","頭部有雙角","0","2111003","有獸耳及獸尾","1","0","人口最多","0","0"
