e2ba602177706c417dd858f344e4ffffd3d770fcd11112ec084f733f1f20f49a,021dfb9c473e0c4011378e0310ad65cca874d607c203847f5901131b82f294d8,f90aaaf873df2311908043ee4de95ed57ea37eb1dd59aa33b49c41ab56443f69,6250f826514e615afa11ab7b142208df6665003178b0d02c7d0b22dadfa5d422,033c9f3a0a2651a4693ceaf9b8947e6fbc66a926673613776ab67a4b136919b0,2a63165b2bfe088291100201bda18bcda79a08a2394a9ca982cd36ffb23e2ad0,7c15da98ea50b54f3b90c38edd83518ddb7d4f37e1b82dff29aa02fbfb7cc7d8,c351da0dc935da64c01c9b1945cf432b5803f9531e074b50dd3c73a14a7470fd,1da7391c6db4d03e113b70a66fc40c7a498887330f6cd6e10858e59706371ccc,aed741f3d379b43e0df9c7dd102d1e8aa99667f30a80e9d7644bd8fbe0e2ca14,13e0d331cf15ca2886b44a99a71ec5d26f1c9483cc7ebcd56fe19e454bf49546,d32c715acecd808d29a58fc040c11c3ec0e97f4ca26ad2175cab7dc4566d6890,fe82e3d54bfd1cc2f8595a7f8324edd40bfca1db64e71ec197f7bb75ba5b0cf3
"vo_minigame_1012_correct_107","0","0","1201","1","8","8","這樣子就好！","0","0","1","11120101","0"
"vo_minigame_1012_correct_108","0","0","1201","1","8","8","嗯，OK！","0","0","1","11120102","0"
"vo_minigame_1012_correct_109","0","0","1201","1","1","1","狀況不錯喔！","0","0","1","11120103","0"
"vo_minigame_1012_correct_115","13333","0","1202","1","1","1","慢慢來沒關係！","-1","0","1","11120201","0"
"vo_minigame_1012_correct_117","13333","0","1202","1","9","9","答對就可以了！","-1","0","1","11120202","0"
"vo_minigame_1012_correct_118","0","0","1203","1","1","1","好厲害喔！","0","0","1","11120301","0"
"vo_minigame_1012_correct_119","0","8","1203","1","5","5","你知道這個啊！？","0","0.01","1","11120302","0"
"vo_minigame_1012_correct_125","0","0","1204","1","1","1","看來沒問題吧！","0","0","1","11120401","0"
"vo_minigame_1012_correct_123","0","4","1205","1","7","7","複習得很完美呢！","0","0.01","1","11120501","0"
"vo_minigame_1012_correct_128","3","0","1206","1","8","8","連續答對了！","-1","0","1","11120601","0"
"vo_minigame_1012_correct_131","3","0","1207","1","2","2","挽回劣勢！","-1","0","1","11120701","0"
"vo_minigame_1012_incorrect_107","0","0","1301","1","2","2","重整心情！","0","0","1","11130101","0"
"vo_minigame_1012_incorrect_108","0","0","1301","1","9","9","也會有這種事啊！","0","0","1","11130102","0"
"vo_minigame_1012_incorrect_109","0","0","1301","1","4","4","那樣子不行喔！","0","0","1","11130103","0"
"vo_minigame_1012_incorrect_116","20000","0","1302","1","4","4","時間到了！","-1","0","1","11130201","0"
"vo_minigame_1012_incorrect_117","20000","0","1302","1","5","5","不是，你回答啊！","-1","0","1","11130202","0"
"vo_minigame_1012_incorrect_118","0","6","1303","1","3","3","好難啊……","0","0.01","1","11130301","0"
"vo_minigame_1012_incorrect_119","0","0","1303","1","4","4","難度真高……","0","0","1","11130302","0"
"vo_minigame_1012_incorrect_123","0","0","1304","1","2","2","不能忘記喔！","0","0","1","11130401","0"
"vo_minigame_1012_incorrect_126","0","0","1305","1","1","1","不是全錯呢！","0","0","1","11130501","0"
"vo_minigame_1012_result_1000","10","4","3001","1","7","8","呵呵，全都答對囉！\n你好像努力地學習了呢，\n真佩服♪","10","3.18","1","11300101","1"
"vo_minigame_1012_result_1001","10","10","3001","1","8","7","太厲害了……全部答對囉！\n不過，這也是當然的吧～\n因為是我教你的嘛♪","10","3.33","1","11300102","1"
"vo_minigame_1012_result_1002","10","10","3001","1","8","1","全對！拍手拍手拍手～♪\n這個難度已經很完美了吧？\n下次挑戰更難的題目吧！\n你一定可以的！","10","5.41","1","11300103","1"
"vo_minigame_1012_result_1003","10","10","3001","1","5","8","喔……選了很難的題目，\n但還能全對，很厲害嘛！！\n你實在太厲害了……！\n比完美還完美！","10","8.11","1","11300104","2"
"vo_minigame_1012_result_1004","10","0","3001","1","10","5","答對……答對……全部答對！\n題目這麼難還全對……！\n好驚訝……\n你是什麼時候讀了這麼多東西的！","10","1.31","1","11300105","2"
"vo_minigame_1012_result_1005","10","0","3001","1","9","8","看你完美地答對了這麼多題，\n讓我有點不甘心呢……！\n但我還是要坦率地讚美你！\n了不起，了不起，了不起～！","10","4.93","1","11300106","2"
"vo_minigame_1012_result_1006","10","4","3001","1","5","8","好厲害……你答得太完美了！\n保持這樣到下次考試，\n你拿學年第一可能也不是夢了！\n真令人期待～♪","10","2.99","1","11300107","3"
"vo_minigame_1012_result_1007","10","4","3001","1","8","7","滿分喔！呵呵。\n我已經沒東西能教你了……！\n反而希望你能教我呢！\n……好嗎，老師♪","10","8.37","1","11300108","3"
"vo_minigame_1012_result_1008","10","8","3001","1","7","5","全、部、答、對！\n裡面有超多難題耶，你好厲害……！\n難不成……\n你是天才！？","10","5.32","1","11300109","3"
"vo_minigame_1012_result_1009","7","4","3001","1","7","1","喔！分數很好看呢～！\n這下教你也有價值了♪\n好了，還要繼續學習喔！","9","4.77","1","11300110","1"
"vo_minigame_1012_result_1010","7","4","3001","1","8","7","嗯，拿到的分數很不錯！\n保持這個狀態，\n下次想看你拿滿分呢！","9","2.97","1","11300111","1"
